rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,7217449542114395178,Morgan 🗝️,https://cn--xtb.noxinfluencer.com/tiktok/channel/7217449542114395178,0,badcase,内容偏服装时尚，与跑步机推广不相关
3,6751076338523784197,Annie Tran,https://cn--xtb.noxinfluencer.com/tiktok/channel/6751076338523784197,0,badcase,婚礼教育类频道，缺少健身产品受众
4,6819068738093941765,😍Emily😍,https://cn--xtb.noxinfluencer.com/tiktok/channel/6819068738093941765,0,badcase,无有效内容信号，无法判断为相关
5,7284073740404999214,2x4=8,https://cn--xtb.noxinfluencer.com/tiktok/channel/7284073740404999214,0,badcase,无有效内容信号，无法判断为相关
8,11770665,zeondrae,https://cn--xtb.noxinfluencer.com/tiktok/channel/11770665,0,badcase,只有泛流量标签，缺少健身相关证据
9,6775936713762423814,J.D,https://cn--xtb.noxinfluencer.com/tiktok/channel/6775936713762423814,-15,badcase,博彩投注频道，与跑步机推广场景明显不符
10,7160734839073883178,kpstickman,https://cn--xtb.noxinfluencer.com/tiktok/channel/7160734839073883178,0,badcase,无有效内容信号，无法判断为相关
11,6770188543963104262,jules,https://cn--xtb.noxinfluencer.com/tiktok/channel/6770188543963104262,0,badcase,无有效内容信号，无法判断为相关
13,6819400437004862470,Danielle Brandon,https://cn--xtb.noxinfluencer.com/tiktok/channel/6819400437004862470,0,badcase,无有效内容信号，无法判断为相关
14,6808689403784381445,April Henderson,https://cn--xtb.noxinfluencer.com/tiktok/channel/6808689403784381445,0,badcase,无有效内容信号，无法判断为相关
16,7509409815422059566,gsq9ds,https://cn--xtb.noxinfluencer.com/tiktok/channel/7509409815422059566,0,badcase,无有效内容信号，无法判断为相关
17,6757752808932131846,Pat,https://cn--xtb.noxinfluencer.com/tiktok/channel/6757752808932131846,0,badcase,节日搞笑内容，与跑步机推广无关
18,7424572782775092267,LaReinaAsh,https://cn--xtb.noxinfluencer.com/tiktok/channel/7424572782775092267,0,badcase,无有效内容信号，无法判断为相关
19,7182786882601616430,SnapOfTheDay,https://cn--xtb.noxinfluencer.com/tiktok/channel/7182786882601616430,0,badcase,无有效内容信号，无法判断为相关
20,7260228624791766062,jassyg 🌼,https://cn--xtb.noxinfluencer.com/tiktok/channel/7260228624791766062,0,badcase,无有效内容信号，无法判断为相关
21,7340514700776014890,lsoldefaye,https://cn--xtb.noxinfluencer.com/tiktok/channel/7340514700776014890,0,badcase,无有效内容信号，无法判断为相关
23,6756681408725468165,BijaGozhone Talkalai,https://cn--xtb.noxinfluencer.com/tiktok/channel/6756681408725468165,0,badcase,美妆艺术向开箱内容，与跑步机不匹配
24,6812104364800640006,Lover Girl Dread,https://cn--xtb.noxinfluencer.com/tiktok/channel/6812104364800640006,0,badcase,美妆潮流内容，与跑步机推广无关
25,7256990080932774955,Mal,https://cn--xtb.noxinfluencer.com/tiktok/channel/7256990080932774955,0,badcase,无有效内容信号，无法判断为相关
26,6641609020250800134,catita,https://cn--xtb.noxinfluencer.com/tiktok/channel/6641609020250800134,0,badcase,无相关标签和内容证据
28,7516231427466904607,leah,https://cn--xtb.noxinfluencer.com/tiktok/channel/7516231427466904607,0,badcase,无相关标签和内容证据
30,7366263258095354922,Manna Flow 🪽,https://cn--xtb.noxinfluencer.com/tiktok/channel/7366263258095354922,0,badcase,美妆闪购向，和跑步机无关
31,6739879186918704134,griselda,https://cn--xtb.noxinfluencer.com/tiktok/channel/6739879186918704134,0,badcase,无相关标签和内容证据
32,6669521921396539398,Keshorna Shantell,https://cn--xtb.noxinfluencer.com/tiktok/channel/6669521921396539398,0,badcase,房地产教学向，与跑步机无关
33,6645992989259071494,Kaylin Ricci,https://cn--xtb.noxinfluencer.com/tiktok/channel/6645992989259071494,0,badcase,无相关标签和内容证据
40,6532039716072603649,luxuryfindz_,https://cn--xtb.noxinfluencer.com/tiktok/channel/6532039716072603649,0,badcase,时尚礼品向，和跑步机无关
41,7112229641259074602,Steph's Dogs,https://cn--xtb.noxinfluencer.com/tiktok/channel/7112229641259074602,0,badcase,宠物向，无人用跑步机受众
42,6900700413571548165,Taco the Treadmill Cat,https://cn--xtb.noxinfluencer.com/tiktok/channel/6900700413571548165,-15,badcase,宠物猫跑步内容，对人用跑步机不适配
47,7523254469199725581,Milton and Billy,https://cn--xtb.noxinfluencer.com/tiktok/channel/7523254469199725581,0,badcase,无相关标签和内容证据
48,7206878996407370795,dealsbyjasper,https://cn--xtb.noxinfluencer.com/tiktok/channel/7206878996407370795,0,badcase,无相关标签和内容证据
52,7257823038316938283,Rolenva,https://cn--xtb.noxinfluencer.com/tiktok/channel/7257823038316938283,0,badcase,无跑步机或健身相关信号
53,6898763249262543877,Hikarilounge,https://cn--xtb.noxinfluencer.com/tiktok/channel/6898763249262543877,0,badcase,无跑步机或健身相关信号
55,7490543949854524462,INFRASPACE,https://cn--xtb.noxinfluencer.com/tiktok/channel/7490543949854524462,0,badcase,无跑步机或健身相关信号
56,1570749,ItzNunuDuh,https://cn--xtb.noxinfluencer.com/tiktok/channel/1570749,0,badcase,卡车/司机向，和跑步机推广不相关
63,7103656539587789866,B♡αddιe♡in♡ριnк,https://cn--xtb.noxinfluencer.com/tiktok/channel/7103656539587789866,0,badcase,二次元/闺蜜向，和跑步机推广不相关
65,6804975106587837445,Toribean5,https://cn--xtb.noxinfluencer.com/tiktok/channel/6804975106587837445,0,badcase,无跑步机或健身相关信号
67,6819378438063801349,Cassie,https://cn--xtb.noxinfluencer.com/tiktok/channel/6819378438063801349,0,badcase,无跑步机或健身相关信号
68,6831335775583323142,theKYfamily,https://cn--xtb.noxinfluencer.com/tiktok/channel/6831335775583323142,0,badcase,家庭艺术向，和跑步机推广关联弱
70,6818002673023878149,carolinemooore,https://cn--xtb.noxinfluencer.com/tiktok/channel/6818002673023878149,-10,badcase,娱乐时尚向账号，缺少健身器材推广与测评语境
72,115753498230566912,kinsley murphy,https://cn--xtb.noxinfluencer.com/tiktok/channel/115753498230566912,0,badcase,无跑步机或健身相关信号
73,6844982208169952262,Veronica 🎀🧸,https://cn--xtb.noxinfluencer.com/tiktok/channel/6844982208169952262,0,badcase,无跑步机或健身相关信号
75,7042271284291453998,🖤AshleyStone🖤GratitudeGang🖤,https://cn--xtb.noxinfluencer.com/tiktok/channel/7042271284291453998,0,badcase,心理健康/泛生活向，和跑步机不相关
77,6737412251941389318,Hannah Bentley,https://cn--xtb.noxinfluencer.com/tiktok/channel/6737412251941389318,0,badcase,礼物/时尚/美妆向，和跑步机推广场景偏离
78,7386793216463012910,Lexi & Miranda 🤍 Besties,https://cn--xtb.noxinfluencer.com/tiktok/channel/7386793216463012910,0,badcase,礼物时尚号，缺少健身器材受众
79,7316616399848703022,🩷𝗜𝗧𝗦𝗔𝗟𝗜𝗖𝗜𝗔🩷 🥉⚡️,https://cn--xtb.noxinfluencer.com/tiktok/channel/7316616399848703022,0,badcase,美妆护肤号，受众与跑步机不匹配
82,6897135311865857029,Quentin Greco,https://cn--xtb.noxinfluencer.com/tiktok/channel/6897135311865857029,0,badcase,马戏杂技内容，和跑步机购买受众不符
84,6753787687453901829,madi jean,https://cn--xtb.noxinfluencer.com/tiktok/channel/6753787687453901829,0,badcase,无标签无内容信号
86,6601579132479389701,T(odd)&T(oya)❌️,https://cn--xtb.noxinfluencer.com/tiktok/channel/6601579132479389701,0,badcase,无标签无内容信号
87,7083279225881789483,Angelly  Vasquez,https://cn--xtb.noxinfluencer.com/tiktok/channel/7083279225881789483,0,badcase,无标签无内容信号
89,71918214342914048,Viv🐆,https://cn--xtb.noxinfluencer.com/tiktok/channel/71918214342914048,0,badcase,泛娱乐号，和跑步机推广无关
90,7051961002253960238,StravicNation,https://cn--xtb.noxinfluencer.com/tiktok/channel/7051961002253960238,0,badcase,人设娱乐号，缺少产品推广语境
