rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
6,7212975441827595310,hjq1001zkl,https://cn.noxinfluencer.com/tiktok/channel/7212975441827595310,-15,badcase,影视剪辑娱乐号，与产品推广不符
8,7195829426822677550,ookkzkl03,https://cn.noxinfluencer.com/tiktok/channel/7195829426822677550,0,badcase,无标签，无相关证据
11,7382256256213500970,Amanda,https://cn.noxinfluencer.com/tiktok/channel/7382256256213500970,0,badcase,无标签，无相关证据
14,6989422162772345862,Giraffe Tools,https://cn.noxinfluencer.com/tiktok/channel/6989422162772345862,0,badcase,偏工具/软管收纳，缺少 vacuum 相关证据
15,7193652383747146798,ookkzkl02,https://cn.noxinfluencer.com/tiktok/channel/7193652383747146798,0,badcase,只有 trend 标签，缺少相关性
16,7486484672060539946,yangfgj1357,https://cn.noxinfluencer.com/tiktok/channel/7486484672060539946,0,badcase,无标签，无相关证据
17,6904663124004832261,hhhhy225,https://cn.noxinfluencer.com/tiktok/channel/6904663124004832261,0,badcase,bike 领域，和 vacuum cleaner 不匹配
18,7109142994901173291,kirakosaring_u,https://cn.noxinfluencer.com/tiktok/channel/7109142994901173291,-5,badcase,娱乐/玩具向，非清洁产品推广场景
19,6532086638867152898,coopdatrila32,https://cn.noxinfluencer.com/tiktok/channel/6532086638867152898,0,badcase,偏播客/娱乐，缺少消费品语境
20,7241648573749429290,hhhcc888888,https://cn.noxinfluencer.com/tiktok/channel/7241648573749429290,0,badcase,无标签，无相关证据
21,7138042110323590190,santanamjh,https://cn.noxinfluencer.com/tiktok/channel/7138042110323590190,-10,badcase,娱乐向，非产品推广型
22,7471089100763251758,Harper,https://cn.noxinfluencer.com/tiktok/channel/7471089100763251758,0,badcase,无标签，无相关证据
23,7280789942904243242,Jed,https://cn.noxinfluencer.com/tiktok/channel/7280789942904243242,-5,badcase,游戏/玩具号，blower 不足以支撑清洁产品
24,7272571415102260266,cutebutd86,https://cn.noxinfluencer.com/tiktok/channel/7272571415102260266,-15,badcase,漫画故事内容，和 vacuum cleaner 受众不符
25,7301249164549080110,baobei520168,https://cn.noxinfluencer.com/tiktok/channel/7301249164549080110,0,badcase,家庭舞蹈/家长话题，缺少清洁产品证据
