rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
1,7272571415102260266,cutebutd86,https://cn--xtb.noxinfluencer.com/tiktok/channel/7272571415102260266,-15,badcase,漫画/故事娱乐号，与家电带货场景强不匹配
2,7491730015487411231,ggggccxx89,https://cn--xtb.noxinfluencer.com/tiktok/channel/7491730015487411231,0,badcase,无标签、无视频证据，难判断相关性
3,7509875097050645535,asd20293949,https://cn--xtb.noxinfluencer.com/tiktok/channel/7509875097050645535,0,badcase,无标签、无视频证据，难判断相关性
5,7212975441827595310,hjq1001zkl,https://cn--xtb.noxinfluencer.com/tiktok/channel/7212975441827595310,-15,badcase,电影剪辑娱乐向，属于强不匹配
6,7448943653886280746,Lucero,https://cn--xtb.noxinfluencer.com/tiktok/channel/7448943653886280746,0,badcase,无标签、无视频证据，难判断相关性
7,7195829426822677550,ookkzkl03,https://cn--xtb.noxinfluencer.com/tiktok/channel/7195829426822677550,0,badcase,无标签、无视频证据，难判断相关性
8,7298915830867395626,hhhcc686868,https://cn--xtb.noxinfluencer.com/tiktok/channel/7298915830867395626,0,badcase,无标签、无视频证据，难判断相关性
11,7382256256213500970,Amanda,https://cn--xtb.noxinfluencer.com/tiktok/channel/7382256256213500970,0,badcase,无标签、无视频证据，难判断相关性
13,7193652383747146798,ookkzkl02,https://cn--xtb.noxinfluencer.com/tiktok/channel/7193652383747146798,0,badcase,仅趋势号，和 vacuum cleaner 相关信号缺失
14,7486484672060539946,yangfgj1357,https://cn--xtb.noxinfluencer.com/tiktok/channel/7486484672060539946,0,badcase,无标签、无视频证据，难判断相关性
15,7244889870615004206,Kayla Vashti | Home,https://cn--xtb.noxinfluencer.com/tiktok/channel/7244889870615004206,0,badcase,家具翻新为主，和 vacuum cleaner 关联弱
18,6904663124004832261,hhhhy225,https://cn--xtb.noxinfluencer.com/tiktok/channel/6904663124004832261,0,badcase,自行车/车辆内容，与 vacuum cleaner 关联弱
20,7109142994901173291,kirakosaring_u,https://cn--xtb.noxinfluencer.com/tiktok/channel/7109142994901173291,0,badcase,玩具/娱乐向，和 vacuum cleaner 不匹配
21,7280789942904243242,Jed,https://cn--xtb.noxinfluencer.com/tiktok/channel/7280789942904243242,0,badcase,游戏/玩具向，带货场景与 vacuum cleaner 不符
22,6532086638867152898,coopdatrila32,https://cn--xtb.noxinfluencer.com/tiktok/channel/6532086638867152898,0,badcase,纯娱乐播客号，缺少清洁/导购信号
24,7301249164549080110,baobei520168,https://cn--xtb.noxinfluencer.com/tiktok/channel/7301249164549080110,0,badcase,亲子/课堂内容，与 vacuum cleaner 关联很弱
25,7138042110323590190,santanamjh,https://cn--xtb.noxinfluencer.com/tiktok/channel/7138042110323590190,-15,badcase,纯娱乐搞笑号，缺少清洁/导购信号
26,7471089100763251758,Harper,https://cn--xtb.noxinfluencer.com/tiktok/channel/7471089100763251758,0,badcase,无标签无视频，缺乏清洁器相关证据
28,7480459040990069802,geonesate,https://cn--xtb.noxinfluencer.com/tiktok/channel/7480459040990069802,0,badcase,无标签无视频，缺乏相关证据
29,7307256770485863470,zkl0003,https://cn--xtb.noxinfluencer.com/tiktok/channel/7307256770485863470,-15,badcase,动画娱乐频道，与清洁器推广不符
30,7220686106613498923,hegduk6668845,https://cn--xtb.noxinfluencer.com/tiktok/channel/7220686106613498923,0,badcase,无标签无视频，缺乏相关证据
31,7173235612450767915,drontosaurus,https://cn--xtb.noxinfluencer.com/tiktok/channel/7173235612450767915,0,badcase,烘焙娱乐内容，与清洁器无关
32,7359854667814913070,mobdaowas,https://cn--xtb.noxinfluencer.com/tiktok/channel/7359854667814913070,0,badcase,无标签无视频，缺乏相关证据
34,7476338244595893294,cssss534,https://cn--xtb.noxinfluencer.com/tiktok/channel/7476338244595893294,0,badcase,无标签无视频，缺乏相关证据
35,7298008090393609259,KI MO,https://cn--xtb.noxinfluencer.com/tiktok/channel/7298008090393609259,0,badcase,无标签无视频，缺乏相关证据
36,7413757275107525678,ggggyk88,https://cn--xtb.noxinfluencer.com/tiktok/channel/7413757275107525678,0,badcase,无标签无视频，缺乏相关证据
37,7501608237453247534,Moexx798,https://cn--xtb.noxinfluencer.com/tiktok/channel/7501608237453247534,0,badcase,无标签无视频，缺乏相关证据
38,7261183148157879339,Belifehome,https://cn--xtb.noxinfluencer.com/tiktok/channel/7261183148157879339,0,badcase,无标签无视频，缺乏相关证据
39,7442724467501040682,tengbavacuumcleaner,https://cn--xtb.noxinfluencer.com/tiktok/channel/7442724467501040682,0,badcase,名称像吸尘器，但缺少标签与视频证据
40,7476683778185790510,hjkl789,https://cn--xtb.noxinfluencer.com/tiktok/channel/7476683778185790510,0,badcase,无标签无视频，缺乏相关证据
41,7402513019087930414,VICEASE,https://cn--xtb.noxinfluencer.com/tiktok/channel/7402513019087930414,0,badcase,无标签无视频，缺乏相关证据
45,7177433015475618858,WrapTheWorld_Official,https://cn--xtb.noxinfluencer.com/tiktok/channel/7177433015475618858,0,badcase,礼物包装频道，与清洁器无关
46,7337553331487343658,HoHo11,https://cn--xtb.noxinfluencer.com/tiktok/channel/7337553331487343658,0,badcase,无标签无视频，缺乏相关证据
47,6849884381763683333,favvacvids,https://cn--xtb.noxinfluencer.com/tiktok/channel/6849884381763683333,5,badcase,ASMR吸尘内容，格式不适合产品推广
48,7352397304765285422,Rodhhd1387,https://cn--xtb.noxinfluencer.com/tiktok/channel/7352397304765285422,0,badcase,喜剧短剧频道，与清洁器无关
49,6532371390254448641,ilovepartyy_,https://cn--xtb.noxinfluencer.com/tiktok/channel/6532371390254448641,0,badcase,无标签无视频，缺乏相关证据
53,7493080822224782379,chaeltt8,https://cn--xtb.noxinfluencer.com/tiktok/channel/7493080822224782379,0,badcase,无相关标签或视频证据
54,7528287908089988110,Jordan Son,https://cn--xtb.noxinfluencer.com/tiktok/channel/7528287908089988110,0,badcase,无相关标签或视频证据
57,7596941909039645703,Memmel.,https://cn--xtb.noxinfluencer.com/tiktok/channel/7596941909039645703,0,badcase,无相关标签或视频证据
58,7516730250068362254,hhswdh980,https://cn--xtb.noxinfluencer.com/tiktok/channel/7516730250068362254,0,badcase,无相关标签或视频证据
59,6530405,outtoua,https://cn--xtb.noxinfluencer.com/tiktok/channel/6530405,0,badcase,名人/粉丝向，和吸尘器推广不相关
60,7505062816316179502,hhxmxm,https://cn--xtb.noxinfluencer.com/tiktok/channel/7505062816316179502,0,badcase,无相关标签或视频证据
62,7405415683646358574,Asesor de Salud,https://cn--xtb.noxinfluencer.com/tiktok/channel/7405415683646358574,0,badcase,健康类泛题，缺少吸尘器相关场景
63,6840662313167569925,huinbgyuii,https://cn--xtb.noxinfluencer.com/tiktok/channel/6840662313167569925,0,badcase,无相关标签或视频证据
64,7313065869470254123,mddusshop,https://cn--xtb.noxinfluencer.com/tiktok/channel/7313065869470254123,-10,badcase,娱乐号，缺少清洁产品推广场景
65,7516916110748828702,Raqiba,https://cn--xtb.noxinfluencer.com/tiktok/channel/7516916110748828702,0,badcase,无相关标签或视频证据
66,6793459826857870341,Kenia Nails,https://cn--xtb.noxinfluencer.com/tiktok/channel/6793459826857870341,0,badcase,美甲垂类，和吸尘器受众不匹配
68,7533583507004982327,Sebastiane Browning,https://cn--xtb.noxinfluencer.com/tiktok/channel/7533583507004982327,0,badcase,无相关标签或视频证据
69,7489023106087781418,_breeze99,https://cn--xtb.noxinfluencer.com/tiktok/channel/7489023106087781418,0,badcase,无相关标签或视频证据
71,7277989658931463211,zzkkll0202,https://cn--xtb.noxinfluencer.com/tiktok/channel/7277989658931463211,-15,badcase,故事/短剧向，和吸尘器推广不相符
72,7415855379281839146,hhhcc5798,https://cn--xtb.noxinfluencer.com/tiktok/channel/7415855379281839146,0,badcase,无相关标签或视频证据
74,7052087835172652037,NexusNexusNY,https://cn--xtb.noxinfluencer.com/tiktok/channel/7052087835172652037,5,badcase,玩具/儿童向为主，吸尘器受众不匹配
75,7449389968932029483,pfji97117bk,https://cn--xtb.noxinfluencer.com/tiktok/channel/7449389968932029483,0,badcase,无相关标签或视频证据
76,7403240888220255278,zjlyyds001,https://cn--xtb.noxinfluencer.com/tiktok/channel/7403240888220255278,0,badcase,无标签无视频证据，相关性不足
77,132305126672859136,Hi_Anna,https://cn--xtb.noxinfluencer.com/tiktok/channel/132305126672859136,0,badcase,无标签无视频证据，相关性不足
78,7478564558782301230,tkloveq23,https://cn--xtb.noxinfluencer.com/tiktok/channel/7478564558782301230,0,badcase,无标签无视频证据，相关性不足
79,7299069513076999211,KKKKK,https://cn--xtb.noxinfluencer.com/tiktok/channel/7299069513076999211,0,badcase,无标签无视频证据，相关性不足
80,7508056783081374766,Alina,https://cn--xtb.noxinfluencer.com/tiktok/channel/7508056783081374766,0,badcase,无标签无视频证据，相关性不足
81,12827580,ayishanimagasn,https://cn--xtb.noxinfluencer.com/tiktok/channel/12827580,0,badcase,无标签无视频证据，相关性不足
82,7260159460568024110,bDy3o1,https://cn--xtb.noxinfluencer.com/tiktok/channel/7260159460568024110,0,badcase,无标签无视频证据，相关性不足
83,7516934527497323575,Nebula,https://cn--xtb.noxinfluencer.com/tiktok/channel/7516934527497323575,0,badcase,无标签无视频证据，相关性不足
85,7455584326836634667,neverbe8,https://cn--xtb.noxinfluencer.com/tiktok/channel/7455584326836634667,0,badcase,无标签无视频证据，相关性不足
86,7479689239506207790,aolaljx,https://cn--xtb.noxinfluencer.com/tiktok/channel/7479689239506207790,0,badcase,无标签无视频证据，相关性不足
88,6783502004435584005,anastasia.dicka,https://cn--xtb.noxinfluencer.com/tiktok/channel/6783502004435584005,0,badcase,无标签无视频证据，相关性不足
89,7114186577611441198,toolcose,https://cn--xtb.noxinfluencer.com/tiktok/channel/7114186577611441198,-10,badcase,工具ASMR型频道，和吸尘器推广场景不匹配
91,11984489,sda,https://cn--xtb.noxinfluencer.com/tiktok/channel/11984489,0,badcase,无标签无视频证据，相关性不足
93,7494648118077768747,yh15095lkj,https://cn--xtb.noxinfluencer.com/tiktok/channel/7494648118077768747,0,badcase,无标签无视频证据，相关性不足
94,7525794471440450591,Eden Perkin💓,https://cn--xtb.noxinfluencer.com/tiktok/channel/7525794471440450591,0,badcase,无标签无视频证据，相关性不足
95,6681089677703332869,artemrussia,https://cn--xtb.noxinfluencer.com/tiktok/channel/6681089677703332869,0,badcase,地域生活内容，和吸尘器推广关联弱
96,7092388697023611950,678ce49jt89,https://cn--xtb.noxinfluencer.com/tiktok/channel/7092388697023611950,0,badcase,无标签无视频证据，相关性不足
97,7499905710613333023,Nina,https://cn--xtb.noxinfluencer.com/tiktok/channel/7499905710613333023,0,badcase,无标签无视频证据，相关性不足
99,7174259867183055915,Carol Store😄,https://cn--xtb.noxinfluencer.com/tiktok/channel/7174259867183055915,0,badcase,艺术手作频道，和吸尘器推广不匹配
101,7401836062068229152,zoe88877787,https://cn--xtb.noxinfluencer.com/tiktok/channel/7401836062068229152,0,badcase,无标签无相关视频，无法判断为清洁家电推广频道
102,7142682559467340846,eva,https://cn--xtb.noxinfluencer.com/tiktok/channel/7142682559467340846,0,badcase,无标签无相关视频，和吸尘器推广缺少证据
104,7505313243035173934,Bellersol Jane,https://cn--xtb.noxinfluencer.com/tiktok/channel/7505313243035173934,0,badcase,无标签无相关视频，缺少清洁类受众证据
