rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
9,6588887484310028289,Trippydripp,https://cn.noxinfluencer.com/tiktok/channel/6588887484310028289,0,badcase,无相关标签，题材不符
11,6644285746188910597,iamryanprice,https://cn.noxinfluencer.com/tiktok/channel/6644285746188910597,0,badcase,街访内容，与 vape 推广无关
12,6766385839205696517,Ravi Knows All,https://cn.noxinfluencer.com/tiktok/channel/6766385839205696517,0,badcase,无相关标签，无法判断为 vape 频道
13,7361694772972831790,TOKYOEJUICE,https://cn.noxinfluencer.com/tiktok/channel/7361694772972831790,0,badcase,无相关标签，缺少 vape 证据
14,6787143677850043398,KJWOCK,https://cn.noxinfluencer.com/tiktok/channel/6787143677850043398,0,badcase,音乐娱乐向，与 vape 无关
15,7183045647674360874,jade emperor,https://cn.noxinfluencer.com/tiktok/channel/7183045647674360874,0,badcase,美妆娱乐向，与 vape 无关
16,6776452826282738694,lyfe4ever,https://cn.noxinfluencer.com/tiktok/channel/6776452826282738694,0,badcase,绿幕挑战向，与 vape 无关
18,7128068699462288430,simplisick,https://cn.noxinfluencer.com/tiktok/channel/7128068699462288430,0,badcase,无相关标签，无法支持 vape 推广
20,6652689530271744005,Cazwell,https://cn.noxinfluencer.com/tiktok/channel/6652689530271744005,0,badcase,纯娱乐向，与 vape 无关
21,6736341086765958149,huntergrazianoo,https://cn.noxinfluencer.com/tiktok/channel/6736341086765958149,0,badcase,无相关标签，且主题不相干
23,6965951892741637126,RUBY DELILAH,https://cn.noxinfluencer.com/tiktok/channel/6965951892741637126,0,badcase,娱乐/美妆向，与 vape 推广不符
25,7352176043396940842,Outre,https://cn.noxinfluencer.com/tiktok/channel/7352176043396940842,0,badcase,健康/宗教向，与 vape 无关
26,6737810526791468037,HolyGxd ( HolyGod ),https://cn.noxinfluencer.com/tiktok/channel/6737810526791468037,0,badcase,娱乐标签为主，与 vape 产品推广无关
27,7309108159417893930,owenhunley,https://cn.noxinfluencer.com/tiktok/channel/7309108159417893930,0,badcase,几乎没有标签或内容证据，无法判断相关性
29,6786034106474185733,Tay,https://cn.noxinfluencer.com/tiktok/channel/6786034106474185733,0,badcase,舞蹈娱乐标签为主，与 vape 推广不相关
31,6883644568144839685,Vicki,https://cn.noxinfluencer.com/tiktok/channel/6883644568144839685,0,badcase,LGBT/心理健康标签为主，与 vape 无关
33,7276036525116245035,Weeaboo,https://cn.noxinfluencer.com/tiktok/channel/7276036525116245035,0,badcase,音乐/娱乐向标签为主，缺少 vape 相关信号
34,6758187527763903494,Ria,https://cn.noxinfluencer.com/tiktok/channel/6758187527763903494,0,badcase,绿幕娱乐向频道，与 vape 产品推广无关
35,6724821561176638469,docfrankhere,https://cn.noxinfluencer.com/tiktok/channel/6724821561176638469,15,badcase,含 vape 但核心是戒烟/戒 vape，与推广目标相反
37,6794301814281339909,K I N G,https://cn.noxinfluencer.com/tiktok/channel/6794301814281339909,0,badcase,音乐体育娱乐为主，与 vape 无关
39,7199788937746793518,Lamborghini Legends,https://cn.noxinfluencer.com/tiktok/channel/7199788937746793518,15,badcase,虽有 vape，但反向标签明显，不适合投放
41,6929712950963323910,SiIas,https://cn.noxinfluencer.com/tiktok/channel/6929712950963323910,0,badcase,绿幕/视频工具标签为主，与 vape 无关
42,6715534421137081349,Charlotte Briar D’Alessio,https://cn.noxinfluencer.com/tiktok/channel/6715534421137081349,0,badcase,播客/缝合类标签为主，与 vape 无关
43,6738210531737863174,joshdabarber,https://cn.noxinfluencer.com/tiktok/channel/6738210531737863174,0,badcase,标签极少且无 vape 相关证据
45,6532031046093914113,rachel,https://cn.noxinfluencer.com/tiktok/channel/6532031046093914113,0,badcase,家庭/娱乐向标签为主，与 vape 无关
46,27601851,phatty matty,https://cn.noxinfluencer.com/tiktok/channel/27601851,0,badcase,生活搞笑向标签为主，缺少 vape 相关性
48,7169749179733836846,Thetokshoplug,https://cn.noxinfluencer.com/tiktok/channel/7169749179733836846,0,badcase,睡眠/运动/购物泛标签，无 vape 证据
50,6577488624521953286,Jakes.media_,https://cn.noxinfluencer.com/tiktok/channel/6577488624521953286,0,badcase,风景/运动/绿幕向频道，与 vape 无关
52,6813848629708506118,Sierra Guevara,https://cn.noxinfluencer.com/tiktok/channel/6813848629708506118,0,badcase,业务/贩卖机向，与vape推广受众不匹配
53,6817521160952202245,Michellekate88,https://cn.noxinfluencer.com/tiktok/channel/6817521160952202245,-15,badcase,娱乐搞笑为主，缺少产品投放场景
54,27713097,Bradleyevantintok,https://cn.noxinfluencer.com/tiktok/channel/27713097,0,badcase,只有trending，垂类和产品信号不足
55,89309995460067329,A⭐️,https://cn.noxinfluencer.com/tiktok/channel/89309995460067329,0,badcase,work/娱乐混杂，缺少vape或消费品证据
56,6699591577809847302,Nivenchy,https://cn.noxinfluencer.com/tiktok/channel/6699591577809847302,-10,badcase,舞蹈娱乐向，与vape推广场景不符
57,7026772421534467077,_whateverleelee2.0,https://cn.noxinfluencer.com/tiktok/channel/7026772421534467077,0,badcase,无有效标签，无法判断相关性
58,7235240057173804037,WWYD? - John Quiñones,https://cn.noxinfluencer.com/tiktok/channel/7235240057173804037,0,badcase,无标签信息，缺少相关性证据
59,6950759540795212805,cristian,https://cn.noxinfluencer.com/tiktok/channel/6950759540795212805,-15,badcase,游戏娱乐向，与vape推广无关
62,6981148662962865157,ILLBILL—,https://cn.noxinfluencer.com/tiktok/channel/6981148662962865157,-15,badcase,meme/娱乐/游戏为主，不适合产品投放
63,6771158377823667205,oli gold,https://cn.noxinfluencer.com/tiktok/channel/6771158377823667205,0,badcase,教师/杂项内容，与vape无关
64,7056648853139588143,Joker,https://cn.noxinfluencer.com/tiktok/channel/7056648853139588143,0,badcase,无标签信息，缺少相关性证据
66,9878295,Jessica💖,https://cn.noxinfluencer.com/tiktok/channel/9878295,0,badcase,仅视频/绿幕标签，缺少垂类信号
67,6945521924119397381,Cuh Deals,https://cn.noxinfluencer.com/tiktok/channel/6945521924119397381,0,badcase,杂项内容，缺少vape或消费品线索
68,118693478376640512,sweettea.n.moonwater,https://cn.noxinfluencer.com/tiktok/channel/118693478376640512,-15,badcase,儿童/幼儿向内容，与vape受众冲突
69,7106839,katelyn,https://cn.noxinfluencer.com/tiktok/channel/7106839,-10,badcase,娱乐绿幕向，产品推广相关性弱
70,108096660869689345,dubsk13,https://cn.noxinfluencer.com/tiktok/channel/108096660869689345,0,badcase,牙齿娱乐内容，与vape无关
73,15262551,karma_7cr,https://cn.noxinfluencer.com/tiktok/channel/15262551,-10,badcase,baby向内容，与成人vape受众不符
74,68693040764252161,SEBASSTRONG7x70,https://cn.noxinfluencer.com/tiktok/channel/68693040764252161,0,badcase,健康/摩托杂项，缺少vape相关证据
75,6719274717247865862,bean,https://cn.noxinfluencer.com/tiktok/channel/6719274717247865862,0,badcase,宠物兽医向，与vape推广不匹配
76,6815648144589325318,OG RichardFitzwell,https://cn.noxinfluencer.com/tiktok/channel/6815648144589325318,0,badcase,军旅向，和 vape 推广无关
78,6770665084038661126,ËŁ C1ncö,https://cn.noxinfluencer.com/tiktok/channel/6770665084038661126,0,badcase,舞蹈娱乐向，和 vape 推广无关
79,7203812115178554414,jae,https://cn.noxinfluencer.com/tiktok/channel/7203812115178554414,0,badcase,娱乐舞蹈向，和 vape 推广无关
80,91632296507613185,The General,https://cn.noxinfluencer.com/tiktok/channel/91632296507613185,0,badcase,stocktok 向，和 vape 推广目标不匹配
81,6744412395672503301,Twinternational,https://cn.noxinfluencer.com/tiktok/channel/6744412395672503301,0,badcase,搞笑娱乐向，和 vape 推广无关
83,7181847190342501418,alissa 🍄,https://cn.noxinfluencer.com/tiktok/channel/7181847190342501418,0,badcase,无标签和内容信号，无法支持判断
84,6763482404881646598,Real_buckTv,https://cn.noxinfluencer.com/tiktok/channel/6763482404881646598,0,badcase,娱乐绿幕向，和 vape 推广无关
85,6805636255114019845,christina luu,https://cn.noxinfluencer.com/tiktok/channel/6805636255114019845,0,badcase,泛生活向，缺少 vape 相关信号
86,14292057,kayle,https://cn.noxinfluencer.com/tiktok/channel/14292057,0,badcase,信号缺失，无法判断为 vape 相关
