rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
6,6588887484310028289,Trippydripp,https://cn--xtb.noxinfluencer.com/tiktok/channel/6588887484310028289,0,badcase,与 vape 无关
7,6766385839205696517,Ravi Knows All,https://cn--xtb.noxinfluencer.com/tiktok/channel/6766385839205696517,0,badcase,与 vape 无关
8,7361694772972831790,TOKYOEJUICE,https://cn--xtb.noxinfluencer.com/tiktok/channel/7361694772972831790,0,badcase,无标签证据，无法确认 vape 相关
9,6917816432135635973,Vinnie Brigance,https://cn--xtb.noxinfluencer.com/tiktok/channel/6917816432135635973,5,badcase,虽有 vape 标签，但核心是戒烟/催眠，推广不匹配
11,6965951892741637126,RUBY DELILAH,https://cn--xtb.noxinfluencer.com/tiktok/channel/6965951892741637126,0,badcase,与 vape 无关
12,6787143677850043398,KJWOCK,https://cn--xtb.noxinfluencer.com/tiktok/channel/6787143677850043398,0,badcase,与 vape 无关
13,6644285746188910597,iamryanprice,https://cn--xtb.noxinfluencer.com/tiktok/channel/6644285746188910597,0,badcase,与 vape 无关
14,6737810526791468037,HolyGxd ( HolyGod ),https://cn--xtb.noxinfluencer.com/tiktok/channel/6737810526791468037,0,badcase,与 vape 无关
15,6776452826282738694,lyfe4ever,https://cn--xtb.noxinfluencer.com/tiktok/channel/6776452826282738694,0,badcase,与 vape 无关
16,7183045647674360874,jade emperor,https://cn--xtb.noxinfluencer.com/tiktok/channel/7183045647674360874,0,badcase,与 vape 无关
19,6786034106474185733,Tay,https://cn--xtb.noxinfluencer.com/tiktok/channel/6786034106474185733,0,badcase,与 vape 无关
21,6758187527763903494,Ria,https://cn--xtb.noxinfluencer.com/tiktok/channel/6758187527763903494,0,badcase,与 vape 无关
22,6901554766620820486,MOTI Vape,https://cn--xtb.noxinfluencer.com/tiktok/channel/6901554766620820486,0,badcase,无标签证据，名称虽像 vape 但未在标签体现
23,6715534421137081349,Charlotte Briar D’Alessio,https://cn--xtb.noxinfluencer.com/tiktok/channel/6715534421137081349,0,badcase,与 vape 无关
24,6929712950963323910,SiIas,https://cn--xtb.noxinfluencer.com/tiktok/channel/6929712950963323910,0,badcase,与 vape 无关
25,6736341086765958149,huntergrazianoo,https://cn--xtb.noxinfluencer.com/tiktok/channel/6736341086765958149,0,badcase,与 vape 无关
26,6652689530271744005,Cazwell,https://cn--xtb.noxinfluencer.com/tiktok/channel/6652689530271744005,0,badcase,娱乐向，缺少 vape 相关受众与消费场景
27,7128068699462288430,simplisick,https://cn--xtb.noxinfluencer.com/tiktok/channel/7128068699462288430,0,badcase,标签无关，和 vape 推广没有明显关联
28,6675724525097550853,Purple,https://cn--xtb.noxinfluencer.com/tiktok/channel/6675724525097550853,0,badcase,无标签，无法判断为 vape 相关频道
29,6738210531737863174,joshdabarber,https://cn--xtb.noxinfluencer.com/tiktok/channel/6738210531737863174,0,badcase,内容指向 barber/twin，和 vape 无关
30,7352176043396940842,Outre,https://cn--xtb.noxinfluencer.com/tiktok/channel/7352176043396940842,0,badcase,宗教内容为主，和 vape 推广无关
31,7316176640261604398,Jai Haze,https://cn--xtb.noxinfluencer.com/tiktok/channel/7316176640261604398,0,badcase,无标签与视频证据，相关性不足
32,7467909344794969131,user2614539426194.1,https://cn--xtb.noxinfluencer.com/tiktok/channel/7467909344794969131,0,badcase,无标签与视频证据，相关性不足
33,6698956969200894981,Roman,https://cn--xtb.noxinfluencer.com/tiktok/channel/6698956969200894981,0,badcase,园艺/音乐向，和 vape 推广无关
34,6868753609141650437,#STAYFREAKY,https://cn--xtb.noxinfluencer.com/tiktok/channel/6868753609141650437,0,badcase,无内容证据，无法支持 vape 投放
35,9878295,Jessica💖,https://cn--xtb.noxinfluencer.com/tiktok/channel/9878295,0,badcase,通用 greenscreen 内容，和 vape 无关
36,7225806999845733419,Stacy's secret,https://cn--xtb.noxinfluencer.com/tiktok/channel/7225806999845733419,0,badcase,无标签与视频证据，相关性不足
37,6866110405041193990,hell,https://cn--xtb.noxinfluencer.com/tiktok/channel/6866110405041193990,0,badcase,内容不明，无法建立 vape 相关性
