rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
1,6649886657578270725,Alythuh,https://cn--xtb.noxinfluencer.com/tiktok/channel/6649886657578270725,0,badcase,艺术/宠物向，和瑜伽垫推广目标不相关
3,7029388700410102789,TinyProtectors,https://cn--xtb.noxinfluencer.com/tiktok/channel/7029388700410102789,0,badcase,无标签无视频，缺少可判断信号
8,7321779378709660718,writes.79,https://cn--xtb.noxinfluencer.com/tiktok/channel/7321779378709660718,0,badcase,地区/文案号，和瑜伽垫无关
9,7329732318237918250,Dani124,https://cn--xtb.noxinfluencer.com/tiktok/channel/7329732318237918250,-10,badcase,歌词/状态号偏娱乐，推广瑜伽垫不合适
11,7346991851734139934,Yo-yo,https://cn--xtb.noxinfluencer.com/tiktok/channel/7346991851734139934,0,badcase,无标签无视频，无法确认匹配度
12,6746986412224201734,C A R R I Z O,https://cn--xtb.noxinfluencer.com/tiktok/channel/6746986412224201734,0,badcase,无标签无视频，无法确认匹配度
13,7478734499141436462,caseyclicks,https://cn--xtb.noxinfluencer.com/tiktok/channel/7478734499141436462,0,badcase,无标签无视频，无法确认匹配度
14,7014832869718459397,edinorozheek,https://cn--xtb.noxinfluencer.com/tiktok/channel/7014832869718459397,-10,badcase,娱乐/影视号，与瑜伽垫推广场景不匹配
15,7298731528685732906,komalmeer081,https://cn--xtb.noxinfluencer.com/tiktok/channel/7298731528685732906,-10,badcase,娱乐热视频号，和产品推广场景不匹配
16,6869206634586817542,Samuella (Sam-u-Ella) 🍉,https://cn--xtb.noxinfluencer.com/tiktok/channel/6869206634586817542,0,badcase,艺术/日记号，和瑜伽垫无关
17,6813626422079276038,Piper Lynn,https://cn--xtb.noxinfluencer.com/tiktok/channel/6813626422079276038,0,badcase,个人情绪内容，和瑜伽垫推广关联弱
21,6794422356451640325,yogawjackie,https://cn--xtb.noxinfluencer.com/tiktok/channel/6794422356451640325,0,badcase,无标签无视频，无法确认匹配度
22,7456947816281392174,clubswellter,https://cn--xtb.noxinfluencer.com/tiktok/channel/7456947816281392174,0,badcase,无标签无视频，无法确认匹配度
23,6597021196910133254,Jamie Griffin,https://cn--xtb.noxinfluencer.com/tiktok/channel/6597021196910133254,0,badcase,无标签无视频，无法确认匹配度
24,7499881945238881310,blushyoga,https://cn--xtb.noxinfluencer.com/tiktok/channel/7499881945238881310,0,badcase,无标签无视频，无法确认匹配度
25,7439299116105352235,hua,https://cn--xtb.noxinfluencer.com/tiktok/channel/7439299116105352235,0,badcase,无标签无视频，无法确认匹配度
26,7599668851991348238,CarlysCalm,https://cn--xtb.noxinfluencer.com/tiktok/channel/7599668851991348238,0,badcase,无相关标签或视频，缺少推广相关性
27,7327282003513295914,sania00108,https://cn--xtb.noxinfluencer.com/tiktok/channel/7327282003513295914,0,badcase,无相关标签或视频，缺少推广相关性
28,6770846489536463878,Des 🌞,https://cn--xtb.noxinfluencer.com/tiktok/channel/6770846489536463878,0,badcase,无相关标签或视频，缺少推广相关性
29,7597401778518770701,TyrahIris,https://cn--xtb.noxinfluencer.com/tiktok/channel/7597401778518770701,0,badcase,无相关标签或视频，缺少推广相关性
