rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
3,UCIsl-_9jw9GmKz1Ud8sdfSg,Krishi Bioscope,https://cn.noxinfluencer.com/youtube/channel/UCIsl-_9jw9GmKz1Ud8sdfSg,0,badcase,仅泛生活/食品标签，相关性弱
4,UC0GRgB6SnoCMAwWifIxVHxA,考古女孩,https://cn.noxinfluencer.com/youtube/channel/UC0GRgB6SnoCMAwWifIxVHxA,0,badcase,户外建造为主，与农产品推广不匹配
5,UCTf0ab-tBxWSFaUXdSZENow,xrw5,https://cn.noxinfluencer.com/youtube/channel/UCTf0ab-tBxWSFaUXdSZENow,0,badcase,无有效标签，无法判断
6,UChk4yVdC8CYA3r8eN0V0swQ,Marcus Stories,https://cn.noxinfluencer.com/youtube/channel/UChk4yVdC8CYA3r8eN0V0swQ,-5,badcase,影视叙事类，和农产品推广错位
9,UCOjlQXFgOIyoAQaBPdufdIA,Feifei Loves Eat Drink,https://cn.noxinfluencer.com/youtube/channel/UCOjlQXFgOIyoAQaBPdufdIA,-10,badcase,娱乐影视为主，不适合农产品推广
13,UCHRsaKh4s9qsg9c88JG1nRw,Prepare Bricks,https://cn.noxinfluencer.com/youtube/channel/UCHRsaKh4s9qsg9c88JG1nRw,0,badcase,瓷砖装修场景，和农产品无关
18,UClwkHk39avEEvwhJEKBuoFQ,Thắng Hoa Mountain life,https://cn.noxinfluencer.com/youtube/channel/UClwkHk39avEEvwhJEKBuoFQ,0,badcase,单人生活为主，农产品相关性弱
25,UCdFxTnVY1Tx2pGTKmLzmQAA,Orphan Thủy An,https://cn.noxinfluencer.com/youtube/channel/UCdFxTnVY1Tx2pGTKmLzmQAA,0,badcase,人物故事向，和农产品推广不匹配
26,UCjkkPftexoK8D6pYPe4QCgA,Aliyi Science Tube,https://cn.noxinfluencer.com/youtube/channel/UCjkkPftexoK8D6pYPe4QCgA,0,badcase,科普向，缺少农业/农产品语境
27,UCPBVzb_Z9X-qZp8ETpQIRLg,Ly Dinh Quang - The Wandering Boy,https://cn.noxinfluencer.com/youtube/channel/UCPBVzb_Z9X-qZp8ETpQIRLg,5,badcase,故事叙事向，农业相关性弱
