rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
4,UC0GRgB6SnoCMAwWifIxVHxA,考古女孩,https://cn--xtb.noxinfluencer.com/youtube/channel/UC0GRgB6SnoCMAwWifIxVHxA,0,badcase,无农业相关标签，偏户外建造内容，相关性弱
5,UChk4yVdC8CYA3r8eN0V0swQ,Marcus Stories,https://cn--xtb.noxinfluencer.com/youtube/channel/UChk4yVdC8CYA3r8eN0V0swQ,-5,badcase,偏电影/社会叙事，与农产品推广不匹配
8,UCTf0ab-tBxWSFaUXdSZENow,xrw5,https://cn--xtb.noxinfluencer.com/youtube/channel/UCTf0ab-tBxWSFaUXdSZENow,0,badcase,无标签无证据，难判断为农业相关
14,UCXFLI3apBV_-2yxsQpBTtMQ,T Studio,https://cn--xtb.noxinfluencer.com/youtube/channel/UCXFLI3apBV_-2yxsQpBTtMQ,-15,badcase,ASMR/满足感格式与农产品推广强冲突
22,UC2oVEWtaHjc55Q7M9zTpr9w,Adventure Bangla,https://cn--xtb.noxinfluencer.com/youtube/channel/UC2oVEWtaHjc55Q7M9zTpr9w,-15,badcase,娱乐短视频为主，与农产品推广不匹配
25,UCbGX_eO35JnKdqCHyGrrvzw,Mr Sina,https://cn--xtb.noxinfluencer.com/youtube/channel/UCbGX_eO35JnKdqCHyGrrvzw,0,badcase,无农业相关标签，相关性不足
30,UCpMaTMw5nv22MRVsO2T9Ddw,Krishok O Krishi,https://cn--xtb.noxinfluencer.com/youtube/channel/UCpMaTMw5nv22MRVsO2T9Ddw,0,badcase,仅生活标签，缺少农业语义，不适合推广
31,UCHpa4-sBO54QsF32RjW5sHA,Cuhel Horace,https://cn--xtb.noxinfluencer.com/youtube/channel/UCHpa4-sBO54QsF32RjW5sHA,0,badcase,娱乐/生活为主，缺少农业或农产品语义
34,UCSzPu3rnJXPE-nGl3q--nXA,Phuc An Daily Life,https://cn--xtb.noxinfluencer.com/youtube/channel/UCSzPu3rnJXPE-nGl3q--nXA,0,badcase,只有日常和饮食标签，和农产品推广无关
35,UCZbl0uXk_wFDSVTZUiJCP5A,Ideal Crafts,https://cn--xtb.noxinfluencer.com/youtube/channel/UCZbl0uXk_wFDSVTZUiJCP5A,-5,badcase,有农业/养殖，但ASMR格式不适合推广
