rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,UCKivz9mC5XOD3mH8D7mDq7A,Naomi Broquet,https://cn--xtb.noxinfluencer.com/youtube/channel/UCKivz9mC5XOD3mH8D7mDq7A,0,badcase,缺少标签和视频证据，无法判断相关性
5,UC16eNQvXkmxFrgmTdnPJKuA,小头猫静,https://cn--xtb.noxinfluencer.com/youtube/channel/UC16eNQvXkmxFrgmTdnPJKuA,0,badcase,无标签和内容证据，无法支持相关性
7,UCaTF-GWs7wSxqPAu-NADYrg,Koohry,https://cn--xtb.noxinfluencer.com/youtube/channel/UCaTF-GWs7wSxqPAu-NADYrg,-15,badcase,娱乐/游戏为主，与婴儿补充剂推广明显不符
8,UCm3ddBJ6tlxMV9Zpmw2rSrg,Yanelis y su Familia,https://cn--xtb.noxinfluencer.com/youtube/channel/UCm3ddBJ6tlxMV9Zpmw2rSrg,0,badcase,无标签和视频证据，无法判断相关性
9,UCdBbDLiQ1mvrjXI9bnc9DnQ,七七是个大宝贝,https://cn--xtb.noxinfluencer.com/youtube/channel/UCdBbDLiQ1mvrjXI9bnc9DnQ,0,badcase,无标签和视频证据，无法判断相关性
11,UChNKcEGkL3mbd3fWVnQ9G8w,Natural Priyanka Vlogs USA,https://cn--xtb.noxinfluencer.com/youtube/channel/UChNKcEGkL3mbd3fWVnQ9G8w,0,badcase,家庭/美食vlog但无婴幼儿或营养信号
12,UCwI4kljhcD2lur0PlJaEF1Q,Ishimwe Gisele 🥀,https://cn--xtb.noxinfluencer.com/youtube/channel/UCwI4kljhcD2lur0PlJaEF1Q,0,badcase,无标签和视频证据，无法判断相关性
14,UC23gy5gIUfZeCzzP3Y2QFZw,HananTube,https://cn--xtb.noxinfluencer.com/youtube/channel/UC23gy5gIUfZeCzzP3Y2QFZw,0,badcase,无标签和视频证据，无法判断相关性
16,UCM0IOabtzkNCWOhj_RJ9KuQ,COPS Camera USA,https://cn--xtb.noxinfluencer.com/youtube/channel/UCM0IOabtzkNCWOhj_RJ9KuQ,-15,badcase,影视娱乐内容，与母婴补充剂推广不匹配
17,UCWGiaIitYCA_wLin0xBG2kg,Baby Velora,https://cn--xtb.noxinfluencer.com/youtube/channel/UCWGiaIitYCA_wLin0xBG2kg,0,badcase,无标签和视频证据，无法判断相关性
19,UCWdUnQ3Z3qYgQ-Rw8Hku4oA,Islamic Shorts 2.0,https://cn--xtb.noxinfluencer.com/youtube/channel/UCWdUnQ3Z3qYgQ-Rw8Hku4oA,0,badcase,宗教/乡村生活主题，与婴儿补充剂无明显关联
20,UCKMfm4XMWC_9BvPD2YaJzrA,Ciencia y Salud - Vive Mejor,https://cn--xtb.noxinfluencer.com/youtube/channel/UCKMfm4XMWC_9BvPD2YaJzrA,0,badcase,无标签和视频证据，无法支持相关性
21,UCPJnJUVOOpuhH3f8UuKkvxw,Little Tots Nest,https://cn--xtb.noxinfluencer.com/youtube/channel/UCPJnJUVOOpuhH3f8UuKkvxw,0,badcase,仅名称偏儿童向，缺少可验证标签
23,UCfGgKZr9e7Rj-tBOqcmNvnA,Baby's Care & LifeStyle,https://cn--xtb.noxinfluencer.com/youtube/channel/UCfGgKZr9e7Rj-tBOqcmNvnA,0,badcase,仅名称偏母婴，缺少标签与内容证据
24,UCf9hKlngqgySuDp4hPmhBYw,Evanji,https://cn--xtb.noxinfluencer.com/youtube/channel/UCf9hKlngqgySuDp4hPmhBYw,-15,badcase,游戏/故事向娱乐频道，和婴儿补充剂不匹配
27,UCmjPb3T2-lNjHP03USh4xYg,Daily Life49,https://cn--xtb.noxinfluencer.com/youtube/channel/UCmjPb3T2-lNjHP03USh4xYg,-3,badcase,娱乐内容为主，只有泛婴儿标签，商品推广相关性弱
30,UCIqUoeacJrgsNtd7M9a0ipA,TisKaVo,https://cn--xtb.noxinfluencer.com/youtube/channel/UCIqUoeacJrgsNtd7M9a0ipA,0,badcase,缺少任何相关标签或内容证据
33,UCbzZ2WEimYa_TZQ2KX-Jnyw,Life With Mia,https://cn--xtb.noxinfluencer.com/youtube/channel/UCbzZ2WEimYa_TZQ2KX-Jnyw,-5,badcase,美妆发型为主，和婴儿补充剂受众不匹配
35,UCYUtiI8Kiqe4nr_0z5BLiYA,Helen 민정 Choe,https://cn--xtb.noxinfluencer.com/youtube/channel/UCYUtiI8Kiqe4nr_0z5BLiYA,0,badcase,生活vlog和美妆为主，缺少母婴购买语境
37,UCsfNXx29GQs_v-Z-PZicfJQ,Arfan Zee,https://cn--xtb.noxinfluencer.com/youtube/channel/UCsfNXx29GQs_v-Z-PZicfJQ,0,badcase,旅行内容与婴儿补充剂关联很弱
38,UCV3ISIB-AQBbixQY4Z6HX7A,Candymania,https://cn--xtb.noxinfluencer.com/youtube/channel/UCV3ISIB-AQBbixQY4Z6HX7A,0,badcase,仅有泛生活标签，缺少母婴或营养相关信号
