rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
12,UCfqNUoJTci-tE6gfXVwwwXg,Madison Ryann Ward,https://cn--xtb.noxinfluencer.com/youtube/channel/UCfqNUoJTci-tE6gfXVwwwXg,0,badcase,纯音乐频道，与美妆无关
24,UCTJ7miJnZWuyWGl9VIXyueg,Aura Vibe,https://cn--xtb.noxinfluencer.com/youtube/channel/UCTJ7miJnZWuyWGl9VIXyueg,5,badcase,ASMR/娱乐主导，不适合美妆投放
25,UCVwLS4Q44le_Z4Q--DDfIzA,MuniSanchez,https://cn--xtb.noxinfluencer.com/youtube/channel/UCVwLS4Q44le_Z4Q--DDfIzA,0,badcase,旅行日常频道，与美妆无关
27,UC2cFvIqq9J10Vwx6kw3Mfvg,ʚ loveybuns ɞ,https://cn--xtb.noxinfluencer.com/youtube/channel/UC2cFvIqq9J10Vwx6kw3Mfvg,0,badcase,无标签、无内容证据，无法判断为美妆相关
31,UC9Hw33MlG8YYE2A0x2YUPIw,بندر الحربى,https://cn--xtb.noxinfluencer.com/youtube/channel/UC9Hw33MlG8YYE2A0x2YUPIw,0,badcase,无可用标签和内容证据
32,UCVqOooZ_vIuHGFOQTKLZJKA,million dollar woman,https://cn--xtb.noxinfluencer.com/youtube/channel/UCVqOooZ_vIuHGFOQTKLZJKA,0,badcase,生活方式/音乐向，缺少美妆推广信号
33,UCJJjBdTbd_ws3J3nLA8I_Sg,radmiru,https://cn--xtb.noxinfluencer.com/youtube/channel/UCJJjBdTbd_ws3J3nLA8I_Sg,-15,badcase,ASMR/mukbang 格式与美妆推广强不匹配
48,UC8lSoN6oTsr_yvQPDAcfrGw,brvlcon,https://cn--xtb.noxinfluencer.com/youtube/channel/UC8lSoN6oTsr_yvQPDAcfrGw,-15,badcase,军政新闻向，与美妆推广明显不符
57,UChw7CgCcJoAGuWs_rw8vXzg,Luisa Piou,https://cn--xtb.noxinfluencer.com/youtube/channel/UChw7CgCcJoAGuWs_rw8vXzg,0,badcase,缺少 beauty 相关内容，偏泛时尚生活
65,UCsz7pLnTPNraoOy2AuLsyzw,Priscilla Ono,https://cn--xtb.noxinfluencer.com/youtube/channel/UCsz7pLnTPNraoOy2AuLsyzw,0,badcase,仅 lifestyle，缺少 beauty 相关证据
76,UCi4eR4mp7A4pdLE3quyeA_A,JennyMcCarthyTV,https://cn--xtb.noxinfluencer.com/youtube/channel/UCi4eR4mp7A4pdLE3quyeA_A,0,badcase,娱乐影视向，无美妆相关证据
83,UCFVV32LVCLGqQA_TgEqfi1w,IslaASMR,https://cn--xtb.noxinfluencer.com/youtube/channel/UCFVV32LVCLGqQA_TgEqfi1w,8,badcase,ASMR刷发格式与美妆推广不匹配
105,UCkZRtBQcXLWI9b_1RLKFokw,Eli Gomez,https://cn--xtb.noxinfluencer.com/youtube/channel/UCkZRtBQcXLWI9b_1RLKFokw,0,badcase,无可用标签，无法判断为beauty相关
118,UCYpUe8EKAI2MytB32UvSC2w,Kylie Volkers,https://cn--xtb.noxinfluencer.com/youtube/channel/UCYpUe8EKAI2MytB32UvSC2w,0,badcase,只有lifestyle，缺少beauty相关证据
122,UCweCPFfadLMB7yAQe8nBgcA,Sara Hesri,https://cn--xtb.noxinfluencer.com/youtube/channel/UCweCPFfadLMB7yAQe8nBgcA,0,badcase,娱乐/情侣喜剧为主，与beauty投放不匹配
123,UCLkSTQZVXTxMib-41zeydYQ,CB Shorts,https://cn--xtb.noxinfluencer.com/youtube/channel/UCLkSTQZVXTxMib-41zeydYQ,0,badcase,车辆/农机内容，和beauty完全无关
129,UCE2hPvDTTEUi2S_I3VSQIkg,Skai Jackson,https://cn--xtb.noxinfluencer.com/youtube/channel/UCE2hPvDTTEUi2S_I3VSQIkg,0,badcase,仅生活方式标签，和美妆推广关联很弱
135,UCI-R1b6P6cUBXF79_ZJ7OOw,Alibaba Utilities,https://cn--xtb.noxinfluencer.com/youtube/channel/UCI-R1b6P6cUBXF79_ZJ7OOw,0,badcase,兴趣杂项频道，与美妆投放不匹配
138,UCWqFUoHnAL91wmMe1Dgc2KA,Abigail Lutz,https://cn--xtb.noxinfluencer.com/youtube/channel/UCWqFUoHnAL91wmMe1Dgc2KA,0,badcase,娱乐生活向频道，与美妆推广关联很弱
140,UC7ZoTgXWonv3Q0WWm5c00Pw,Ember West,https://cn--xtb.noxinfluencer.com/youtube/channel/UC7ZoTgXWonv3Q0WWm5c00Pw,0,badcase,娱乐音乐向频道，不适合美妆产品推广
145,UCUnMONE_SIDjVajdQqZaolA,CaPriel Annissa,https://cn--xtb.noxinfluencer.com/youtube/channel/UCUnMONE_SIDjVajdQqZaolA,0,badcase,无有效标签，无法判断为美妆相关
148,UCCoTT1SMKGhjJ95_CHzIcVA,REXSY Romantic Piano Symphonics Ecstasy,https://cn--xtb.noxinfluencer.com/youtube/channel/UCCoTT1SMKGhjJ95_CHzIcVA,5,badcase,主域是音乐，beauty仅弱标签，不适合美妆投放
164,UCjsQSSqBzYT8yMkqzPsYSDw,DreamLook_Jg,https://cn--xtb.noxinfluencer.com/youtube/channel/UCjsQSSqBzYT8yMkqzPsYSDw,0,badcase,无标签无内容证据，无法判断为美妆相关
165,UCylDAGpDQDphisExImO6uRA,Maddyreviews ASMR,https://cn--xtb.noxinfluencer.com/youtube/channel/UCylDAGpDQDphisExImO6uRA,8,badcase,ASMR为主，和美妆推广场景明显不匹配
175,UCvHhQJcsnDEoVMZWA5xnRZA,La La Life,https://cn--xtb.noxinfluencer.com/youtube/channel/UCvHhQJcsnDEoVMZWA5xnRZA,5,badcase,以娱乐恶搞为主，不适合美妆推广
177,UCCwlsfMdb1lUhaw2dm7FV6A,Beauty 뷰티 ASMR,https://cn--xtb.noxinfluencer.com/youtube/channel/UCCwlsfMdb1lUhaw2dm7FV6A,5,badcase,ASMR主导，虽有美妆词但推广格式不合适
188,UCVfdxkYQPCeJs1nrc1-7uTg,Skyami,https://cn--xtb.noxinfluencer.com/youtube/channel/UCVfdxkYQPCeJs1nrc1-7uTg,0,badcase,缺少美妆相关信号，相关性弱
191,UClhp9r6NXY_OecSPL_AOJcQ,Caitlin Thexton,https://cn--xtb.noxinfluencer.com/youtube/channel/UClhp9r6NXY_OecSPL_AOJcQ,0,badcase,缺少美妆相关信号，相关性弱
195,UC1vLRLiOr3t0qDOpiLGSaGA,Gawee,https://cn--xtb.noxinfluencer.com/youtube/channel/UC1vLRLiOr3t0qDOpiLGSaGA,0,badcase,缺少美妆相关信号，相关性弱
196,UCQuI8E2LgHPFDxq-0OsATQQ,Angela Chalet,https://cn--xtb.noxinfluencer.com/youtube/channel/UCQuI8E2LgHPFDxq-0OsATQQ,0,badcase,缺少美妆相关信号，相关性弱
197,UCHcVHa8W40Hzgq16hsPtSWg,Julia Tiffany,https://cn--xtb.noxinfluencer.com/youtube/channel/UCHcVHa8W40Hzgq16hsPtSWg,5,badcase,ASMR主导，虽有美妆词但不适合推广
200,UCCK2EyVWqbSzMS1eoC8vnKg,Ana Beauty,https://cn--xtb.noxinfluencer.com/youtube/channel/UCCK2EyVWqbSzMS1eoC8vnKg,0,badcase,缺少美妆相关信号，相关性弱
202,UC_eIg437iqwOE3Jnd1bnTzw,Jermaine Williams,https://cn--xtb.noxinfluencer.com/youtube/channel/UC_eIg437iqwOE3Jnd1bnTzw,0,badcase,无标签无内容证据，无法判断与beauty相关
205,UC3EFKdXAU99j3ppGgvTz7XQ,Bretman Rock,https://cn--xtb.noxinfluencer.com/youtube/channel/UC3EFKdXAU99j3ppGgvTz7XQ,0,badcase,偏娱乐搞笑，缺少beauty或美妆推广证据
213,UCB_TGajnJymiSmu6zWkjW2Q,W Magazine,https://cn--xtb.noxinfluencer.com/youtube/channel/UCB_TGajnJymiSmu6zWkjW2Q,-12,badcase,娱乐+ASMR为主，和beauty推广格式明显不匹配
225,UCI3szCgzGTRBTF_2dVaTZdQ,Salish,https://cn--xtb.noxinfluencer.com/youtube/channel/UCI3szCgzGTRBTF_2dVaTZdQ,0,badcase,无标签与内容信息，无法建立beauty相关性
237,UCRH8pFQ5LXdFj-2UCz8MQbA,guoba,https://cn--xtb.noxinfluencer.com/youtube/channel/UCRH8pFQ5LXdFj-2UCz8MQbA,-5,badcase,仅音乐/健康泛标签，缺少美妆受众
