rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,UC-b79wTDquaFDMHdVlMSZ4g,Forgotten History Files,https://cn.noxinfluencer.com/youtube/channel/UC-b79wTDquaFDMHdVlMSZ4g,0,badcase,无标签无内容，和咖啡机无关
9,UC2AUc-4_yMsFHLfPP9Ub8ZA,George Fan,https://cn.noxinfluencer.com/youtube/channel/UC2AUc-4_yMsFHLfPP9Ub8ZA,0,badcase,无标签无内容，无法判断相关性
10,UCYuIWYPQQ4JAFBGHzjFjSFQ,Unveiling Gears,https://cn.noxinfluencer.com/youtube/channel/UCYuIWYPQQ4JAFBGHzjFjSFQ,0,badcase,无标签无内容，无法判断相关性
12,UCxa1-6tdkyOAXanjDWExaqQ,Pan Boroda,https://cn.noxinfluencer.com/youtube/channel/UCxa1-6tdkyOAXanjDWExaqQ,0,badcase,车生活频道，和咖啡机无关
13,UC9l8Ysqe3bx4RG3aet4080w,The Mature Diva: Midlife Made Fabulous,https://cn.noxinfluencer.com/youtube/channel/UC9l8Ysqe3bx4RG3aet4080w,0,badcase,时尚生活为主，咖啡机不匹配
16,UCVz7SgaIH0x0NOtMYkBnA3g,HOW TO,https://cn.noxinfluencer.com/youtube/channel/UCVz7SgaIH0x0NOtMYkBnA3g,0,badcase,过于泛化，无咖啡机相关证据
23,UC8Nr144OO16a0Vt8kTXGYsg,Billy Aiken,https://cn.noxinfluencer.com/youtube/channel/UC8Nr144OO16a0Vt8kTXGYsg,0,badcase,财经营销号，和咖啡机无关
25,UCzqX7sZ3XaE6e2oeeJtWZ-Q,Amz Honest Reviewer,https://cn.noxinfluencer.com/youtube/channel/UCzqX7sZ3XaE6e2oeeJtWZ-Q,0,badcase,知识教育号，无咖啡机证据
27,UCyx8oMDV6UUTj9DUQZmu_lw,Mind Over Mess,https://cn.noxinfluencer.com/youtube/channel/UCyx8oMDV6UUTj9DUQZmu_lw,5,badcase,ASMR清洁型，和咖啡机推广格式不匹配
32,UCF_Lie2VpTv5OzN6AOPxIKA,Theresa Krug,https://cn.noxinfluencer.com/youtube/channel/UCF_Lie2VpTv5OzN6AOPxIKA,-10,badcase,手作/ASMR为主，不适合咖啡机推广
34,UCEkuogE57xac9EPZ3EZwWIg,Morgan Eckroth,https://cn.noxinfluencer.com/youtube/channel/UCEkuogE57xac9EPZ3EZwWIg,0,badcase,娱乐短内容为主，几乎无咖啡机相关性
38,UCpra2LkCtiSQ67ypU05lfbQ,Valentine Lewis,https://cn.noxinfluencer.com/youtube/channel/UCpra2LkCtiSQ67ypU05lfbQ,0,badcase,美妆时尚为主，咖啡机相关信号很弱
42,UCA3uN7IN2GClwa4OslN4DAw,Mrr Little,https://cn.noxinfluencer.com/youtube/channel/UCA3uN7IN2GClwa4OslN4DAw,0,badcase,vlog娱乐向，和咖啡机推广不匹配
47,UCQRwnN5O01LpT_gJ-ZKAz8g,Nealie Boschma,https://cn.noxinfluencer.com/youtube/channel/UCQRwnN5O01LpT_gJ-ZKAz8g,0,badcase,短视频泛内容，几乎无咖啡机相关性
49,UC0bXm7SnF_ssc47s6Ab8Yhg,Jack Du,https://cn.noxinfluencer.com/youtube/channel/UC0bXm7SnF_ssc47s6Ab8Yhg,0,badcase,泛生活健康号，缺少咖啡机相关受众
53,UCEx3_RBoQQ6HbsJl_EuAUOg,Purity Sin Gaming,https://cn.noxinfluencer.com/youtube/channel/UCEx3_RBoQQ6HbsJl_EuAUOg,-15,badcase,游戏娱乐向，与咖啡机导购场景明显不符
54,UCXB3Nt_Zk9c5Vp4EWSZPcLQ,ChillSnap,https://cn.noxinfluencer.com/youtube/channel/UCXB3Nt_Zk9c5Vp4EWSZPcLQ,-15,badcase,ASMR放松向，属于强格式不匹配
65,UCYjSxwrpOInzuU1hz1l9FsA,Imran Ahmed Khan,https://cn.noxinfluencer.com/youtube/channel/UCYjSxwrpOInzuU1hz1l9FsA,0,badcase,无标签无内容证据
69,UCR-n-jxtKFYJGdC9OjlfaaA,ChrisGTXvideos,https://cn.noxinfluencer.com/youtube/channel/UCR-n-jxtKFYJGdC9OjlfaaA,-15,badcase,喜剧短视频，和咖啡机导购场景不匹配
70,UCu0l4tapSKohQ9sCNA6x_3g,Mirkojax,https://cn.noxinfluencer.com/youtube/channel/UCu0l4tapSKohQ9sCNA6x_3g,-15,badcase,怀旧娱乐向，不适合咖啡机推广
77,UCH0kxOnpXGem-BjCHn_uS2Q,Dulce pink🐺,https://cn.noxinfluencer.com/youtube/channel/UCH0kxOnpXGem-BjCHn_uS2Q,0,badcase,美妆生活号，与咖啡机无关
78,UCi3IzXpx5NDRwON3hRbMhHg,PromoCodePal,https://cn.noxinfluencer.com/youtube/channel/UCi3IzXpx5NDRwON3hRbMhHg,-15,badcase,娱乐 meme 号，促销场景不匹配
79,UCUma6mjYMjRHj9La8ye7mSA,Penglai Machines,https://cn.noxinfluencer.com/youtube/channel/UCUma6mjYMjRHj9La8ye7mSA,0,badcase,泛生活号，缺少咖啡机证据
