rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
3,UC-b79wTDquaFDMHdVlMSZ4g,Forgotten History Files,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-b79wTDquaFDMHdVlMSZ4g,0,badcase,无标签无内容证据，无法判断为相关频道
5,UCCcct8r8g-VKHq2_fw-TOXQ,Tech Trials Blog,https://cn--xtb.noxinfluencer.com/youtube/channel/UCCcct8r8g-VKHq2_fw-TOXQ,2,badcase,仅有泛科技标签，与咖啡机推广关联弱
6,UCp6dlBkDSU-Pq591L3nRhlQ,Mcilpoog,https://cn--xtb.noxinfluencer.com/youtube/channel/UCp6dlBkDSU-Pq591L3nRhlQ,0,badcase,无标签无内容证据，无法判断为相关频道
8,UCxa1-6tdkyOAXanjDWExaqQ,Pan Boroda,https://cn--xtb.noxinfluencer.com/youtube/channel/UCxa1-6tdkyOAXanjDWExaqQ,0,badcase,车生活/移民内容，与咖啡机推广无关
9,UCRUbMWqqTVV1UIUe6AZgMyw,TOPSFLO Micro Pump,https://cn--xtb.noxinfluencer.com/youtube/channel/UCRUbMWqqTVV1UIUe6AZgMyw,0,badcase,无可用标签或视频证据，相关性不足
10,UCYuIWYPQQ4JAFBGHzjFjSFQ,Unveiling Gears,https://cn--xtb.noxinfluencer.com/youtube/channel/UCYuIWYPQQ4JAFBGHzjFjSFQ,0,badcase,无可用标签或视频证据，相关性不足
11,UCGKcCwqsaggMGfioOxsEcwA,Espresso Doc.,https://cn--xtb.noxinfluencer.com/youtube/channel/UCGKcCwqsaggMGfioOxsEcwA,0,badcase,咖啡语境相关，但ASMR风格不适合卖货
17,UCF93kQGx2jXDxcGOkRyw8Eg,Natalie Minassian,https://cn--xtb.noxinfluencer.com/youtube/channel/UCF93kQGx2jXDxcGOkRyw8Eg,10,badcase,虽有咖啡机品牌词，但ASMR风格不适合推广
26,UC2AUc-4_yMsFHLfPP9Ub8ZA,George Fan,https://cn--xtb.noxinfluencer.com/youtube/channel/UC2AUc-4_yMsFHLfPP9Ub8ZA,0,badcase,无标签、无相关内容
29,UC0m33OrU-_JpvIjxyh3RtyQ,BrewTube Cafe: Coffee Creations,https://cn--xtb.noxinfluencer.com/youtube/channel/UC0m33OrU-_JpvIjxyh3RtyQ,-25,badcase,音乐/娱乐型频道，咖啡仅是背景词
30,UChe8abiuMpGRCs2IPAzs6Xg,Kitchen Pro Supply,https://cn--xtb.noxinfluencer.com/youtube/channel/UChe8abiuMpGRCs2IPAzs6Xg,0,badcase,无可用标签与内容证据
33,UCCb1R887gL1pxuL7iObUY4g,Power Gadgets,https://cn--xtb.noxinfluencer.com/youtube/channel/UCCb1R887gL1pxuL7iObUY4g,0,badcase,缺少咖啡机相关证据
35,UC9V-LA8C7BuTr3Aag-jo1VA,Kismile Official,https://cn--xtb.noxinfluencer.com/youtube/channel/UC9V-LA8C7BuTr3Aag-jo1VA,0,badcase,无标签与内容证据
36,UC4y5Gc4BrRwTyxG-dLKzZzQ,Wirsh,https://cn--xtb.noxinfluencer.com/youtube/channel/UC4y5Gc4BrRwTyxG-dLKzZzQ,0,badcase,无标签与内容证据
38,UC8cmO1-69zz1Vj4BfoW8oHA,Yesenia Suazo,https://cn--xtb.noxinfluencer.com/youtube/channel/UC8cmO1-69zz1Vj4BfoW8oHA,0,badcase,清洁生活类，与咖啡机无关
39,UC9l8Ysqe3bx4RG3aet4080w,The Mature Diva: Midlife Made Fabulous,https://cn--xtb.noxinfluencer.com/youtube/channel/UC9l8Ysqe3bx4RG3aet4080w,0,badcase,时尚旅行类，品类不相关
43,UC8Nr144OO16a0Vt8kTXGYsg,Billy Aiken,https://cn--xtb.noxinfluencer.com/youtube/channel/UC8Nr144OO16a0Vt8kTXGYsg,0,badcase,财经/励志类，与咖啡机无关
45,UCYjSxwrpOInzuU1hz1l9FsA,Imran Ahmed Khan,https://cn--xtb.noxinfluencer.com/youtube/channel/UCYjSxwrpOInzuU1hz1l9FsA,0,badcase,无标签与内容证据
49,UC-HgHRCOYv45ecyVmfiqzoA,Eileen Joseph,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-HgHRCOYv45ecyVmfiqzoA,0,badcase,无标签与内容证据
51,UC-U-dH9DeNIdXEPYwouw5UA,GeekChef Air Fryer Recipes,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-U-dH9DeNIdXEPYwouw5UA,-8,badcase,空气炸锅食谱型频道，缺少咖啡机购买或评测场景
52,UC-W2u7Y8i_6jmeTEtQqUqJQ,Stemon,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-W2u7Y8i_6jmeTEtQqUqJQ,-8,badcase,工业粉碎/研磨设备频道，与家用咖啡机推广不符
54,UC0-ndd0-y8Z6VM3Bd78ozQw,MARK,https://cn--xtb.noxinfluencer.com/youtube/channel/UC0-ndd0-y8Z6VM3Bd78ozQw,0,badcase,无标签无内容证据，无法判断为相关频道
56,UC0bXm7SnF_ssc47s6Ab8Yhg,Jack Du,https://cn--xtb.noxinfluencer.com/youtube/channel/UC0bXm7SnF_ssc47s6Ab8Yhg,0,badcase,食物/生活泛频道，缺少咖啡机推广语境
57,UC19syw_O9tICDkb8jq4iTaw,FUBO PACKAGING MACHINERY,https://cn--xtb.noxinfluencer.com/youtube/channel/UC19syw_O9tICDkb8jq4iTaw,-10,badcase,包装机械B2B频道，非咖啡机消费推广场景
58,UC1aUng7cT-05miFlTT5X66g,Yazz,https://cn--xtb.noxinfluencer.com/youtube/channel/UC1aUng7cT-05miFlTT5X66g,0,badcase,无可用相关信号
59,UC1jy_7GSDq7kdoZuC9Vw25w,Zara,https://cn--xtb.noxinfluencer.com/youtube/channel/UC1jy_7GSDq7kdoZuC9Vw25w,0,badcase,无可用相关信号
61,UC28pLRWhwtbDvoHbzPNPmcQ,Romiter Machinery,https://cn--xtb.noxinfluencer.com/youtube/channel/UC28pLRWhwtbDvoHbzPNPmcQ,-10,badcase,食品机械B2B取向，偏工业设备，不适合咖啡机推广
