rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
49,UCWncPjFJzHkzX33IQG1ON_g,its_alexmarie,https://cn.noxinfluencer.com/youtube/channel/UCWncPjFJzHkzX33IQG1ON_g,0,badcase,生活娱乐为主，缺少数字产品推广语境
51,UC8-gx3NQeEIcr8pXxSm204Q,Mariah Leeanne,https://cn.noxinfluencer.com/youtube/channel/UC8-gx3NQeEIcr8pXxSm204Q,0,badcase,生活育儿美妆类，和数字产品推广无关
63,UCoW46VmvCuWgkOcjzE88lmQ,Artsykii,https://cn.noxinfluencer.com/youtube/channel/UCoW46VmvCuWgkOcjzE88lmQ,0,badcase,房产美妆时尚为主，和数字产品无关
64,UCBmMkLidBxJn8I0uHQSms0A,Monica Lee,https://cn.noxinfluencer.com/youtube/channel/UCBmMkLidBxJn8I0uHQSms0A,0,badcase,Wigs垂类，和数字产品推广无关
65,UC7jNKtEBuuYFHsnl91lQuHQ,Passive Biz Lucca,https://cn.noxinfluencer.com/youtube/channel/UC7jNKtEBuuYFHsnl91lQuHQ,0,badcase,无有效标签，缺少判断依据
69,UCEkJRrZUlN_YWvWPgKOo88w,Jennifer West-Granahan,https://cn.noxinfluencer.com/youtube/channel/UCEkJRrZUlN_YWvWPgKOo88w,0,badcase,纯生活标签，和数字产品无关
71,UC1Q8FmoIc4wTQouE5I1O2sw,It's Deja's World,https://cn.noxinfluencer.com/youtube/channel/UC1Q8FmoIc4wTQouE5I1O2sw,0,badcase,健身内容，和数字产品投放无关
74,UCkpT12r1YB1emBBwbstZc5g,Luxury on a Loan,https://cn.noxinfluencer.com/youtube/channel/UCkpT12r1YB1emBBwbstZc5g,0,badcase,纯娱乐向，和数字产品推广明显不匹配
79,UCLsLhL5A4FXhY9tAm_1ez5w,Delphine Tamukong,https://cn.noxinfluencer.com/youtube/channel/UCLsLhL5A4FXhY9tAm_1ez5w,-15,badcase,挑战类个人内容，与数字产品推广不符
81,UCB74q-UrWJbWvEvZTobz3MA,Tyki So Digital,https://cn.noxinfluencer.com/youtube/channel/UCB74q-UrWJbWvEvZTobz3MA,-8,badcase,时尚生活类，与数字产品推广关联弱
86,UCyDdQ3z6fB8AmxZwKSkEWTA,Shar Moore,https://cn.noxinfluencer.com/youtube/channel/UCyDdQ3z6fB8AmxZwKSkEWTA,-15,badcase,电视娱乐类，与数字产品推广不匹配
88,UCWbU53zyoS_DaEdR7PCPmfA,Vanady Hustles,https://cn.noxinfluencer.com/youtube/channel/UCWbU53zyoS_DaEdR7PCPmfA,-2,badcase,缺少标签和内容证据，相关性不足
89,UCbBkF-_ueC-oTfA9F2lwnaQ,D.I.Y. My Brand,https://cn.noxinfluencer.com/youtube/channel/UCbBkF-_ueC-oTfA9F2lwnaQ,-2,badcase,仅有泛生活/爱好标签，证据太弱
90,UCSi4GlW5YVt_7jAqKH1FnPA,Coach Dinasty,https://cn.noxinfluencer.com/youtube/channel/UCSi4GlW5YVt_7jAqKH1FnPA,-2,badcase,仅生活方式标签，无法支撑数字产品推广
94,UCpeWs3lec2fuXSz9fxVxTHg,Exposing Fake Gurus,https://cn.noxinfluencer.com/youtube/channel/UCpeWs3lec2fuXSz9fxVxTHg,-6,badcase,揭露型内容，非数字产品推广场景
95,UCU24cAMSvEPDgLsDk9QkCUg,Teara Sharda,https://cn.noxinfluencer.com/youtube/channel/UCU24cAMSvEPDgLsDk9QkCUg,-2,badcase,无标签无内容证据
97,UCeB0xg_WzIwCS6XL2Y6MQSA,Maddox Goforth,https://cn.noxinfluencer.com/youtube/channel/UCeB0xg_WzIwCS6XL2Y6MQSA,-10,badcase,娱乐健身游戏混合，和数字产品无关
98,UCQZAMZ-TepgLYqoBqU9bKxg,Daniel Martin,https://cn.noxinfluencer.com/youtube/channel/UCQZAMZ-TepgLYqoBqU9bKxg,-15,badcase,影视娱乐频道，不适合数字产品推广
102,UCT5ov78Up4nVUkKLmPa5nnA,Ello Hunny Bun,https://cn.noxinfluencer.com/youtube/channel/UCT5ov78Up4nVUkKLmPa5nnA,-10,badcase,故事娱乐向，和数字产品推广格式不匹配
103,UCyC1i1qFC7_dyrJD9JT1t3Q,Migrate with peace,https://cn.noxinfluencer.com/youtube/channel/UCyC1i1qFC7_dyrJD9JT1t3Q,0,badcase,留学移民内容为主，数字产品相关性弱
105,UCwDf9HZieddgZNOYp3kqQDA,Elevate with Tate,https://cn.noxinfluencer.com/youtube/channel/UCwDf9HZieddgZNOYp3kqQDA,0,badcase,宗教生活向，缺少数字产品推广语境
107,UC-FLOx8xry_6AuKRqYRNi8g,Saundra Rogers,https://cn.noxinfluencer.com/youtube/channel/UC-FLOx8xry_6AuKRqYRNi8g,0,badcase,信息为空，缺少判断依据
109,UCU19z2HIYrImCkRt3Zv6KNw,Toni Zargari,https://cn.noxinfluencer.com/youtube/channel/UCU19z2HIYrImCkRt3Zv6KNw,0,badcase,信息为空，缺少判断依据
110,UCdSUib8JyU4lUjSlN0AIrbQ,Her Own Magic,https://cn.noxinfluencer.com/youtube/channel/UCdSUib8JyU4lUjSlN0AIrbQ,0,badcase,信息为空，缺少判断依据
114,UCI-tE8StldHYVksq5jZrMCw,Wealth Works,https://cn.noxinfluencer.com/youtube/channel/UCI-tE8StldHYVksq5jZrMCw,0,badcase,信息为空，缺少判断依据
117,UChm39sJWgIU8V2tWy5AK7Ng,ArinzeDigital,https://cn.noxinfluencer.com/youtube/channel/UChm39sJWgIU8V2tWy5AK7Ng,0,badcase,信息为空，缺少判断依据
118,UCj-IennfdakWzeKNTBIBp4w,Orienda Oliver,https://cn.noxinfluencer.com/youtube/channel/UCj-IennfdakWzeKNTBIBp4w,0,badcase,信息为空，缺少判断依据
120,UCb4b2m7ePCHiMLz9HsXvZiQ,Wake Up To Profit with Coach Kerr,https://cn.noxinfluencer.com/youtube/channel/UCb4b2m7ePCHiMLz9HsXvZiQ,0,badcase,信息为空，缺少判断依据
121,UCnPOUG3DYp27LAxIv0_jh2g,i am Christian M.,https://cn.noxinfluencer.com/youtube/channel/UCnPOUG3DYp27LAxIv0_jh2g,0,badcase,信息为空，缺少判断依据
123,UCnH9XW0hAnbyuUxavcN13iA,Belle Perjuste,https://cn.noxinfluencer.com/youtube/channel/UCnH9XW0hAnbyuUxavcN13iA,0,badcase,时效新闻/补贴更新向，不适合数字产品推广
125,UC_jRjcT1OValDUOSDcZ6gWA,Melanie Renee,https://cn.noxinfluencer.com/youtube/channel/UC_jRjcT1OValDUOSDcZ6gWA,0,badcase,信息为空，缺少判断依据
127,UCnl1-ovhacwVAeuL7lUSDyQ,Mino Lee,https://cn.noxinfluencer.com/youtube/channel/UCnl1-ovhacwVAeuL7lUSDyQ,0,badcase,生活健身娱乐占主导，和数字产品推广关联很弱
128,UC1iFE2HvZYzOaPA3PElQgog,Nakia Denise,https://cn.noxinfluencer.com/youtube/channel/UC1iFE2HvZYzOaPA3PElQgog,0,badcase,无标签无内容信号，相关性无法成立
129,UC9FmRbrSp3uoTnxJK30KFOg,HerAiGirl,https://cn.noxinfluencer.com/youtube/channel/UC9FmRbrSp3uoTnxJK30KFOg,0,badcase,无标签无内容信号，相关性无法成立
131,UCYukDislbm-dkbRc_EryIQQ,Aniya Selena,https://cn.noxinfluencer.com/youtube/channel/UCYukDislbm-dkbRc_EryIQQ,0,badcase,无标签无内容信号，相关性无法成立
137,UC4EwD-RNKTWTxfaPokQaCYA,Myles Youngblood,https://cn.noxinfluencer.com/youtube/channel/UC4EwD-RNKTWTxfaPokQaCYA,0,badcase,无标签无内容信号，相关性无法成立
138,UCtFwHTLbWzyNrnmu8VetAog,Brother Ben X,https://cn.noxinfluencer.com/youtube/channel/UCtFwHTLbWzyNrnmu8VetAog,0,badcase,宗教社会内容为主，数字产品推广相关性弱
139,UCU4WP5S2dKert4ZVa-LLTmw,Amazing Food World,https://cn.noxinfluencer.com/youtube/channel/UCU4WP5S2dKert4ZVa-LLTmw,0,badcase,食物家常内容为主，数字产品推广匹配度低
140,UCwSazJ0b93KyUPwBaAgNApw,Slay The Renee’ Way,https://cn.noxinfluencer.com/youtube/channel/UCwSazJ0b93KyUPwBaAgNApw,-10,badcase,包装ASMR和实体订单流，不适合数字产品推广
