rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
6,UCyDdQ3z6fB8AmxZwKSkEWTA,Shar Moore,https://cn--xtb.noxinfluencer.com/youtube/channel/UCyDdQ3z6fB8AmxZwKSkEWTA,-10,badcase,电视娱乐向，和数字产品推广场景冲突
15,UCeB0xg_WzIwCS6XL2Y6MQSA,Maddox Goforth,https://cn--xtb.noxinfluencer.com/youtube/channel/UCeB0xg_WzIwCS6XL2Y6MQSA,-10,badcase,娱乐/游戏向，和数字产品推广目标不匹配
24,UCnH9XW0hAnbyuUxavcN13iA,Belle Perjuste,https://cn--xtb.noxinfluencer.com/youtube/channel/UCnH9XW0hAnbyuUxavcN13iA,0,badcase,刺激金/社会新闻向，缺少数字产品或电商信号
27,UCU24cAMSvEPDgLsDk9QkCUg,Teara Sharda,https://cn--xtb.noxinfluencer.com/youtube/channel/UCU24cAMSvEPDgLsDk9QkCUg,0,badcase,无标签无内容证据，无法判断相关性
34,UCgLkrFziqrS00HYRaccNMPw,Bryan Delimata,https://cn--xtb.noxinfluencer.com/youtube/channel/UCgLkrFziqrS00HYRaccNMPw,0,badcase,偏剪辑/游戏内容，与数字产品推广不匹配
37,UCI-tE8StldHYVksq5jZrMCw,Wealth Works,https://cn--xtb.noxinfluencer.com/youtube/channel/UCI-tE8StldHYVksq5jZrMCw,0,badcase,无标签无内容证据
41,UCj-IennfdakWzeKNTBIBp4w,Orienda Oliver,https://cn--xtb.noxinfluencer.com/youtube/channel/UCj-IennfdakWzeKNTBIBp4w,0,badcase,无标签无内容证据
44,UC8-gx3NQeEIcr8pXxSm204Q,Mariah Leeanne,https://cn--xtb.noxinfluencer.com/youtube/channel/UC8-gx3NQeEIcr8pXxSm204Q,0,badcase,生活方式/家庭内容，与数字产品不相关
46,UCWncPjFJzHkzX33IQG1ON_g,its_alexmarie,https://cn--xtb.noxinfluencer.com/youtube/channel/UCWncPjFJzHkzX33IQG1ON_g,0,badcase,生活娱乐为主，缺少数字产品相关证据
58,UCoW46VmvCuWgkOcjzE88lmQ,Artsykii,https://cn--xtb.noxinfluencer.com/youtube/channel/UCoW46VmvCuWgkOcjzE88lmQ,0,badcase,美妆房产生活向，和数字产品不相关
64,UCBmMkLidBxJn8I0uHQSms0A,Monica Lee,https://cn--xtb.noxinfluencer.com/youtube/channel/UCBmMkLidBxJn8I0uHQSms0A,0,badcase,假发生活内容，和数字产品无关
67,UC1Q8FmoIc4wTQouE5I1O2sw,It's Deja's World,https://cn--xtb.noxinfluencer.com/youtube/channel/UC1Q8FmoIc4wTQouE5I1O2sw,0,badcase,健身内容为主，与数字产品不相关
70,UCEkJRrZUlN_YWvWPgKOo88w,Jennifer West-Granahan,https://cn--xtb.noxinfluencer.com/youtube/channel/UCEkJRrZUlN_YWvWPgKOo88w,0,badcase,仅生活向，几乎无数字产品证据
74,UC7jNKtEBuuYFHsnl91lQuHQ,Passive Biz Lucca,https://cn--xtb.noxinfluencer.com/youtube/channel/UC7jNKtEBuuYFHsnl91lQuHQ,0,badcase,无有效标签，难判断为数字产品相关
77,UCkpT12r1YB1emBBwbstZc5g,Luxury on a Loan,https://cn--xtb.noxinfluencer.com/youtube/channel/UCkpT12r1YB1emBBwbstZc5g,-15,badcase,娱乐综艺向，和数字产品推广无关
78,UCU19z2HIYrImCkRt3Zv6KNw,Toni Zargari,https://cn--xtb.noxinfluencer.com/youtube/channel/UCU19z2HIYrImCkRt3Zv6KNw,0,badcase,无标签无内容，无法判断相关性
79,UCQZAMZ-TepgLYqoBqU9bKxg,Daniel Martin,https://cn--xtb.noxinfluencer.com/youtube/channel/UCQZAMZ-TepgLYqoBqU9bKxg,-15,badcase,影视娱乐向，和数字产品推广不匹配
80,UCT5ov78Up4nVUkKLmPa5nnA,Ello Hunny Bun,https://cn--xtb.noxinfluencer.com/youtube/channel/UCT5ov78Up4nVUkKLmPa5nnA,-10,badcase,故事娱乐为主，缺少可推广的产品语境
82,UCSi4GlW5YVt_7jAqKH1FnPA,Coach Dinasty,https://cn--xtb.noxinfluencer.com/youtube/channel/UCSi4GlW5YVt_7jAqKH1FnPA,0,badcase,仅生活向，缺少产品推广场景
90,UCB74q-UrWJbWvEvZTobz3MA,Tyki So Digital,https://cn--xtb.noxinfluencer.com/youtube/channel/UCB74q-UrWJbWvEvZTobz3MA,0,badcase,时尚生活向，和数字产品关系弱
93,UC7z5lf4NZzxTleFZnu6_fnA,Alease Michelle,https://cn--xtb.noxinfluencer.com/youtube/channel/UC7z5lf4NZzxTleFZnu6_fnA,0,badcase,仅生活娱乐向，缺少产品推广能力
