rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,UCRcPcb0yFS114x5-s1pSlyA,Dylan Saborio,https://cn--xtb.noxinfluencer.com/youtube/channel/UCRcPcb0yFS114x5-s1pSlyA,0,badcase,无标签无视频，缺少任何相关证据
4,UCLWNTZUf5MnHmWuNk_JwRRA,House of Brands,https://cn--xtb.noxinfluencer.com/youtube/channel/UCLWNTZUf5MnHmWuNk_JwRRA,0,badcase,无标签无视频，证据缺失
6,UCoXthsCNWacX7Q2aUkWOTUQ,KaviRam At USA,https://cn--xtb.noxinfluencer.com/youtube/channel/UCoXthsCNWacX7Q2aUkWOTUQ,0,badcase,无标签无视频，证据缺失
7,UCVVsulqar4AdEYlMz62LhJg,REMspace,https://cn--xtb.noxinfluencer.com/youtube/channel/UCVVsulqar4AdEYlMz62LhJg,0,badcase,灵修/清明梦内容，与产品推广场景不符
8,UCDvbD9VqV1HsBKXLclqAanw,Inspiring impossible Visions,https://cn--xtb.noxinfluencer.com/youtube/channel/UCDvbD9VqV1HsBKXLclqAanw,0,badcase,无标签无视频，证据缺失
10,UCH30Y8muOGCQWRLiKa_jXcg,DoReMe vape Bob,https://cn--xtb.noxinfluencer.com/youtube/channel/UCH30Y8muOGCQWRLiKa_jXcg,0,badcase,vape垂类与家电推广无关
12,UCWdK-_xJgdBez0cVD7HTwMQ,Rio,https://cn--xtb.noxinfluencer.com/youtube/channel/UCWdK-_xJgdBez0cVD7HTwMQ,-10,badcase,娱乐/特效向，和实物产品推广场景不匹配
13,UCXNf0MSBtqxFYYeG7fZTREg,shada alnaas,https://cn--xtb.noxinfluencer.com/youtube/channel/UCXNf0MSBtqxFYYeG7fZTREg,0,badcase,美妆垂类，与扫地机品牌推广关联弱
18,UCfcGSPZCeISY2xCveyJbI2w,DJ Dream,https://cn--xtb.noxinfluencer.com/youtube/channel/UCfcGSPZCeISY2xCveyJbI2w,0,badcase,无标签无视频，证据缺失
19,UCr-XT5CLxrWBxDxkX-v0ohQ,NAA PERU SIRI,https://cn--xtb.noxinfluencer.com/youtube/channel/UCr-XT5CLxrWBxDxkX-v0ohQ,0,badcase,无标签无视频，证据缺失
21,UCperOshokctearYhcgMmlfQ,Maya Finds,https://cn--xtb.noxinfluencer.com/youtube/channel/UCperOshokctearYhcgMmlfQ,0,badcase,健康生活向，与扫地机品牌不相关
22,UCSZf78hrebRa8Gp4V-NBF8g,Blue Dream Gaming,https://cn--xtb.noxinfluencer.com/youtube/channel/UCSZf78hrebRa8Gp4V-NBF8g,0,badcase,游戏娱乐向，和家电推广关联弱
24,UCn1M_f4hl04uzxg2P4c5HVg,MagicSpark,https://cn--xtb.noxinfluencer.com/youtube/channel/UCn1M_f4hl04uzxg2P4c5HVg,0,badcase,无标签无视频，证据缺失
26,UC1i-bMMty0UFnvOTuGTV98Q,hay,https://cn--xtb.noxinfluencer.com/youtube/channel/UC1i-bMMty0UFnvOTuGTV98Q,-15,badcase,游戏/睡眠/音乐内容，与Dreame家电推广明显不匹配
27,UCPiqfKS3mqK80v1O12YgPng,Sushush,https://cn--xtb.noxinfluencer.com/youtube/channel/UCPiqfKS3mqK80v1O12YgPng,-15,badcase,动画娱乐向，和Dreame产品推广场景冲突
28,UC0biicpSMisrmApGjQ1ww_Q,Funnieeeemix,https://cn--xtb.noxinfluencer.com/youtube/channel/UC0biicpSMisrmApGjQ1ww_Q,0,badcase,无标签无视频，缺乏可判断的Dreame相关证据
29,UCpKfOj9x52Z3RMOj_MJVVKg,Dilamiraco 🫧,https://cn--xtb.noxinfluencer.com/youtube/channel/UCpKfOj9x52Z3RMOj_MJVVKg,0,badcase,无标签无视频，缺少与Dreame相关的有效信号
30,UCz-pAb4TawSC50Jp1pdmFaQ,D. Humann,https://cn--xtb.noxinfluencer.com/youtube/channel/UCz-pAb4TawSC50Jp1pdmFaQ,0,badcase,无标签无视频，缺少与Dreame相关的有效信号
32,UCOS9XScJwgy30rcYNCu5xOg,CTOOM Creative,https://cn--xtb.noxinfluencer.com/youtube/channel/UCOS9XScJwgy30rcYNCu5xOg,0,badcase,木工手作与Dreame清洁家电关联弱
33,UCPdy-WHK2gqZucSPijMvnWA,Teendow_life,https://cn--xtb.noxinfluencer.com/youtube/channel/UCPdy-WHK2gqZucSPijMvnWA,0,badcase,无标签无视频，暂无法判断与Dreame的相关性
35,UCrYqCqr_JcG0wtJHkPpb5sg,Abir Ahmed,https://cn--xtb.noxinfluencer.com/youtube/channel/UCrYqCqr_JcG0wtJHkPpb5sg,0,badcase,无标签无视频，缺少与Dreame相关的有效信号
38,UC7jliDat1Acorf13SGC5JXg,Airthereal US,https://cn--xtb.noxinfluencer.com/youtube/channel/UC7jliDat1Acorf13SGC5JXg,0,badcase,无标签无视频，无法证明与Dreame推广相关
40,UCQWbf33Jpx6Y_OeBr_BtK5w,riley ☆ !!,https://cn--xtb.noxinfluencer.com/youtube/channel/UCQWbf33Jpx6Y_OeBr_BtK5w,-15,badcase,娱乐音乐向，与Dreame产品推广明显不匹配
41,UCsiOg5hSWsRn3MVEF-35JqA,DRAZE,https://cn--xtb.noxinfluencer.com/youtube/channel/UCsiOg5hSWsRn3MVEF-35JqA,-15,badcase,电子音乐频道，与Dreame家电推广场景不相符
42,UCxFlp6n1GOVVX7u-EOiTvvg,WNGs,https://cn--xtb.noxinfluencer.com/youtube/channel/UCxFlp6n1GOVVX7u-EOiTvvg,0,badcase,无标签无视频，缺少可用的Dreame相关判断依据
46,UC39qXm2VbfQ5lPXWvU0OUXQ,Hiya,https://cn--xtb.noxinfluencer.com/youtube/channel/UC39qXm2VbfQ5lPXWvU0OUXQ,0,badcase,无标签无视频，缺少与Dreame相关的有效信号
48,UCv27v8F2XmqN8ENgn41dz7Q,Kilad Johnson,https://cn--xtb.noxinfluencer.com/youtube/channel/UCv27v8F2XmqN8ENgn41dz7Q,0,badcase,无标签无视频，缺少Dreame相关证据
51,UC04T1X_jYYoYLeyjiLo_Klg,Stary Writing,https://cn--xtb.noxinfluencer.com/youtube/channel/UC04T1X_jYYoYLeyjiLo_Klg,5,badcase,命中 dreame，但频道是故事/小说写作，和产品推广场景明显不符
52,UC--6TLi9FpHTA5r6uzMiFpg,ProMuleTrainer,https://cn--xtb.noxinfluencer.com/youtube/channel/UC--6TLi9FpHTA5r6uzMiFpg,0,badcase,无相关标签，无法判断为 Dreame 的有效推广频道
53,UC--CSABbpZw_4fSRITnWkCQ,Bluey Cosmos,https://cn--xtb.noxinfluencer.com/youtube/channel/UC--CSABbpZw_4fSRITnWkCQ,0,badcase,无相关标签，和 Dreame 产品推广没有可见关联
54,UC--K3fcDQGSlWckVM9QuRDg,Music 4K,https://cn--xtb.noxinfluencer.com/youtube/channel/UC--K3fcDQGSlWckVM9QuRDg,-15,badcase,音乐娱乐频道，和 Dreame 这类产品推广不匹配
55,UC--XSJYZhXaURZtxW3W9UAw,Sebraca Beats,https://cn--xtb.noxinfluencer.com/youtube/channel/UC--XSJYZhXaURZtxW3W9UAw,-15,badcase,纯音乐频道，缺少产品评测或购买导向内容
56,UC--hhzW2RoyRi33-qD0bu6Q,Dreamwalker Journeys,https://cn--xtb.noxinfluencer.com/youtube/channel/UC--hhzW2RoyRi33-qD0bu6Q,-15,badcase,宗教灵性内容，和 Dreame 产品推广场景不一致
57,UC-09Kc_SCOdyGaPnnCIRwKA,Buzzify That Buzz,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-09Kc_SCOdyGaPnnCIRwKA,-14,badcase,有一点科技弱相关，但娱乐幽默太强，不适合推广
58,UC-0AqZD-KIR-aC6nWxONIXA,DDTC,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-0AqZD-KIR-aC6nWxONIXA,0,badcase,无可用标签，缺少判断 Dreame 相关性的证据
59,UC-0td1u5jNbGmcjznCV9ZxA,ASMR Weekly,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-0td1u5jNbGmcjznCV9ZxA,-15,badcase,ASMR/睡眠氛围频道，属于强格式不匹配
60,UC-0xJNkg_MIeOs2XcDEFnbQ,Meditation for Women,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-0xJNkg_MIeOs2XcDEFnbQ,-10,badcase,冥想放松内容，不是 Dreame 这类产品的合适推广场景
61,UC-1LVQ3iMMksuh9eNV4st7A,Lofi Mood Makers,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-1LVQ3iMMksuh9eNV4st7A,0,badcase,无标签且无相关视频信号，相关性无法成立
62,UC-1S40hCpcDRxnkkxdT_5FA,Hazzy World !,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-1S40hCpcDRxnkkxdT_5FA,-10,badcase,短视频娱乐向频道，缺少产品评测或购买导向
63,UC-1goacJZB7_ks0MJpX48Rw,Super Legends,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-1goacJZB7_ks0MJpX48Rw,-15,badcase,游戏内容为主，和 Dreame 产品推广不在同一场景
64,UC-1obUeTZRQWpfXJzDsI5zQ,Secrets Of The Soul,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-1obUeTZRQWpfXJzDsI5zQ,0,badcase,无可用标签，缺少推广相关证据
65,UC-1zWKurxls7IcbPnVgJcvw,HopeZidel,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-1zWKurxls7IcbPnVgJcvw,0,badcase,无可用标签，无法判断与 Dreame 的相关性
66,UC-25FCFJjkyLZHMCFdv-Sxw,CEO Mindset,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-25FCFJjkyLZHMCFdv-Sxw,0,badcase,偏励志商业内容，缺少 Dreame 产品推广信号
67,UC-2HBDZ4Jhvl80aiyfoDYQQ,WorldTravelAdventurers,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-2HBDZ4Jhvl80aiyfoDYQQ,0,badcase,旅行频道与 Dreame 产品推广关联较弱
68,UC-2_uAJ9rHmDH3dwjF05ESQ,Christianos Friend of Yeshua,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-2_uAJ9rHmDH3dwjF05ESQ,-15,badcase,宗教频道，和产品推广场景明显不一致
69,UC-2fby5zglyxBEVroVR9JiQ,Reymart Taba,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-2fby5zglyxBEVroVR9JiQ,-10,badcase,游戏与加密内容混杂，不适合 Dreame 推广
70,UC-2kItoN8aU4UGOk6i_MWPw,Nova Society Finance,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-2kItoN8aU4UGOk6i_MWPw,0,badcase,金融教育频道，和 Dreame 的品类相关性不足
71,UC-2slgSo3OUG6TyxRugtDYQ,Florencia Andres,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-2slgSo3OUG6TyxRugtDYQ,0,badcase,商业自我成长向，缺少产品评测或购买导向证据
72,UC-39uQJq15smBDjD8wxP2Gg,River,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-39uQJq15smBDjD8wxP2Gg,-15,badcase,宗教内容为主，与 Dreame 产品推广不匹配
