rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
24,UCF78m6pVdDJ6zu6AS04KPSQ,A2zsyt,https://cn--xtb.noxinfluencer.com/youtube/channel/UCF78m6pVdDJ6zu6AS04KPSQ,0,badcase,无标签无内容信号，无法判断时尚相关性
38,UC4MmKGloDSHI5M0VS2gYRNg,Gino Reps,https://cn--xtb.noxinfluencer.com/youtube/channel/UC4MmKGloDSHI5M0VS2gYRNg,0,badcase,无时尚相关信号，不适合 fashion 推广
42,UCXXGNwglXpXF1EGheqjDP9w,DANZ PROJECT,https://cn--xtb.noxinfluencer.com/youtube/channel/UCXXGNwglXpXF1EGheqjDP9w,0,badcase,娱乐音乐向，无时尚推广相关性
53,UC4qtZykyiblnEUkMKmQYNqA,eryten rggg034,https://cn--xtb.noxinfluencer.com/youtube/channel/UC4qtZykyiblnEUkMKmQYNqA,0,badcase,无标签和内容信号，无法判断相关性
55,UCzE0IbUPWYYBtxBGYMZbTfQ,MODA OLAMI,https://cn--xtb.noxinfluencer.com/youtube/channel/UCzE0IbUPWYYBtxBGYMZbTfQ,0,badcase,无标签和内容信号，无法判断相关性
71,UCMJcCD8K4Y90AE8hzIJiNRQ,Nivelia,https://cn--xtb.noxinfluencer.com/youtube/channel/UCMJcCD8K4Y90AE8hzIJiNRQ,0,badcase,无标签和内容信号，无法判断相关性
74,UCgefQJC5UgbWJHDxBqB4qVg,Jesse,https://cn--xtb.noxinfluencer.com/youtube/channel/UCgefQJC5UgbWJHDxBqB4qVg,0,badcase,无标签和内容信号，无法判断相关性
82,UCZR4xKYIIcAki6WK_mv_77w,Street outfits style,https://cn--xtb.noxinfluencer.com/youtube/channel/UCZR4xKYIIcAki6WK_mv_77w,0,badcase,无标签与内容证据，无法判断时尚相关性
92,UC3xzo6-CVcvY6exQoLyVv1g,Monster Story,https://cn--xtb.noxinfluencer.com/youtube/channel/UC3xzo6-CVcvY6exQoLyVv1g,5,badcase,时尚与动物打斗混杂，受众与场景不稳
98,UC3EFKdXAU99j3ppGgvTz7XQ,Bretman Rock,https://cn--xtb.noxinfluencer.com/youtube/channel/UC3EFKdXAU99j3ppGgvTz7XQ,0,badcase,无时尚标签且内容偏娱乐，相关性弱
