rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,UC1TUgGLEoqd76pjpY8cP2Dg,Love toys,https://cn.noxinfluencer.com/youtube/channel/UC1TUgGLEoqd76pjpY8cP2Dg,5,badcase,ASMR玩具娱乐为主，厨房词仅弱挂钩，推广匹配差
8,UClFN9LShD_Pv0wnSeUKbUZw,That Little Puff,https://cn.noxinfluencer.com/youtube/channel/UClFN9LShD_Pv0wnSeUKbUZw,5,badcase,猫宠娱乐频道，厨房标签不能覆盖主体错配
15,UCibwPGKNJfUwAbChSgF5dCg,ToyToy Unboxing,https://cn.noxinfluencer.com/youtube/channel/UCibwPGKNJfUwAbChSgF5dCg,5,badcase,ASMR玩具频道，厨房标签不改变娱乐错配
18,UCOA68X77Fu7-He2CnLnNWxg,Alex Do Reaction,https://cn.noxinfluencer.com/youtube/channel/UCOA68X77Fu7-He2CnLnNWxg,5,badcase,新闻reaction频道，和厨房产品推广错位
28,UC97W_FE-wnyyCk-9n3nzjZA,Tiny King,https://cn.noxinfluencer.com/youtube/channel/UC97W_FE-wnyyCk-9n3nzjZA,5,badcase,有 kitchen 直中，但主体是ASMR+迪士尼玩具开箱，偏玩具厨房，不适合真实厨房推广
29,UCtJ38CLkge_ezbQoAYrRKPg,Toys Drama,https://cn.noxinfluencer.com/youtube/channel/UCtJ38CLkge_ezbQoAYrRKPg,10,badcase,厨房词有直击，但频道偏玩具ASMR/开箱娱乐，不适合真实厨房产品推广
39,UCgrPjre5JS5KG9VdM2PkhgA,Emily Askin,https://cn.noxinfluencer.com/youtube/channel/UCgrPjre5JS5KG9VdM2PkhgA,-13,badcase,ASMR格式与厨房产品推广强冲突，缺少评测/购买导向内容
65,UCMc_ucC5qT1e1n2W5nXH6Dg,Vovchiki.funhouse,https://cn.noxinfluencer.com/youtube/channel/UCMc_ucC5qT1e1n2W5nXH6Dg,5,badcase,娱乐短视频为主，厨房标签无法抵消格式不适配
70,UC0gAkSxhXuF1C-xsALSCZjQ,CHINALY,https://cn.noxinfluencer.com/youtube/channel/UC0gAkSxhXuF1C-xsALSCZjQ,2,badcase,无厨房信号，仅泛生活标签
72,UCs1s69FrXSuxlXmDrLbDpaA,AURA by S&T INC.,https://cn.noxinfluencer.com/youtube/channel/UCs1s69FrXSuxlXmDrLbDpaA,13,badcase,ASMR清洁风格，厨房标签不足以支撑带货适配
80,UCvuVFbp-Cw1N1l0_uvaAFZw,Vacuum Vibe,https://cn.noxinfluencer.com/youtube/channel/UCvuVFbp-Cw1N1l0_uvaAFZw,5,badcase,ASMR清洁向，厨房词面命中但不适合产品投放
83,UCRyZenBMc4UhH-CvaxNk10w,Kami Larae,https://cn.noxinfluencer.com/youtube/channel/UCRyZenBMc4UhH-CvaxNk10w,5,badcase,清洁ASMR占主导，厨房词面不足以支撑投放
84,UC7bU5ngi95GSZvebEWe8fog,Kokoro Cali,https://cn.noxinfluencer.com/youtube/channel/UC7bU5ngi95GSZvebEWe8fog,8,badcase,烹饪内容有相关性，但ASMR格式削弱投放适配
86,UCUC_P0yFC89FtW66tIJW0Qw,BaRaDa,https://cn.noxinfluencer.com/youtube/channel/UCUC_P0yFC89FtW66tIJW0Qw,-15,badcase,挑战恶搞型，和厨房产品推广不匹配
91,UCBSPKJ8u-p0-RQcT9Tf8lzg,Taste Maker Tok,https://cn.noxinfluencer.com/youtube/channel/UCBSPKJ8u-p0-RQcT9Tf8lzg,5,badcase,清洁ASMR为主，厨房词面不足以支撑投放
92,UCMO1R4fHIhu6CmeUHbPu1xQ,Amazon Must Must Must,https://cn.noxinfluencer.com/youtube/channel/UCMO1R4fHIhu6CmeUHbPu1xQ,-5,badcase,仅娱乐向，缺少厨房相关受众与内容语境
95,UCz9bf-ivt9hNqcD6q2oic7A,DRAMANIYA,https://cn.noxinfluencer.com/youtube/channel/UCz9bf-ivt9hNqcD6q2oic7A,5,badcase,娱乐短视频为主，厨房词面命中不代表可投放
96,UC9EwOCdPKdSysU6HEr2CqTA,pinktate1,https://cn.noxinfluencer.com/youtube/channel/UC9EwOCdPKdSysU6HEr2CqTA,0,badcase,标签过泛，缺少厨房相关信号
101,UCifaMlWn5TbeoT46jqqvIbw,Jeremy Clyde,https://cn.noxinfluencer.com/youtube/channel/UCifaMlWn5TbeoT46jqqvIbw,0,badcase,时尚生活向，和厨房产品推广无关
102,UCr-XT5CLxrWBxDxkX-v0ohQ,NAA PERU SIRI,https://cn.noxinfluencer.com/youtube/channel/UCr-XT5CLxrWBxDxkX-v0ohQ,0,badcase,地区vlog短内容，缺少厨房相关受众
108,UC1iGyuT5uL5YHgAptxKdXlg,TechMoodern,https://cn.noxinfluencer.com/youtube/channel/UC1iGyuT5uL5YHgAptxKdXlg,0,badcase,影视解说娱乐号，和厨房品类无关
109,UChsz_u-8KIqfzXRb6tJSdZw,The Hayeks,https://cn.noxinfluencer.com/youtube/channel/UChsz_u-8KIqfzXRb6tJSdZw,-25,badcase,宠物加ASMR，和人用厨房品类强冲突
