rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,UClFN9LShD_Pv0wnSeUKbUZw,That Little Puff,https://cn--xtb.noxinfluencer.com/youtube/channel/UClFN9LShD_Pv0wnSeUKbUZw,-12,badcase,宠物娱乐频道，非人用厨房产品场景
4,UCgrPjre5JS5KG9VdM2PkhgA,Emily Askin,https://cn--xtb.noxinfluencer.com/youtube/channel/UCgrPjre5JS5KG9VdM2PkhgA,-13,badcase,ASMR格式与实体厨房产品推广明显不匹配
7,UCo__F6zozvSDwB7aUapbDJQ,MaxPlus,https://cn--xtb.noxinfluencer.com/youtube/channel/UCo__F6zozvSDwB7aUapbDJQ,0,badcase,无有效标签，无法判断厨房相关性
13,UC0gAkSxhXuF1C-xsALSCZjQ,CHINALY,https://cn--xtb.noxinfluencer.com/youtube/channel/UC0gAkSxhXuF1C-xsALSCZjQ,-3,badcase,泛生活/汽车内容，厨房产品相关性弱
15,UCnijnl2g0U5Y-qsCXwLWSIQ,Cardboard Design,https://cn--xtb.noxinfluencer.com/youtube/channel/UCnijnl2g0U5Y-qsCXwLWSIQ,5,badcase,微缩手作场景，不是真实厨房产品受众
16,UC1TUgGLEoqd76pjpY8cP2Dg,Love toys,https://cn--xtb.noxinfluencer.com/youtube/channel/UC1TUgGLEoqd76pjpY8cP2Dg,-10,badcase,ASMR/玩具向内容，非真实厨房产品场景
23,UCMO1R4fHIhu6CmeUHbPu1xQ,Amazon Must Must Must,https://cn--xtb.noxinfluencer.com/youtube/channel/UCMO1R4fHIhu6CmeUHbPu1xQ,-5,badcase,娱乐/TikTok向，厨房产品相关性不足
30,UCOA68X77Fu7-He2CnLnNWxg,Alex Do Reaction,https://cn--xtb.noxinfluencer.com/youtube/channel/UCOA68X77Fu7-He2CnLnNWxg,10,badcase,新闻反应为主，kitchen 只是表层标签
33,UC9EwOCdPKdSysU6HEr2CqTA,pinktate1,https://cn--xtb.noxinfluencer.com/youtube/channel/UC9EwOCdPKdSysU6HEr2CqTA,0,badcase,标签过泛，缺少厨房或烹饪证据
34,UCr-XT5CLxrWBxDxkX-v0ohQ,NAA PERU SIRI,https://cn--xtb.noxinfluencer.com/youtube/channel/UCr-XT5CLxrWBxDxkX-v0ohQ,0,badcase,趋势短视频号，和厨房推广无关
36,UC2aZP-nt8Jd2lpVGWHVCB7g,Desmond Scott,https://cn--xtb.noxinfluencer.com/youtube/channel/UC2aZP-nt8Jd2lpVGWHVCB7g,0,badcase,无标签无内容证据
37,UCUC_P0yFC89FtW66tIJW0Qw,BaRaDa,https://cn--xtb.noxinfluencer.com/youtube/channel/UCUC_P0yFC89FtW66tIJW0Qw,-10,badcase,挑战整蛊为主，food 不足以支撑厨房推广
38,UCifaMlWn5TbeoT46jqqvIbw,Jeremy Clyde,https://cn--xtb.noxinfluencer.com/youtube/channel/UCifaMlWn5TbeoT46jqqvIbw,0,badcase,时尚生活号，缺少厨房场景
41,UCHa7PRKgRz6s_gJb8Xad6eA,Cardboard World,https://cn--xtb.noxinfluencer.com/youtube/channel/UCHa7PRKgRz6s_gJb8Xad6eA,0,badcase,手作/微缩为主，和厨房推广不符
42,UC-rhtOEonrzUNe5BOS9a9yA,4Teen Challenge,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-rhtOEonrzUNe5BOS9a9yA,-10,badcase,挑战整蛊娱乐号，不适合厨房产品
45,UCQxKCtcdCBcUBYW80IDtJgA,Kellie Atkinson,https://cn--xtb.noxinfluencer.com/youtube/channel/UCQxKCtcdCBcUBYW80IDtJgA,10,badcase,ASMR 补货风格强，不适合厨房产品推广
46,UC1iGyuT5uL5YHgAptxKdXlg,TechMoodern,https://cn--xtb.noxinfluencer.com/youtube/channel/UC1iGyuT5uL5YHgAptxKdXlg,0,badcase,影视解说号，和厨房无关
49,UCrpufLiqG97URaAqMPDrJsA,Jelly DO,https://cn--xtb.noxinfluencer.com/youtube/channel/UCrpufLiqG97URaAqMPDrJsA,-10,badcase,挑战整蛊娱乐号，不适合厨房产品
51,UCShp9GecGXIvvhKYQlqxUtg,TrailVent 2.0,https://cn--xtb.noxinfluencer.com/youtube/channel/UCShp9GecGXIvvhKYQlqxUtg,0,badcase,美妆发型向，和厨房/厨具无关
56,UC2cEB-EZWBpft05GCEZZQTw,7MM,https://cn--xtb.noxinfluencer.com/youtube/channel/UC2cEB-EZWBpft05GCEZZQTw,0,badcase,宗教励志内容，与厨房推广无关
57,UCPbcD42A3mgUEJJsXGb61TA,the_techlabb,https://cn--xtb.noxinfluencer.com/youtube/channel/UCPbcD42A3mgUEJJsXGb61TA,0,badcase,无标签，缺少任何厨房相关信号
67,UC7bU5ngi95GSZvebEWe8fog,Kokoro Cali,https://cn--xtb.noxinfluencer.com/youtube/channel/UC7bU5ngi95GSZvebEWe8fog,8,badcase,有 kitchen，但 ASMR 形式与推广冲突
68,UCtHLN7ZrXz2m3vtmp4hoU2w,Joybos,https://cn--xtb.noxinfluencer.com/youtube/channel/UCtHLN7ZrXz2m3vtmp4hoU2w,0,badcase,缺少厨房/家居具体信号
69,UC3xRz0KtqOdATu3mpUe4XFQ,Mimi's Art,https://cn--xtb.noxinfluencer.com/youtube/channel/UC3xRz0KtqOdATu3mpUe4XFQ,0,badcase,娱乐/表演向，与厨房无关
76,UCibwPGKNJfUwAbChSgF5dCg,ToyToy Unboxing,https://cn--xtb.noxinfluencer.com/youtube/channel/UCibwPGKNJfUwAbChSgF5dCg,5,badcase,玩具ASMR频道，kitchen多半是玩具场景，不适合真实厨房推广
79,UClwACWacT0cmDtGZ8NduThw,Preston Weight,https://cn--xtb.noxinfluencer.com/youtube/channel/UClwACWacT0cmDtGZ8NduThw,0,badcase,与厨房主题无关，偏骑行和户外
81,UCMc_ucC5qT1e1n2W5nXH6Dg,Vovchiki.funhouse,https://cn--xtb.noxinfluencer.com/youtube/channel/UCMc_ucC5qT1e1n2W5nXH6Dg,5,badcase,家庭搞笑短视频，虽有kitchen词但缺少真实产品场景
83,UChsz_u-8KIqfzXRb6tJSdZw,The Hayeks,https://cn--xtb.noxinfluencer.com/youtube/channel/UChsz_u-8KIqfzXRb6tJSdZw,-15,badcase,宠物ASMR频道，面向狗狗内容，与人用厨房产品不符
85,UCaE31By-SBqon21WTh5j23g,Tsmine Official,https://cn--xtb.noxinfluencer.com/youtube/channel/UCaE31By-SBqon21WTh5j23g,0,badcase,标签过少且无厨房/产品场景
91,UCiTsWZaXcon2OANYXhQRn-g,ALL IN REAL ESTATE,https://cn--xtb.noxinfluencer.com/youtube/channel/UCiTsWZaXcon2OANYXhQRn-g,0,badcase,房地产内容，与厨房产品推广关联很弱
92,UCHf7hwfrPgFHXcUwgtfO-BQ,Alkan stone,https://cn--xtb.noxinfluencer.com/youtube/channel/UCHf7hwfrPgFHXcUwgtfO-BQ,0,badcase,无可用标签，无法判断厨房相关性
95,UC93cY7N8zvkZi2vqjafqSxQ,Chris Petrone,https://cn--xtb.noxinfluencer.com/youtube/channel/UC93cY7N8zvkZi2vqjafqSxQ,0,badcase,泛娱乐健康号，与厨房产品推广无关
96,UCKUHJzOzyOkMNRTSXy9nJHg,Anzu's Kitchen,https://cn--xtb.noxinfluencer.com/youtube/channel/UCKUHJzOzyOkMNRTSXy9nJHg,0,badcase,名为Kitchen但标签是slingshot/手作，真实内容不匹配
97,UCErSuffy8hCre4WFDIUdOLg,Mouth Wide Open,https://cn--xtb.noxinfluencer.com/youtube/channel/UCErSuffy8hCre4WFDIUdOLg,0,badcase,灵性/娱乐内容，与厨房产品推广无关
99,UCv3GTychgQZhtpgtOXKDDfw,Miriam Keoshian,https://cn--xtb.noxinfluencer.com/youtube/channel/UCv3GTychgQZhtpgtOXKDDfw,0,badcase,Vlog/节日内容，与厨房产品推广无关
100,UC97W_FE-wnyyCk-9n3nzjZA,Tiny King,https://cn--xtb.noxinfluencer.com/youtube/channel/UC97W_FE-wnyyCk-9n3nzjZA,5,badcase,玩具ASMR为主，kitchen多半是玩具场景，不适合真实厨房推广
103,UCrw0kiY-0K4Nf4ALgZj-AkA,Multi DO Joy,https://cn--xtb.noxinfluencer.com/youtube/channel/UCrw0kiY-0K4Nf4ALgZj-AkA,-10,badcase,挑战整蛊型内容，缺少厨房产品推广场景
