rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
5,UCw9UnS-amGQga3rhvzGqcYA,Super Krew,https://cn.noxinfluencer.com/youtube/channel/UCw9UnS-amGQga3rhvzGqcYA,5,badcase,有 lawn mower 标签，但儿童/假装玩耍定位不适合推广
8,UC3EnCMGIwSqLUSlaYILlgxQ,Schneider & Son,https://cn.noxinfluencer.com/youtube/channel/UC3EnCMGIwSqLUSlaYILlgxQ,0,badcase,无相关标签，信息不足
11,UCG8PVNqagprMkMB4i-tBBSQ,Suburban Acreage,https://cn.noxinfluencer.com/youtube/channel/UCG8PVNqagprMkMB4i-tBBSQ,0,badcase,无相关标签，和 lawn mower 推广关联弱
13,UCU3gQGhk0lYK-fKOR0sopgg,CarsandCameras,https://cn.noxinfluencer.com/youtube/channel/UCU3gQGhk0lYK-fKOR0sopgg,0,badcase,汽车运动类，和 lawn mower 推广不匹配
16,UCNOQRHCgNudYBNGKt9l7juQ,C & C Outdoor Power Equipment,https://cn.noxinfluencer.com/youtube/channel/UCNOQRHCgNudYBNGKt9l7juQ,0,badcase,无相关标签，信息不足
20,UCi71_6BH_4IknooDc5BpRWA,Best Lawn Mowers,https://cn.noxinfluencer.com/youtube/channel/UCi71_6BH_4IknooDc5BpRWA,0,badcase,标签与 lawn mower 无关，且偏娱乐/足球
22,UCNffHFfYVYE4xxkzpDXg96g,The G Automotive And More,https://cn.noxinfluencer.com/youtube/channel/UCNffHFfYVYE4xxkzpDXg96g,0,badcase,汽车维修类，与 lawn mower 推广不相关
23,UCyCVQsbOMQpk0S-Kqx92LXw,Boonslick Equipment,https://cn.noxinfluencer.com/youtube/channel/UCyCVQsbOMQpk0S-Kqx92LXw,0,badcase,标签过于泛化，无法确认 lawn mower 相关性
24,UCyrU8ypXfF2CVogihFRePoQ,Bubbas Fabrication,https://cn.noxinfluencer.com/youtube/channel/UCyrU8ypXfF2CVogihFRePoQ,0,badcase,汽车改装类，与 lawn mower 推广无关
26,UCRYTHQdVVOy3EI_KBezw29A,Vintage Moments,https://cn.noxinfluencer.com/youtube/channel/UCRYTHQdVVOy3EI_KBezw29A,-5,badcase,娱乐归档型频道，和草坪割草机推广关联弱
28,UC-J9tlS17r5mLQ4aYiojV3Q,Lazy Grandpa's Garage,https://cn.noxinfluencer.com/youtube/channel/UC-J9tlS17r5mLQ4aYiojV3Q,0,badcase,无标签无视频证据，无法判断为割草机相关频道
31,UCpH76SieU--EG2A11wxcq7g,He. Andrew,https://cn.noxinfluencer.com/youtube/channel/UCpH76SieU--EG2A11wxcq7g,-8,badcase,娱乐搞笑频道，格式不适合做割草机产品推广
