rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
1,UC3EnCMGIwSqLUSlaYILlgxQ,Schneider & Son,https://cn--xtb.noxinfluencer.com/youtube/channel/UC3EnCMGIwSqLUSlaYILlgxQ,0,badcase,无相关标签与内容信号
2,UCw9UnS-amGQga3rhvzGqcYA,Super Krew,https://cn--xtb.noxinfluencer.com/youtube/channel/UCw9UnS-amGQga3rhvzGqcYA,5,badcase,有 lawn mower 标签，但儿童假扮玩乐定位不适合成人推广
16,UCU3gQGhk0lYK-fKOR0sopgg,CarsandCameras,https://cn--xtb.noxinfluencer.com/youtube/channel/UCU3gQGhk0lYK-fKOR0sopgg,0,badcase,赛车改装向，与割草机推广不匹配
19,UCi71_6BH_4IknooDc5BpRWA,Best Lawn Mowers,https://cn--xtb.noxinfluencer.com/youtube/channel/UCi71_6BH_4IknooDc5BpRWA,-10,badcase,足球/娱乐标签明显错配
23,UCRYTHQdVVOy3EI_KBezw29A,Vintage Moments,https://cn--xtb.noxinfluencer.com/youtube/channel/UCRYTHQdVVOy3EI_KBezw29A,-10,badcase,娱乐/复古广告为主，不适合产品推广
29,UC5JjLGnWgriplR7g8srYTPg,BEST TOOLS UZ,https://cn--xtb.noxinfluencer.com/youtube/channel/UC5JjLGnWgriplR7g8srYTPg,0,badcase,工具泛类但缺少草坪割草相关信号
30,UCPXXG0mMXuNopVsb_9xoJDA,Satisfying Lawn Care Videos,https://cn--xtb.noxinfluencer.com/youtube/channel/UCPXXG0mMXuNopVsb_9xoJDA,-15,badcase,游戏频道标签占主导，与割草机推广不匹配
37,UCzqBuhTIXYYTL1fSzaXvwnQ,Shanti Regan,https://cn--xtb.noxinfluencer.com/youtube/channel/UCzqBuhTIXYYTL1fSzaXvwnQ,0,badcase,木工和娱乐为主，和割草机推广无关
42,UClo9oBif-ku_rpvieW843Ow,Flippin' Sweet Gear,https://cn--xtb.noxinfluencer.com/youtube/channel/UClo9oBif-ku_rpvieW843Ow,0,badcase,音乐娱乐频道，与割草机受众不匹配
44,UCKs7-oGzd8G24cEWbk_lcKA,Chris Rollins,https://cn--xtb.noxinfluencer.com/youtube/channel/UCKs7-oGzd8G24cEWbk_lcKA,0,badcase,慢动作和实验类频道，缺少草坪产品场景
46,UCLXcc4od8_AK-K48NbxVzlQ,Vaquero De Nueva York,https://cn--xtb.noxinfluencer.com/youtube/channel/UCLXcc4od8_AK-K48NbxVzlQ,0,badcase,建筑装修受众，和割草机推广场景不搭
51,UC4TVLA3yMs6JbgQ7vL49MFg,Xstreme Adventures,https://cn--xtb.noxinfluencer.com/youtube/channel/UC4TVLA3yMs6JbgQ7vL49MFg,0,badcase,无相关标签或内容，和割草机推广无关
52,UC4TK8YvBjAeMacLpPDuRuLA,bbb jim1,https://cn--xtb.noxinfluencer.com/youtube/channel/UC4TK8YvBjAeMacLpPDuRuLA,0,badcase,汽车/生活向，和割草机目标无关
59,UCphHeAS4vVIwl-lqF4qU5MA,Adventurepilot70,https://cn--xtb.noxinfluencer.com/youtube/channel/UCphHeAS4vVIwl-lqF4qU5MA,0,badcase,飞机/户外杂向，缺少草坪设备相关性
63,UCCa2snfcHutrsxOzs-SXWfQ,Breiner Lawn,https://cn--xtb.noxinfluencer.com/youtube/channel/UCCa2snfcHutrsxOzs-SXWfQ,-12,badcase,ASMR满意化内容，属于明显形式错配
69,UCEdYYZg_pcPAKQ5puFGKzig,Satisfying-Lawn,https://cn--xtb.noxinfluencer.com/youtube/channel/UCEdYYZg_pcPAKQ5puFGKzig,-12,badcase,满意化/剧情化内容，非产品推广型频道
75,UCYnsFUYcNFe8XTxU4_d6eQw,Suburbia Dad,https://cn--xtb.noxinfluencer.com/youtube/channel/UCYnsFUYcNFe8XTxU4_d6eQw,0,badcase,家庭生活向，缺少割草机相关证据
77,UCh8mgK_A16XHfjfJyPdXoOg,RetroMowers,https://cn--xtb.noxinfluencer.com/youtube/channel/UCh8mgK_A16XHfjfJyPdXoOg,0,badcase,时尚娱乐标签为主，与割草机推广无关
81,UCv9bUpcPaHaaJPGJuxveYGQ,Thom's Simple Life,https://cn--xtb.noxinfluencer.com/youtube/channel/UCv9bUpcPaHaaJPGJuxveYGQ,0,badcase,仅生活方式/爱好标签，缺少草坪或割草相关信号
84,UCyV2r7XWPvSfY_ZYatG4ttA,EndWrench Rookie,https://cn--xtb.noxinfluencer.com/youtube/channel/UCyV2r7XWPvSfY_ZYatG4ttA,0,badcase,汽车工具向，和割草机推广关系弱
85,UCErgM1PGqfrWI9XjE4r_hXw,Power Equipment DIY,https://cn--xtb.noxinfluencer.com/youtube/channel/UCErgM1PGqfrWI9XjE4r_hXw,0,badcase,无可用标签或视频证据，无法判断为相关频道
88,UCsfHHLD8NiBA-TQb4pNS1AA,Dohc Holiday customs,https://cn--xtb.noxinfluencer.com/youtube/channel/UCsfHHLD8NiBA-TQb4pNS1AA,0,badcase,无标签与视频证据，无法建立相关性
90,UCCvRME9ejgMupNEpxPZET7Q,Prime Rundown,https://cn--xtb.noxinfluencer.com/youtube/channel/UCCvRME9ejgMupNEpxPZET7Q,0,badcase,无标签与内容证据，相关性不足
91,UCRUigaIM3NQTaaydihCKjbg,JTs Stump Grinding,https://cn--xtb.noxinfluencer.com/youtube/channel/UCRUigaIM3NQTaaydihCKjbg,0,badcase,无标签与内容证据，无法判断相关
94,UCAYXR5eEASm9XYDT9lr_qVA,777 Auction Company,https://cn--xtb.noxinfluencer.com/youtube/channel/UCAYXR5eEASm9XYDT9lr_qVA,0,badcase,拍卖公司泛标签，与割草机推广不匹配
95,UCo7SZvcoj3TTlm0btPqdB9A,TheOutdoorPowerGuy,https://cn--xtb.noxinfluencer.com/youtube/channel/UCo7SZvcoj3TTlm0btPqdB9A,0,badcase,仅有泛化标签，缺少草坪或设备相关证据
98,UCUahwQfQO0HiU8EB9WJNI5A,Antonio Erazo,https://cn--xtb.noxinfluencer.com/youtube/channel/UCUahwQfQO0HiU8EB9WJNI5A,0,badcase,宠物/生活泛标签，和割草机推广无关
99,UCnve3s6oVSSIrQ2uCI6wJZw,MeeP,https://cn--xtb.noxinfluencer.com/youtube/channel/UCnve3s6oVSSIrQ2uCI6wJZw,0,badcase,纯游戏频道，与实体产品推广不相关
102,UCh6OQ9CpXY1rT3CvoS2HZrw,Herramienta Y Aventuras Geovanni,https://cn--xtb.noxinfluencer.com/youtube/channel/UCh6OQ9CpXY1rT3CvoS2HZrw,0,badcase,仅泛生活/爱好，无草坪或机械相关信号
106,UClnpoBjst8FNomTOX_ufKUQ,Weezy Weeds LLC,https://cn--xtb.noxinfluencer.com/youtube/channel/UClnpoBjst8FNomTOX_ufKUQ,0,badcase,无标签无视频，证据过于稀薄
108,UCPbY-5j5clYwT1qUkVbrdHQ,Garden Staudinger,https://cn--xtb.noxinfluencer.com/youtube/channel/UCPbY-5j5clYwT1qUkVbrdHQ,0,badcase,仅有花园名，缺少可用标签与内容证据
109,UCR9765Boybvdqcf_TF86KOA,CRACKED HOUSING FAB,https://cn--xtb.noxinfluencer.com/youtube/channel/UCR9765Boybvdqcf_TF86KOA,-15,badcase,车辆/越野改装频道，与割草机受众不匹配
114,UCgpB1DJxnbl6iwAcHx_5P7A,Hipa Store,https://cn--xtb.noxinfluencer.com/youtube/channel/UCgpB1DJxnbl6iwAcHx_5P7A,0,badcase,仅泛 howto/vehicle，缺少割草机语境
115,UCviBjf35NfQ8wU0_DccdxYw,맛숏수다,https://cn--xtb.noxinfluencer.com/youtube/channel/UCviBjf35NfQ8wU0_DccdxYw,0,badcase,缺少相关标签与内容，偏娱乐向
117,UCNutCLP7G8gRrASkUtyNKMw,Minh Huy LQ,https://cn--xtb.noxinfluencer.com/youtube/channel/UCNutCLP7G8gRrASkUtyNKMw,0,badcase,车辆/生活标签，和割草机推广距离大
