rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
9,UC7rTwr_CTYX6IbWOiW62_Og,Shega Sport ሸጋ ስፖርት,https://cn.noxinfluencer.com/youtube/channel/UC7rTwr_CTYX6IbWOiW62_Og,-5,badcase,足球新闻为主，marathon 多半是泛标签，相关性差
21,UCpEcZL5B7i6gJYGfqLvMCbg,Linda Sun,https://cn.noxinfluencer.com/youtube/channel/UCpEcZL5B7i6gJYGfqLvMCbg,0,badcase,食旅日常为主，和马拉松受众关联很弱
24,UCpHaAKu74UHvcYCi2g_PvBQ,Shout! Studios,https://cn.noxinfluencer.com/youtube/channel/UCpHaAKu74UHvcYCi2g_PvBQ,-15,badcase,影视娱乐频道，marathon 只是片单语境，不匹配
39,UCg131Gki12uWRMC2WuCzPwg,Jake The Alright,https://cn.noxinfluencer.com/youtube/channel/UCg131Gki12uWRMC2WuCzPwg,0,badcase,无标签无内容证据，无法判断相关性
41,UC73sF-7Ihcs1HpnXEEXZ2ew,Brooke Monk,https://cn.noxinfluencer.com/youtube/channel/UC73sF-7Ihcs1HpnXEEXZ2ew,-15,badcase,娱乐搞笑型频道，与马拉松推广场景不匹配
42,UCk2fmJwVqs0o9BETmJjYEyQ,Happy Doggo,https://cn.noxinfluencer.com/youtube/channel/UCk2fmJwVqs0o9BETmJjYEyQ,-15,badcase,宠物犬频道，与人类马拉松受众互斥
52,UCBY4jKMGoEGi2lLr_oDSbyw,Alex Martin,https://cn.noxinfluencer.com/youtube/channel/UCBY4jKMGoEGi2lLr_oDSbyw,-15,badcase,机车/摩托赛道内容与马拉松推广不符
55,UC1zrPxxLTkfQdbwdn6lJQ7w,Cody Trains,https://cn.noxinfluencer.com/youtube/channel/UC1zrPxxLTkfQdbwdn6lJQ7w,0,badcase,仅有泛生活标签，缺少跑步/马拉松信号
58,UCXsGXvytTgHvoHI4Vu8CtrQ,Jake Ferrin,https://cn.noxinfluencer.com/youtube/channel/UCXsGXvytTgHvoHI4Vu8CtrQ,0,badcase,科技和远程工作为主，和马拉松无关
59,UCaIh2qjTODCrgTG0tf0KmCw,Duddits II,https://cn.noxinfluencer.com/youtube/channel/UCaIh2qjTODCrgTG0tf0KmCw,-15,badcase,纯游戏频道，受众与马拉松不匹配
63,UCIYWnYq9es1CHdycFUot4qA,"John Titor, Timewalker.",https://cn.noxinfluencer.com/youtube/channel/UCIYWnYq9es1CHdycFUot4qA,-15,badcase,纯游戏频道，与马拉松推广不相关
68,UCy3KEZcw8Q6ghIapYRIJ1Bw,Maddie Green,https://cn.noxinfluencer.com/youtube/channel/UCy3KEZcw8Q6ghIapYRIJ1Bw,0,badcase,商务/音乐/旅行为主，缺少马拉松相关性
69,UC4tRfRJHasLk09TZIedbXqQ,Maya & Hunter,https://cn.noxinfluencer.com/youtube/channel/UC4tRfRJHasLk09TZIedbXqQ,0,badcase,娱乐短视频为主，和马拉松推广关系弱
71,UCWDVjToFqTeLMiIN4_A00aA,Hunter Leininger,https://cn.noxinfluencer.com/youtube/channel/UCWDVjToFqTeLMiIN4_A00aA,0,badcase,无标签无内容信号，无法判断为相关
82,UCpy9ckRxleSSRciniAhdnmA,Diffizzle,https://cn.noxinfluencer.com/youtube/channel/UCpy9ckRxleSSRciniAhdnmA,-15,badcase,纯游戏频道，与马拉松推广受众不匹配
84,UCuuuY0l20-1K7Z4Tpe7Zepg,GAIN 101 YT,https://cn.noxinfluencer.com/youtube/channel/UCuuuY0l20-1K7Z4Tpe7Zepg,-15,badcase,游戏/音乐频道，和马拉松主题无关
86,UC7h-LaUjIzmS3KSNKPfv_-g,Ol Man Makowski,https://cn.noxinfluencer.com/youtube/channel/UC7h-LaUjIzmS3KSNKPfv_-g,-15,badcase,纯游戏频道，与马拉松推广目标不符
88,UCex9mEyk0mY5eMzSDleWs3g,Voltic,https://cn.noxinfluencer.com/youtube/channel/UCex9mEyk0mY5eMzSDleWs3g,-15,badcase,游戏频道，和马拉松主题无关
