rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
3,UC1zrPxxLTkfQdbwdn6lJQ7w,Cody Trains,https://cn--xtb.noxinfluencer.com/youtube/channel/UC1zrPxxLTkfQdbwdn6lJQ7w,0,badcase,仅泛生活标签，缺少跑步/马拉松相关信号
4,UCpEcZL5B7i6gJYGfqLvMCbg,Linda Sun,https://cn--xtb.noxinfluencer.com/youtube/channel/UCpEcZL5B7i6gJYGfqLvMCbg,1,badcase,健康/饮食向，和马拉松推广关联很弱
10,UCXsGXvytTgHvoHI4Vu8CtrQ,Jake Ferrin,https://cn--xtb.noxinfluencer.com/youtube/channel/UCXsGXvytTgHvoHI4Vu8CtrQ,0,badcase,偏职场科技内容，与马拉松受众不相关
12,UC73sF-7Ihcs1HpnXEEXZ2ew,Brooke Monk,https://cn--xtb.noxinfluencer.com/youtube/channel/UC73sF-7Ihcs1HpnXEEXZ2ew,-15,badcase,娱乐向内容，与马拉松推广场景明显不符
14,UCHfWCXDzWvNR260TE700bIQ,Griffin Hammond,https://cn--xtb.noxinfluencer.com/youtube/channel/UCHfWCXDzWvNR260TE700bIQ,0,badcase,偏影视和电子教程，与马拉松场景不相关
22,UCBS9THMv6Gm16XeQ88Axv1Q,Truett Hanes,https://cn--xtb.noxinfluencer.com/youtube/channel/UCBS9THMv6Gm16XeQ88Axv1Q,0,badcase,仅泛健身标签，缺少马拉松和跑步信号
23,UC6dF_YjIuy1eC1Dmo1FhPvA,Paul Chelimo,https://cn--xtb.noxinfluencer.com/youtube/channel/UC6dF_YjIuy1eC1Dmo1FhPvA,0,badcase,无可用标签，无法判断为马拉松相关
46,UCemhyW-b5sINzXSfe46vGxQ,Kyle Cokinos,https://cn--xtb.noxinfluencer.com/youtube/channel/UCemhyW-b5sINzXSfe46vGxQ,0,badcase,无标签，无法建立马拉松相关性
50,UCy3KEZcw8Q6ghIapYRIJ1Bw,Maddie Green,https://cn--xtb.noxinfluencer.com/youtube/channel/UCy3KEZcw8Q6ghIapYRIJ1Bw,0,badcase,商业/音乐/vlog 为主，与 marathon 不相关
51,UCWDVjToFqTeLMiIN4_A00aA,Hunter Leininger,https://cn--xtb.noxinfluencer.com/youtube/channel/UCWDVjToFqTeLMiIN4_A00aA,0,badcase,无跑步或马拉松相关标签/内容证据，相关性不足
54,UCCMuv6Q6hmPw67V4xaLmFrQ,Goofy Frazee,https://cn--xtb.noxinfluencer.com/youtube/channel/UCCMuv6Q6hmPw67V4xaLmFrQ,-15,badcase,以游戏内容为主，和马拉松受众明显不匹配
58,UCBY4jKMGoEGi2lLr_oDSbyw,Alex Martin,https://cn--xtb.noxinfluencer.com/youtube/channel/UCBY4jKMGoEGi2lLr_oDSbyw,-10,badcase,摩托/车辆向内容，与马拉松推广受众不匹配
67,UCBR1tw8D3GXRw9SfV3j3hYQ,댄킴,https://cn--xtb.noxinfluencer.com/youtube/channel/UCBR1tw8D3GXRw9SfV3j3hYQ,0,badcase,无标签无内容证据，无法判断为相关频道
