rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
8,UCUTyRDr9A6FZsCvkeiQrd4w,My Cute Pomeranian,https://cn.noxinfluencer.com/youtube/channel/UCUTyRDr9A6FZsCvkeiQrd4w,-12,badcase,恐怖故事/短视频向，和宠物食品推广不符
10,UCd9Mk3xE7o4KSykpQNbRonQ,BalchemANH,https://cn.noxinfluencer.com/youtube/channel/UCd9Mk3xE7o4KSykpQNbRonQ,-3,badcase,偏农业/科学讨论，非宠物食品投放场景
12,UCUHxuPoyNEiA5hNVvpWt-EQ,Haoren Special Effects,https://cn.noxinfluencer.com/youtube/channel/UCUHxuPoyNEiA5hNVvpWt-EQ,-15,badcase,泛娱乐/生活方式为主，和宠粮推广不匹配
13,UCjaNEVaSWPDGmegG2msb4-w,Shaq The Pug,https://cn.noxinfluencer.com/youtube/channel/UCjaNEVaSWPDGmegG2msb4-w,-10,badcase,家庭娱乐向，缺少宠物食品消费语境
14,UCRsdB4XYRmctdt3YiCz_j5A,Trytn Aimin,https://cn.noxinfluencer.com/youtube/channel/UCRsdB4XYRmctdt3YiCz_j5A,5,badcase,虽有宠粮词，但剧情娱乐属性太重
17,UCsi0ttIib6iEhWvGQVm94QA,Poodle Family,https://cn.noxinfluencer.com/youtube/channel/UCsi0ttIib6iEhWvGQVm94QA,0,badcase,无可用标签与内容证据
18,UCTha-ni2CTXtK4Cw3kzdGaA,China Saibainuo Machinery,https://cn.noxinfluencer.com/youtube/channel/UCTha-ni2CTXtK4Cw3kzdGaA,-4,badcase,机械/技术向，和宠物食品投放关联弱
20,UCVyopZsoS91MU_-pwqg1b4g,ShoppingTv,https://cn.noxinfluencer.com/youtube/channel/UCVyopZsoS91MU_-pwqg1b4g,0,badcase,无标签与内容证据，无法判断
21,UCpZONW19z_sYPiEyt02bKAw,M ajmal official,https://cn.noxinfluencer.com/youtube/channel/UCpZONW19z_sYPiEyt02bKAw,4,badcase,有宠粮词，但娱乐搞笑属性压过转化
23,UCFBGleFWjbiZ5LJgpb0D0FQ,Golden Retriever Duobao,https://cn.noxinfluencer.com/youtube/channel/UCFBGleFWjbiZ5LJgpb0D0FQ,0,badcase,无标签与内容证据
27,UCT0rqlK8QNMLp7JamyOHDUg,Meal Buddy,https://cn.noxinfluencer.com/youtube/channel/UCT0rqlK8QNMLp7JamyOHDUg,8,badcase,主轴是人类餐食配送，pet food 更像噪声标签
29,UCnkHaip0YYyckHI074c444A,Gunbam Cutie,https://cn.noxinfluencer.com/youtube/channel/UCnkHaip0YYyckHI074c444A,8,badcase,ASMR 宠物吃播，偏体验内容，不是食品推广场景
33,UCHzogYDGS6nihFLkiYw6iNQ,Gadget Fusion 5,https://cn.noxinfluencer.com/youtube/channel/UCHzogYDGS6nihFLkiYw6iNQ,0,badcase,无相关标签或内容信号
36,UCQOR5alhYXDNPiC5om0uiZg,Kiki and Bonbon,https://cn.noxinfluencer.com/youtube/channel/UCQOR5alhYXDNPiC5om0uiZg,-12,badcase,ASMR/mukbang 宠物吃播，偏娱乐不偏商品推广
38,UC0-jV9vjYP964E8FrNG4WMw,Timmy mc,https://cn.noxinfluencer.com/youtube/channel/UC0-jV9vjYP964E8FrNG4WMw,-8,badcase,野生动物/狩猎/娱乐向，和宠物食品受众不匹配
39,UCZ6-HotvudYZ8TD4oV-bR2w,Lovely colors,https://cn.noxinfluencer.com/youtube/channel/UCZ6-HotvudYZ8TD4oV-bR2w,9,badcase,狗吃播短视频，格式偏娱乐，不是食品推广场景
40,UC-HvDXQykVrCCGBSS1kb4IQ,RAW FARM,https://cn.noxinfluencer.com/youtube/channel/UC-HvDXQykVrCCGBSS1kb4IQ,7,badcase,主轴是 raw milk/raw food，人宠食品语境不清
44,UCOCFVAOVOkfZTOlu3sxKZ_Q,Wutelz,https://cn.noxinfluencer.com/youtube/channel/UCOCFVAOVOkfZTOlu3sxKZ_Q,0,badcase,游戏频道，与宠物食品无关
