rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
10,UCjaNEVaSWPDGmegG2msb4-w,Shaq The Pug,https://cn--xtb.noxinfluencer.com/youtube/channel/UCjaNEVaSWPDGmegG2msb4-w,-5,badcase,娱乐/游戏向，宠粮推广意图弱
12,UCCneK8iTGx_kzc9a4qxm_fw,monkeyjourney36,https://cn--xtb.noxinfluencer.com/youtube/channel/UCCneK8iTGx_kzc9a4qxm_fw,-5,badcase,AI短故事/娱乐为主，不适合宠粮推广
13,UCUHxuPoyNEiA5hNVvpWt-EQ,Haoren Special Effects,https://cn--xtb.noxinfluencer.com/youtube/channel/UCUHxuPoyNEiA5hNVvpWt-EQ,-5,badcase,娱乐/影视向，缺少宠物食品购买场景
14,UC-h5QRSXiB4WzqYIcObwHqw,"Mars, Incorporated",https://cn--xtb.noxinfluencer.com/youtube/channel/UC-h5QRSXiB4WzqYIcObwHqw,0,badcase,企业号偏商业，缺少宠粮内容
18,UCguvEu6j_FV9SOTwRCmQ9jQ,simply petastic,https://cn--xtb.noxinfluencer.com/youtube/channel/UCguvEu6j_FV9SOTwRCmQ9jQ,0,badcase,无标签无内容证据
24,UCCRAaJXYu9i7xO5nwrZOW5w,Moozoda,https://cn--xtb.noxinfluencer.com/youtube/channel/UCCRAaJXYu9i7xO5nwrZOW5w,-5,badcase,泛娱乐/旅行内容，宠粮相关信号弱
27,UCEnZnMqeErT_pXlogYLiOog,CuteKitten,https://cn--xtb.noxinfluencer.com/youtube/channel/UCEnZnMqeErT_pXlogYLiOog,0,badcase,刀具手工内容，与宠物食品无关
28,UC7LeCt6UlUTYHu2H1UUwmqQ,The Lee Williams Show,https://cn--xtb.noxinfluencer.com/youtube/channel/UC7LeCt6UlUTYHu2H1UUwmqQ,1,badcase,娱乐访谈类，仅有泛词food
29,UC_9miWNwjvRIwRFuhSYczIw,Chihuahua Bites,https://cn--xtb.noxinfluencer.com/youtube/channel/UC_9miWNwjvRIwRFuhSYczIw,0,badcase,缺少宠物食品相关标签
31,UCVi91goj8hkDBbBYuS9nnfQ,The Buck Stop,https://cn--xtb.noxinfluencer.com/youtube/channel/UCVi91goj8hkDBbBYuS9nnfQ,0,badcase,房车旅行内容，无宠粮信号
32,UCzNBUvFyxn4Hb-sRAir5CRw,Petflix Chef,https://cn--xtb.noxinfluencer.com/youtube/channel/UCzNBUvFyxn4Hb-sRAir5CRw,0,badcase,无标签，无法确认宠粮相关性
33,UCLFzgJmGPisjplGJF9vBWuw,Furry Friend's Zone,https://cn--xtb.noxinfluencer.com/youtube/channel/UCLFzgJmGPisjplGJF9vBWuw,0,badcase,无标签，无法确认宠物食品相关性
34,UCF4KKfse9lLNQxEFhHIvJWg,ZyroRushUSA,https://cn--xtb.noxinfluencer.com/youtube/channel/UCF4KKfse9lLNQxEFhHIvJWg,0,badcase,娱乐/宗教类，无宠粮信号
37,UC9J4g_po6VKqIWur6RnQ6HA,Pablodanie096,https://cn--xtb.noxinfluencer.com/youtube/channel/UC9J4g_po6VKqIWur6RnQ6HA,0,badcase,娱乐音乐类，与宠物食品无关
38,UCaoHzhtuszfMwZ6gys82DDg,Henry,https://cn--xtb.noxinfluencer.com/youtube/channel/UCaoHzhtuszfMwZ6gys82DDg,0,badcase,美发/教育类，无宠粮信号
42,UCqARyNoyVHBlfJIf8pzzRQw,Jackie Bites,https://cn--xtb.noxinfluencer.com/youtube/channel/UCqARyNoyVHBlfJIf8pzzRQw,0,badcase,无标签，无法确认宠粮相关性
43,UCoSmQB2DiuxDcbOVFSb33hA,Sigaga Namy,https://cn--xtb.noxinfluencer.com/youtube/channel/UCoSmQB2DiuxDcbOVFSb33hA,0,badcase,生日烘焙类，与宠物食品无关
44,UCoudkcdWRiK0X2lm0DCHz7w,Duan,https://cn--xtb.noxinfluencer.com/youtube/channel/UCoudkcdWRiK0X2lm0DCHz7w,0,badcase,无标签，无法确认宠粮相关性
46,UCG1JtO7oR3-SmEFdx3CNngw,Badlands Ranch by Katherine Heigl,https://cn--xtb.noxinfluencer.com/youtube/channel/UCG1JtO7oR3-SmEFdx3CNngw,0,badcase,无标签，无法确认宠粮相关性
48,UCDnQlLuZm8mOvlfaZrwX46g,Unique Fact Store,https://cn--xtb.noxinfluencer.com/youtube/channel/UCDnQlLuZm8mOvlfaZrwX46g,0,badcase,无标签，无法确认宠粮相关性
53,UCpx2mTyLI7EZ5ehWq5z943g,carefresh,https://cn--xtb.noxinfluencer.com/youtube/channel/UCpx2mTyLI7EZ5ehWq5z943g,0,badcase,无标签和视频证据，无法判断为宠物食品相关
54,UCP932vRtiCbJD9RxVo_daAA,GOOD FOOD,https://cn--xtb.noxinfluencer.com/youtube/channel/UCP932vRtiCbJD9RxVo_daAA,0,badcase,人类烹饪美食号，与宠物食品受众不匹配
56,UCFqtq_k792883_40S1V8VMw,HAIDER حيدر,https://cn--xtb.noxinfluencer.com/youtube/channel/UCFqtq_k792883_40S1V8VMw,0,badcase,游戏/人类美食混合，和宠物食品无关
58,UCdAIkeHeSXMogIiei8m8rAw,Albe Know,https://cn--xtb.noxinfluencer.com/youtube/channel/UCdAIkeHeSXMogIiei8m8rAw,0,badcase,金融频道，和宠物食品推广基本无关
59,UCZyp0Cbh6kMSCmxdoUuQ8Hg,Exercise with Extra Fries,https://cn--xtb.noxinfluencer.com/youtube/channel/UCZyp0Cbh6kMSCmxdoUuQ8Hg,0,badcase,时尚带货号，但缺少宠物受众与宠粮语境
61,UC6b_JOl_OudOdqwyrvIuFKA,BanterHits,https://cn--xtb.noxinfluencer.com/youtube/channel/UC6b_JOl_OudOdqwyrvIuFKA,-15,badcase,影视娱乐/游戏导向，和宠粮推广明显不搭
65,UCZScIXCpQj3U3xrV3IuBXwA,Facts & Reality,https://cn--xtb.noxinfluencer.com/youtube/channel/UCZScIXCpQj3U3xrV3IuBXwA,0,badcase,短视频聚合/科技向，和宠物食品无关
67,UCL86g0rMsUGcFBwPOxe93Bw,Nicholas McCuen,https://cn--xtb.noxinfluencer.com/youtube/channel/UCL86g0rMsUGcFBwPOxe93Bw,0,badcase,娱乐健身号，和宠物食品受众不匹配
68,UCbK9lZUnc-Pz1YEEed_pWYw,Zimal's Diary,https://cn--xtb.noxinfluencer.com/youtube/channel/UCbK9lZUnc-Pz1YEEed_pWYw,0,badcase,缺少标签和内容线索，宠物食品相关性不足
69,UCS0DhLFdl2D5uDNdyPW3sBA,CeVille,https://cn--xtb.noxinfluencer.com/youtube/channel/UCS0DhLFdl2D5uDNdyPW3sBA,0,badcase,音乐娱乐号，缺少宠物受众
71,UCYPOUBR4gC5vYuvsLzvx2sw,FunnyPet,https://cn--xtb.noxinfluencer.com/youtube/channel/UCYPOUBR4gC5vYuvsLzvx2sw,-5,badcase,猫/宠物标签有，但ASMR和娱乐导向明显
74,UC8ClHoxoKqrRrnd0krDbjag,CRAZY FAMILY TUBE,https://cn--xtb.noxinfluencer.com/youtube/channel/UC8ClHoxoKqrRrnd0krDbjag,0,badcase,家庭捡食/食物浪费内容，和宠粮无关
