rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,UCEgyTT7d5xNjy4zdTslk42A,Allen Cooley,https://cn.noxinfluencer.com/youtube/channel/UCEgyTT7d5xNjy4zdTslk42A,0,badcase,无标签无内容线索
7,UCYUf7r_WnDCq0BJjlWk5i2A,Vitalii Semenchenko,https://cn.noxinfluencer.com/youtube/channel/UCYUf7r_WnDCq0BJjlWk5i2A,0,badcase,无标签无内容线索
15,UC3O-vNlEOfElAZR8y2zGePQ,The Kevi Kronicles,https://cn.noxinfluencer.com/youtube/channel/UC3O-vNlEOfElAZR8y2zGePQ,0,badcase,无标签无内容线索
18,UCAl0pUAb7X4OCCfN9TJC3Qw,Leroy Tademy,https://cn.noxinfluencer.com/youtube/channel/UCAl0pUAb7X4OCCfN9TJC3Qw,0,badcase,无标签无内容线索
19,UCnOhZskgYdH55Qug0cMbLOw,Our Story Your Story,https://cn.noxinfluencer.com/youtube/channel/UCnOhZskgYdH55Qug0cMbLOw,0,badcase,题材偏营销播客，与器材无关
20,UC4SL8tppnzgZ5npmJP4fkLg,Eric Wethington,https://cn.noxinfluencer.com/youtube/channel/UC4SL8tppnzgZ5npmJP4fkLg,0,badcase,无标签无内容线索
25,UCUTI1W-29HjYZjd7TpUnPPA,Trialbike,https://cn.noxinfluencer.com/youtube/channel/UCUTI1W-29HjYZjd7TpUnPPA,0,badcase,无标签无内容线索
27,UCGXtY2dokuZpku6Y5MI-Fpw,cnc machining factory,https://cn.noxinfluencer.com/youtube/channel/UCGXtY2dokuZpku6Y5MI-Fpw,0,badcase,工业加工号，和摄影器材推广不相关
40,UCf-c_drkookULi0siYAeSrA,FromNishasView,https://cn.noxinfluencer.com/youtube/channel/UCf-c_drkookULi0siYAeSrA,0,badcase,缺少摄影器材相关信号
42,UCzhct9IW7qwWkMdXrBhQq8Q,Night vision Sleep Log,https://cn.noxinfluencer.com/youtube/channel/UCzhct9IW7qwWkMdXrBhQq8Q,0,badcase,名称和标签都不见摄影器材语境
45,UC2qwPyfytQqsetyMPBPSoqA,Trendy Byte,https://cn.noxinfluencer.com/youtube/channel/UC2qwPyfytQqsetyMPBPSoqA,0,badcase,无相关标签，主题不明
46,UC-5bHZzSDmwdKDZ_dLiMdvA,Julian Taylor,https://cn.noxinfluencer.com/youtube/channel/UC-5bHZzSDmwdKDZ_dLiMdvA,0,badcase,偏电子烟/生活方式，与摄影器材无关
47,UC-6yyP913dAO1EMq76rpYbQ,XTRA LONG SHORTS,https://cn.noxinfluencer.com/youtube/channel/UC-6yyP913dAO1EMq76rpYbQ,0,badcase,无相关标签，缺少器材受众
50,UC-DxQgjcXS_Zye8qM9N_6NA,Jaronmaria,https://cn.noxinfluencer.com/youtube/channel/UC-DxQgjcXS_Zye8qM9N_6NA,0,badcase,食物/宠物/美妆向，和摄影器材不匹配
51,UC-JpeNBcdBNG3XRDhnPNOPw,Tracy Lynn - Boudoir Photography Coach,https://cn.noxinfluencer.com/youtube/channel/UC-JpeNBcdBNG3XRDhnPNOPw,0,badcase,无标签无内容，缺乏摄影器材推广证据
53,UC-OM1yrHHi4SKIGhY6Jb5MQ,Light and Shadow Wanderer,https://cn.noxinfluencer.com/youtube/channel/UC-OM1yrHHi4SKIGhY6Jb5MQ,0,badcase,无可用标签与内容，缺乏证据
55,UC-UQJCQtKfxNLoLepiTmDJA,Owlkrown,https://cn.noxinfluencer.com/youtube/channel/UC-UQJCQtKfxNLoLepiTmDJA,0,badcase,无标签无内容，缺乏证据
56,UC-bTQTvmp3ivYrmutDxP-cA,BigBearB Creative,https://cn.noxinfluencer.com/youtube/channel/UC-bTQTvmp3ivYrmutDxP-cA,0,badcase,无标签无内容，缺乏证据
57,UC-dEYzr7ay2nDRsx8cNMB8A,🔥GB-iTecH🔥,https://cn.noxinfluencer.com/youtube/channel/UC-dEYzr7ay2nDRsx8cNMB8A,0,badcase,手机销售向，与摄影器材主类不匹配
59,UC-oGAwjSA8860e5Jt0LeL9g,Heather Scott Lifestyle,https://cn.noxinfluencer.com/youtube/channel/UC-oGAwjSA8860e5Jt0LeL9g,0,badcase,无标签无内容，缺乏证据
60,UC-wQ_COLu0jGWihvgrPJyUw,Tall Man's Cruise Adventures,https://cn.noxinfluencer.com/youtube/channel/UC-wQ_COLu0jGWihvgrPJyUw,0,badcase,邮轮旅行内容，与摄影器材无关
62,UC0-GbRD5_PlKu4Z2EcTG5pA,Lens Aura,https://cn.noxinfluencer.com/youtube/channel/UC0-GbRD5_PlKu4Z2EcTG5pA,0,badcase,无标签无内容，缺乏证据
63,UC02HpdTtHAfJkv0HocGb6Lg,M3Pics,https://cn.noxinfluencer.com/youtube/channel/UC02HpdTtHAfJkv0HocGb6Lg,0,badcase,无标签无内容，缺乏证据
65,UC09TxZnv6qBngYQaYr_-y_w,TCTV Studios,https://cn.noxinfluencer.com/youtube/channel/UC09TxZnv6qBngYQaYr_-y_w,0,badcase,娱乐舞台内容，与摄影器材无关
66,UC0I1i31YipxvSsEooNQsbNw,Tony Narrative,https://cn.noxinfluencer.com/youtube/channel/UC0I1i31YipxvSsEooNQsbNw,0,badcase,无标签无内容，缺乏证据
