rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
3,UCEgyTT7d5xNjy4zdTslk42A,Allen Cooley,https://cn--xtb.noxinfluencer.com/youtube/channel/UCEgyTT7d5xNjy4zdTslk42A,0,badcase,无摄影器材信号，相关性不足
4,UCw3RlPzWkUQIncXyVyPrY3A,Leekai,https://cn--xtb.noxinfluencer.com/youtube/channel/UCw3RlPzWkUQIncXyVyPrY3A,0,badcase,缺少器材或摄影内容证据
5,UC0PJpA2JR2ySbW032bURGNg,miller.modification,https://cn--xtb.noxinfluencer.com/youtube/channel/UC0PJpA2JR2ySbW032bURGNg,0,badcase,无可用标签与视频证据，难判定相关
6,UC4cRXkrYYjHDKRQoVqtw4YA,Leofoto USA,https://cn--xtb.noxinfluencer.com/youtube/channel/UC4cRXkrYYjHDKRQoVqtw4YA,0,badcase,品牌名疑似器材相关，但证据不足
8,UCbAIOFCpg9gK2CRkh4hesQA,Mason Horacek,https://cn--xtb.noxinfluencer.com/youtube/channel/UCbAIOFCpg9gK2CRkh4hesQA,0,badcase,无摄影相关信号，相关性不足
9,UCJKji5vkjotf--m9TG4bnCw,Lyssa Gsep,https://cn--xtb.noxinfluencer.com/youtube/channel/UCJKji5vkjotf--m9TG4bnCw,0,badcase,无摄影器材信号，无法支持推广判断
13,UC74IfkN2kjV-yXEUOXxnBLg,makeetz,https://cn--xtb.noxinfluencer.com/youtube/channel/UC74IfkN2kjV-yXEUOXxnBLg,0,badcase,无有效内容信号，相关性无法成立
15,UChBRsx9ijyqG5pGMZ0so-KQ,Shootswithnito,https://cn--xtb.noxinfluencer.com/youtube/channel/UChBRsx9ijyqG5pGMZ0so-KQ,-15,badcase,音乐反应类，与摄影器材推广明显不符
17,UCRnmXcvhtvD2_hoSZhqrplA,RAW.,https://cn--xtb.noxinfluencer.com/youtube/channel/UCRnmXcvhtvD2_hoSZhqrplA,0,badcase,无摄影相关证据，判断为不相关
20,UC9bN_5GzyhuS9SrMVsN-8pQ,bray,https://cn--xtb.noxinfluencer.com/youtube/channel/UC9bN_5GzyhuS9SrMVsN-8pQ,0,badcase,无相关标签与视频证据
21,UCe_7xIyqSBm4fTFcR0NM7qQ,Negative Yuliya,https://cn--xtb.noxinfluencer.com/youtube/channel/UCe_7xIyqSBm4fTFcR0NM7qQ,0,badcase,无摄影器材信号，相关性不足
