rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
4,UC3f-DJSYl-UBjFKP6P2eFAQ,GOODaaa Official,https://cn--xtb.noxinfluencer.com/youtube/channel/UC3f-DJSYl-UBjFKP6P2eFAQ,0,badcase,无标签无内容证据
15,UC3LnsUei94ixnSLKvYfg_6g,Ivan Meneses,https://cn--xtb.noxinfluencer.com/youtube/channel/UC3LnsUei94ixnSLKvYfg_6g,0,badcase,无标签无内容证据
19,UCrz9q0IAdBueTU_YzyZZpjw,Product Demo Lab,https://cn--xtb.noxinfluencer.com/youtube/channel/UCrz9q0IAdBueTU_YzyZZpjw,0,badcase,频道名偏产品演示，但缺少标签和内容证据
20,UCTXvLLazdkGh7bgpjrf2QPg,𝗠𝗢𝗭𝗧𝗘𝗖𝗛 𝗢𝗳𝗳𝗶𝗰𝗶𝗮𝗹,https://cn--xtb.noxinfluencer.com/youtube/channel/UCTXvLLazdkGh7bgpjrf2QPg,0,badcase,官方科技号，但缺少可验证内容
21,UC738YfwU-ro0pzSfvnh87kQ,Veger Power Official,https://cn--xtb.noxinfluencer.com/youtube/channel/UC738YfwU-ro0pzSfvnh87kQ,0,badcase,品牌官方，语义相关但创作者属性弱
22,UCe7pIPGhmOCHVPo9hukkH6Q,Murdic3k,https://cn--xtb.noxinfluencer.com/youtube/channel/UCe7pIPGhmOCHVPo9hukkH6Q,0,badcase,枪械/激光/游戏混合，和电源推广不稳
23,UCD8kXysoTy2A3E7PNNtnxGA,Hack Matters,https://cn--xtb.noxinfluencer.com/youtube/channel/UCD8kXysoTy2A3E7PNNtnxGA,0,badcase,无标签无内容证据
24,UCy_LbUw93GTUz5cW6X_CHHQ,Tools and Gadgets,https://cn--xtb.noxinfluencer.com/youtube/channel/UCy_LbUw93GTUz5cW6X_CHHQ,0,badcase,纯游戏导向，和产品推广弱
27,UCKp792CvQHsvaC2B-ZEIilg,JonnyShops,https://cn--xtb.noxinfluencer.com/youtube/channel/UCKp792CvQHsvaC2B-ZEIilg,0,badcase,纯游戏频道，缺少充电宝相关与带货能力
32,UCjSqCelfNn2LinhD3WNFNmg,OMNIBAR,https://cn--xtb.noxinfluencer.com/youtube/channel/UCjSqCelfNn2LinhD3WNFNmg,0,badcase,无相关标签，频道主题不明
35,UCYC5ySvGuMAdEA0PtFtfrJw,Search For Islam - Our History,https://cn--xtb.noxinfluencer.com/youtube/channel/UCYC5ySvGuMAdEA0PtFtfrJw,0,badcase,宗教历史内容，和充电宝推广无关
36,UCUzwYBo6tmwsVKkVRtISzpw,The Ghetographer,https://cn--xtb.noxinfluencer.com/youtube/channel/UCUzwYBo6tmwsVKkVRtISzpw,0,badcase,主题不明，缺少消费电子或带货证据
37,UC8XSOL3fQucEfstbjRkMsxQ,Xiaofu Power-Ivy Lian,https://cn--xtb.noxinfluencer.com/youtube/channel/UC8XSOL3fQucEfstbjRkMsxQ,0,badcase,个人号信息不足，和充电宝关联很弱
