rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
14,UCKNJev3xpNK-6_egLhoV0kg,Daniel Magyar,https://cn.noxinfluencer.com/youtube/channel/UCKNJev3xpNK-6_egLhoV0kg,0,badcase,相关信号过少，当前不适合器材推广
17,UCZ38JxS6nxFcegK2FvrSXBw,Brenda Dykgraaf,https://cn.noxinfluencer.com/youtube/channel/UCZ38JxS6nxFcegK2FvrSXBw,0,badcase,无可用标签信号，难以判断相关性
18,UCoAnZl2Rah7irjnyIJimyLg,Boopolo,https://cn.noxinfluencer.com/youtube/channel/UCoAnZl2Rah7irjnyIJimyLg,0,badcase,top5 无直接相关标签，投放关联较弱
25,UCR4QvpA-4E3YOpPdv21nB7w,Hecks Review Ranch,https://cn.noxinfluencer.com/youtube/channel/UCR4QvpA-4E3YOpPdv21nB7w,0,badcase,无标签与内容信号，无法支撑相关判断
26,UCzUMIhuzFxOXc3Zc_eNfV_Q,ShapeFit,https://cn.noxinfluencer.com/youtube/channel/UCzUMIhuzFxOXc3Zc_eNfV_Q,0,badcase,无标签与内容证据
36,UCZIUZucCbKFIGH3Akl34uww,Amy Connell,https://cn.noxinfluencer.com/youtube/channel/UCZIUZucCbKFIGH3Akl34uww,0,badcase,无标签与内容证据
37,UCslDOe-8gV49Kg_j374OJVw,Royal We Fitness,https://cn.noxinfluencer.com/youtube/channel/UCslDOe-8gV49Kg_j374OJVw,-15,badcase,主体是情感支持，和产品推广错位
38,UCiM3Dk2vxb4JlI3hvpsg4Qw,Emma Top Picks,https://cn.noxinfluencer.com/youtube/channel/UCiM3Dk2vxb4JlI3hvpsg4Qw,0,badcase,无任何可用证据
52,UC1YtZ2NJajxJqRDewmKq4GA,JL Fitness,https://cn.noxinfluencer.com/youtube/channel/UC1YtZ2NJajxJqRDewmKq4GA,0,badcase,无标签无视频证据，无法支撑相关判断
61,UCLWlCagQarE_9MpvFrQ8Sjw,Jacob Nowak,https://cn.noxinfluencer.com/youtube/channel/UCLWlCagQarE_9MpvFrQ8Sjw,0,badcase,无标签无视频证据，无法判断相关性
71,UCV25pEPOd_p0cFi1UlVLvGA,GWD Reviews,https://cn.noxinfluencer.com/youtube/channel/UCV25pEPOd_p0cFi1UlVLvGA,0,badcase,无标签无视频证据，相关性不足
106,UCx4Riuj6mSDcQ1nKc006udw,Lina Mayorga,https://cn.noxinfluencer.com/youtube/channel/UCx4Riuj6mSDcQ1nKc006udw,5,badcase,娱乐/K-pop反应为主，阻力带仅是孤立标签
113,UCRvqjQPSeaWn-uEx-w0XOIg,Benjamin Cowen,https://cn.noxinfluencer.com/youtube/channel/UCRvqjQPSeaWn-uEx-w0XOIg,0,badcase,加密货币频道，与阻力带推广无关
135,UCvaEE46bbcMSpUjSF37Xwpg,KarlashFit,https://cn.noxinfluencer.com/youtube/channel/UCvaEE46bbcMSpUjSF37Xwpg,0,badcase,无标签和视频证据，相关性不足
142,UCQCo2L7U7WU0eNIFQ7WzFjw,Gymnanigains,https://cn.noxinfluencer.com/youtube/channel/UCQCo2L7U7WU0eNIFQ7WzFjw,5,badcase,宠物向标签冲突，人用弹力带不合适
152,UC8TJR-9EaH3vF9kyuNohuHg,Rooted yoga & Flex Feet Flow,https://cn.noxinfluencer.com/youtube/channel/UC8TJR-9EaH3vF9kyuNohuHg,-15,badcase,汽车/旅行向，和弹力带推广目标无关
154,UCV2f32B7ZFKzeXA70MZHGhg,Restoration Massage Center LLC,https://cn.noxinfluencer.com/youtube/channel/UCV2f32B7ZFKzeXA70MZHGhg,0,badcase,按摩理疗为主，和弹力带训练推广关联弱
159,UCnvvRso009h4RzwlJMwoMwA,Nina Nam,https://cn.noxinfluencer.com/youtube/channel/UCnvvRso009h4RzwlJMwoMwA,8,badcase,虽有弹力带标签，但娱乐/暴食内容为主，推广场景不匹配
164,UCFsSkMZzlLKqG83Ds6flu5Q,Flex Luther,https://cn.noxinfluencer.com/youtube/channel/UCFsSkMZzlLKqG83Ds6flu5Q,-10,badcase,反应/娱乐内容为主，和弹力带推广不匹配
167,UCPtS04LqpxE8AozGhQjfMPg,Tribe By Noire,https://cn.noxinfluencer.com/youtube/channel/UCPtS04LqpxE8AozGhQjfMPg,0,badcase,营养饮食号，和弹力带推广目标无关
197,UCQBxF-4duQ8B_wwbQy43SPA,Perfect Fitness,https://cn.noxinfluencer.com/youtube/channel/UCQBxF-4duQ8B_wwbQy43SPA,0,badcase,缺少标签和视频信号，难判断推广相关性
