rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
4,UCZ38JxS6nxFcegK2FvrSXBw,Brenda Dykgraaf,https://cn--xtb.noxinfluencer.com/youtube/channel/UCZ38JxS6nxFcegK2FvrSXBw,0,badcase,无有效标签，无法判断与弹力带推广的相关性
9,UCzUMIhuzFxOXc3Zc_eNfV_Q,ShapeFit,https://cn--xtb.noxinfluencer.com/youtube/channel/UCzUMIhuzFxOXc3Zc_eNfV_Q,0,badcase,无标签，相关性证据不足
22,UCbirJX9CNqdKqGFHyC4-6Dg,Jess Hammer,https://cn--xtb.noxinfluencer.com/youtube/channel/UCbirJX9CNqdKqGFHyC4-6Dg,0,badcase,无标签，无法支撑相关性判断
31,UCslDOe-8gV49Kg_j374OJVw,Royal We Fitness,https://cn--xtb.noxinfluencer.com/youtube/channel/UCslDOe-8gV49Kg_j374OJVw,-15,badcase,情感支持内容，与健身器材推广明显不符
36,UCZIUZucCbKFIGH3Akl34uww,Amy Connell,https://cn--xtb.noxinfluencer.com/youtube/channel/UCZIUZucCbKFIGH3Akl34uww,0,badcase,缺少可用信号，相关性不足
46,UCLWlCagQarE_9MpvFrQ8Sjw,Jacob Nowak,https://cn--xtb.noxinfluencer.com/youtube/channel/UCLWlCagQarE_9MpvFrQ8Sjw,0,badcase,缺少标签和视频证据，相关性不足
79,UC2bZGu0XOM-BTPHdtmg9kLw,Coach Kate,https://cn--xtb.noxinfluencer.com/youtube/channel/UC2bZGu0XOM-BTPHdtmg9kLw,0,badcase,缺少相关标签与内容，判断为不适合
82,UC3He2-tSeKpL0xv1CCduC2g,Theology Geek Fitness,https://cn--xtb.noxinfluencer.com/youtube/channel/UC3He2-tSeKpL0xv1CCduC2g,0,badcase,缺少相关标签与内容，判断为不适合
85,UC461Mhj9dQ36QoQES9YTlZg,Everyday Fitness Hacks,https://cn--xtb.noxinfluencer.com/youtube/channel/UC461Mhj9dQ36QoQES9YTlZg,0,badcase,缺少相关标签与内容，判断为不适合
93,UC8TJR-9EaH3vF9kyuNohuHg,Rooted yoga & Flex Feet Flow,https://cn--xtb.noxinfluencer.com/youtube/channel/UC8TJR-9EaH3vF9kyuNohuHg,-10,badcase,汽车/旅行向，和弹力带投放不相关
100,UCBGaCqthQTKfT0dtRra1NnQ,Quarantine Fitness,https://cn--xtb.noxinfluencer.com/youtube/channel/UCBGaCqthQTKfT0dtRra1NnQ,0,badcase,缺少相关标签与内容，判断为不适合
107,UCCe5QDJSg_vFDS9cg--8AAA,Daniel Arena,https://cn--xtb.noxinfluencer.com/youtube/channel/UCCe5QDJSg_vFDS9cg--8AAA,0,badcase,缺少可判断的健身或产品相关证据
120,UCHiPBjLVTzxmbz5UZrQEj6w,Kevin J,https://cn--xtb.noxinfluencer.com/youtube/channel/UCHiPBjLVTzxmbz5UZrQEj6w,0,badcase,缺少可判断的健身或产品相关证据
127,UCJJ9-oK-yrssQom4f-OvdaQ,The Tattooed Ronin,https://cn--xtb.noxinfluencer.com/youtube/channel/UCJJ9-oK-yrssQom4f-OvdaQ,-9,badcase,娱乐和漫展/Cosplay占比高，健身关联弱
135,UCM0BYap6QzTw_uZ7K6lk4Qg,Mile40,https://cn--xtb.noxinfluencer.com/youtube/channel/UCM0BYap6QzTw_uZ7K6lk4Qg,0,badcase,缺少标签与内容证据
139,UCOMF_4S13eo6fnE5rvMklEw,Chandra the Fly2fitchick,https://cn--xtb.noxinfluencer.com/youtube/channel/UCOMF_4S13eo6fnE5rvMklEw,0,badcase,缺少健身器材相关证据
140,UCOV5nh0UIWG6605JKlJJHpw,Gregory Fitness,https://cn--xtb.noxinfluencer.com/youtube/channel/UCOV5nh0UIWG6605JKlJJHpw,0,badcase,缺少健身器材相关证据
142,UCOrDb-RH5QdvRPtsfktbOlQ,Maye Fitness,https://cn--xtb.noxinfluencer.com/youtube/channel/UCOrDb-RH5QdvRPtsfktbOlQ,0,badcase,缺少可判断的相关标签
144,UCPtS04LqpxE8AozGhQjfMPg,Tribe By Noire,https://cn--xtb.noxinfluencer.com/youtube/channel/UCPtS04LqpxE8AozGhQjfMPg,1,badcase,偏饮食营养，缺少训练器材场景
145,UCQBxF-4duQ8B_wwbQy43SPA,Perfect Fitness,https://cn--xtb.noxinfluencer.com/youtube/channel/UCQBxF-4duQ8B_wwbQy43SPA,0,badcase,无标签，相关性无法支撑
150,UCRGdS5KVcrVEpeeAuJ_KxxQ,Coach Rosenblatt,https://cn--xtb.noxinfluencer.com/youtube/channel/UCRGdS5KVcrVEpeeAuJ_KxxQ,0,badcase,缺少标签与器材/训练证据
154,UCTYyVnahmQYdWHpsJAFQnUw,Dr. Ngoundi Jean,https://cn--xtb.noxinfluencer.com/youtube/channel/UCTYyVnahmQYdWHpsJAFQnUw,0,badcase,无标签无内容证据，相关性不足
160,UCV2f32B7ZFKzeXA70MZHGhg,Restoration Massage Center LLC,https://cn--xtb.noxinfluencer.com/youtube/channel/UCV2f32B7ZFKzeXA70MZHGhg,0,badcase,按摩理疗内容与运动器材推广偏离
165,UCXUL86gzaJKANEC2ZrB9CzQ,A Better Way with Kersten Kimura,https://cn--xtb.noxinfluencer.com/youtube/channel/UCXUL86gzaJKANEC2ZrB9CzQ,1,badcase,营养管理频道，与弹力带推广关系很弱
167,UCYBJwVC0H7iFSVkHM4lMmiw,POWERGUIDANCE,https://cn--xtb.noxinfluencer.com/youtube/channel/UCYBJwVC0H7iFSVkHM4lMmiw,0,badcase,无标签无内容证据，难判断相关性
169,UCYD8V4akK44hsxZjZHTHonw,The Diabetes Resistance,https://cn--xtb.noxinfluencer.com/youtube/channel/UCYD8V4akK44hsxZjZHTHonw,0,badcase,无标签无证据，相关性不足
173,UCZd7rAGIY6kd8zZCT8MLs0w,DFH101,https://cn--xtb.noxinfluencer.com/youtube/channel/UCZd7rAGIY6kd8zZCT8MLs0w,0,badcase,无标签无证据，难支撑弹力带推广
174,UCZvWXmatS6TnMA1p4QSjn9g,Dr. Sammy Fit,https://cn--xtb.noxinfluencer.com/youtube/channel/UCZvWXmatS6TnMA1p4QSjn9g,0,badcase,仅凭名称不足以支撑相关性判断
177,UC_-Z0Fk4A3wYjDPbb6QJ3dQ,FitnessLab USA | Home Workouts & Fat Loss,https://cn--xtb.noxinfluencer.com/youtube/channel/UC_-Z0Fk4A3wYjDPbb6QJ3dQ,0,badcase,缺少频道标签与内容证据，相关性不足
180,UC_jDgxkbtUQV3wYKpl0sTlQ,WILKYS,https://cn--xtb.noxinfluencer.com/youtube/channel/UC_jDgxkbtUQV3wYKpl0sTlQ,0,badcase,无标签与内容线索，难判断为可推广频道
181,UC_mhcw45jGkHfFWulhch-Kw,MartialParadise,https://cn--xtb.noxinfluencer.com/youtube/channel/UC_mhcw45jGkHfFWulhch-Kw,0,badcase,无标签与内容线索，难判断为可推广频道
182,UCaD6CpKlND16lIt0lqCG3OQ,Fitbeast,https://cn--xtb.noxinfluencer.com/youtube/channel/UCaD6CpKlND16lIt0lqCG3OQ,0,badcase,无标签与内容线索，难判断为可推广频道
197,UCg4LWKtfRNt28lN2aNdOemA,TikTok Time Vault,https://cn--xtb.noxinfluencer.com/youtube/channel/UCg4LWKtfRNt28lN2aNdOemA,5,badcase,虽命中阻力带，但ASMR/短内容形式不适合推广
200,UCgXpWCL9L9Eh5dQVIuvh1sw,Own. Move. Anchor.,https://cn--xtb.noxinfluencer.com/youtube/channel/UCgXpWCL9L9Eh5dQVIuvh1sw,0,badcase,无标签与内容线索，难判断为可推广频道
202,UCh5nQhKtidLii_jaWkj97Nw,THANKS LEE,https://cn--xtb.noxinfluencer.com/youtube/channel/UCh5nQhKtidLii_jaWkj97Nw,0,badcase,无标签无视频证据，暂无相关性
204,UChyr4UztTLC2CAEltGqfKmQ,Elevate Fitness,https://cn--xtb.noxinfluencer.com/youtube/channel/UChyr4UztTLC2CAEltGqfKmQ,0,badcase,无标签无视频证据，暂无相关性
209,UCivftAnVL9yycWWvuWr6q4w,Calisthenics Larry,https://cn--xtb.noxinfluencer.com/youtube/channel/UCivftAnVL9yycWWvuWr6q4w,0,badcase,无标签无视频证据，暂无相关性
