rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
1,UCPebP56QemIt41_UNTZPcpA,Mommy Churvs,https://cn.noxinfluencer.com/youtube/channel/UCPebP56QemIt41_UNTZPcpA,-10,badcase,宠物猫向，和人用泳背心受众互斥
3,UC0TdrXZIq_-e-Tm6AnQ5zhQ,Calikorean,https://cn.noxinfluencer.com/youtube/channel/UC0TdrXZIq_-e-Tm6AnQ5zhQ,0,badcase,无标签无视频，缺少泳背心相关证据
4,UC14glhf581fzJOYoHGxWTsg,Chicken Goodies,https://cn.noxinfluencer.com/youtube/channel/UC14glhf581fzJOYoHGxWTsg,0,badcase,内容域不明，未见泳背心可投放信号
7,UC348Yt_Xrmuyybk6WA6RQtA,Sykez Adventures,https://cn.noxinfluencer.com/youtube/channel/UC348Yt_Xrmuyybk6WA6RQtA,0,badcase,无相关标签与视频，无法判断为合适投放位
8,UC34zgo49DqyjmKJbo-2OAPQ,BubbleGum,https://cn.noxinfluencer.com/youtube/channel/UC34zgo49DqyjmKJbo-2OAPQ,0,badcase,娱乐向内容为主，缺少商品推广上下文
9,UC4-DZzt7swq7uj83bg-P9HA,Dog & Cat Supplies online store,https://cn.noxinfluencer.com/youtube/channel/UC4-DZzt7swq7uj83bg-P9HA,-15,badcase,宠物用品店铺，和人用泳背心互斥
11,UC4c7p3XvUccA-ccmY2bgmRw,Trend Pickz,https://cn.noxinfluencer.com/youtube/channel/UC4c7p3XvUccA-ccmY2bgmRw,0,badcase,无标签无视频，缺少判断依据
12,UC5mNk1y0O1awxC8DucC8r0w,Lalafun - Nursery Rhymes,https://cn.noxinfluencer.com/youtube/channel/UC5mNk1y0O1awxC8DucC8r0w,0,badcase,童谣娱乐号，缺少购买或测评语境
13,UC8E1t_MXN8xHGdkq_Yqpz7Q,N'Joy,https://cn.noxinfluencer.com/youtube/channel/UC8E1t_MXN8xHGdkq_Yqpz7Q,0,badcase,无标签无视频，相关度无法成立
16,UCCHcDNftAWMacace8MmOYdA,vanguard k9 dog trainings,https://cn.noxinfluencer.com/youtube/channel/UCCHcDNftAWMacace8MmOYdA,-15,badcase,犬类训练号，和人用泳背心互斥
