rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
4,UC9tQRCxdLd5_mbha9_H2wLw,Helite Moto,https://cn--xtb.noxinfluencer.com/youtube/channel/UC9tQRCxdLd5_mbha9_H2wLw,-8,badcase,摩托内容与泳具推广场景不符
5,UCPebP56QemIt41_UNTZPcpA,Mommy Churvs,https://cn--xtb.noxinfluencer.com/youtube/channel/UCPebP56QemIt41_UNTZPcpA,-15,badcase,宠物/娱乐导向，不适合人用泳具
6,UC4-DZzt7swq7uj83bg-P9HA,Dog & Cat Supplies online store,https://cn--xtb.noxinfluencer.com/youtube/channel/UC4-DZzt7swq7uj83bg-P9HA,-15,badcase,宠物用品店，和人用泳具目标完全不一致
11,UCIwi08Vb_jpzNzUncSYe9NA,MoKo,https://cn--xtb.noxinfluencer.com/youtube/channel/UCIwi08Vb_jpzNzUncSYe9NA,-10,badcase,数码配件频道与泳具完全不同
13,UCXtf9tCG665OV0wyTyn81sg,St,https://cn--xtb.noxinfluencer.com/youtube/channel/UCXtf9tCG665OV0wyTyn81sg,-5,badcase,宠物向频道，对人用泳具不匹配
15,UCcEiLg23lFfGN-vWjGDrRKQ,Caitlin Best,https://cn--xtb.noxinfluencer.com/youtube/channel/UCcEiLg23lFfGN-vWjGDrRKQ,-2,badcase,信息过少，缺少与泳具相关的受众或内容证据
17,UCvTw1J7hv11o19Ceb6Eb_oQ,Sai and Family,https://cn--xtb.noxinfluencer.com/youtube/channel/UCvTw1J7hv11o19Ceb6Eb_oQ,-15,badcase,ASMR/短内容偏娱乐，和泳具推广方式冲突
19,UC0TdrXZIq_-e-Tm6AnQ5zhQ,Calikorean,https://cn--xtb.noxinfluencer.com/youtube/channel/UC0TdrXZIq_-e-Tm6AnQ5zhQ,-2,badcase,信息不足，无法建立泳具推广相关性
20,UC14glhf581fzJOYoHGxWTsg,Chicken Goodies,https://cn--xtb.noxinfluencer.com/youtube/channel/UC14glhf581fzJOYoHGxWTsg,-2,badcase,信息不足，无法建立泳具推广相关性
24,UC34zgo49DqyjmKJbo-2OAPQ,BubbleGum,https://cn--xtb.noxinfluencer.com/youtube/channel/UC34zgo49DqyjmKJbo-2OAPQ,-10,badcase,娱乐内容为主，不适合泳具推广
26,UC8E1t_MXN8xHGdkq_Yqpz7Q,N'Joy,https://cn--xtb.noxinfluencer.com/youtube/channel/UC8E1t_MXN8xHGdkq_Yqpz7Q,0,badcase,信息缺失，无法判断投放匹配度
28,UCCHcDNftAWMacace8MmOYdA,vanguard k9 dog trainings,https://cn--xtb.noxinfluencer.com/youtube/channel/UCCHcDNftAWMacace8MmOYdA,-15,badcase,犬类训练受众，与人用救生衣冲突
29,UCFMyyO3widMf0JC1V9G2p_A,Sarah Burford,https://cn--xtb.noxinfluencer.com/youtube/channel/UCFMyyO3widMf0JC1V9G2p_A,0,badcase,信息过少，缺少泳装/亲子相关证据
30,UCFu4-VQQ-K3wFRfHvHOFcTA,ERICK and The Ourbacks,https://cn--xtb.noxinfluencer.com/youtube/channel/UCFu4-VQQ-K3wFRfHvHOFcTA,0,badcase,无有效标签或视频证据，难以判断
31,UCHCl8-idaFT5kwaMglVjDeg,"DeTechTive ""Max""",https://cn--xtb.noxinfluencer.com/youtube/channel/UCHCl8-idaFT5kwaMglVjDeg,0,badcase,无内容线索，和 swim vest 关联弱
34,UCJ971OJexE13JbU6jGvd2cA,Nyle Lynn,https://cn--xtb.noxinfluencer.com/youtube/channel/UCJ971OJexE13JbU6jGvd2cA,-5,badcase,宠物向受众，和人用救生衣不匹配
35,UCLHIeofA7RKnYzPexZDnoMA,Do Not Pet,https://cn--xtb.noxinfluencer.com/youtube/channel/UCLHIeofA7RKnYzPexZDnoMA,-15,badcase,狗狗内容占主导，与人用产品冲突
