rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
11,UCMGRqpXjTYTqlnnGTjMmigw,DarkPlayzz,https://cn.noxinfluencer.com/youtube/channel/UCMGRqpXjTYTqlnnGTjMmigw,5,badcase,宗教诵读为主，科技推广场景不匹配
16,UCUvIsQMxWWJ_1ajxu5plOFw,Spigen,https://cn.noxinfluencer.com/youtube/channel/UCUvIsQMxWWJ_1ajxu5plOFw,8,badcase,ASMR 格式与科技推广不匹配
40,UCFUsBdbrNe2a8tnVsxBwoZw,Plainrock124,https://cn.noxinfluencer.com/youtube/channel/UCFUsBdbrNe2a8tnVsxBwoZw,8,badcase,破坏搞笑为主，不适合科技产品投放
59,UCnU9l4RGNhRmH1Uig4JMckA,Eslam saeed اسلام سعيد,https://cn.noxinfluencer.com/youtube/channel/UCnU9l4RGNhRmH1Uig4JMckA,6,badcase,tech词存在但主体偏搞笑/魔术/memes，推广不匹配
83,UCS65Cob8tlnYCjStAM8sdxg,MOIN BLAZE,https://cn.noxinfluencer.com/youtube/channel/UCS65Cob8tlnYCjStAM8sdxg,5,badcase,宗教内容为主，科技标签明显不匹配
94,UC4xU1pYKI2mXcGP8qdxLL6g,ABEiiiKU,https://cn.noxinfluencer.com/youtube/channel/UC4xU1pYKI2mXcGP8qdxLL6g,8,badcase,ASMR格式冲突，虽有开箱但促品不优
199,UCUc6K0I4CQjEOR6ZBMBttSg,Daniel Palacios,https://cn.noxinfluencer.com/youtube/channel/UCUc6K0I4CQjEOR6ZBMBttSg,10,badcase,HVAC维修领域，和科技产品推广不匹配
200,UCofpEiZ6_-dWgALBX9wR9_A,Legendofamelia,https://cn.noxinfluencer.com/youtube/channel/UCofpEiZ6_-dWgALBX9wR9_A,5,badcase,ASMR 形态明显，不适合科技产品推广
204,UCZ7znURDSO1B6Zk8dCntqew,Rad,https://cn.noxinfluencer.com/youtube/channel/UCZ7znURDSO1B6Zk8dCntqew,10,badcase,ASMR 形态强不匹配，科技投放转化风险高
215,UCozwejESfvl88CBBL0KgEhw,Hamster Kombat,https://cn.noxinfluencer.com/youtube/channel/UCozwejESfvl88CBBL0KgEhw,0,badcase,无 tech 相关信号，偏加密货币
219,UCWnXgKA2DvgVcL6Itd76Waw,Digital Express,https://cn.noxinfluencer.com/youtube/channel/UCWnXgKA2DvgVcL6Itd76Waw,10,badcase,ASMR 形态不适合科技产品推广
