rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
8,UCK1u-11YuPE2wB4jR53kSkw,Knowledge Power,https://cn--xtb.noxinfluencer.com/youtube/channel/UCK1u-11YuPE2wB4jR53kSkw,0,badcase,无有效科技标签与内容证据
34,UCaMrTIEMBLTZm6Wk7dDz7OA,Dr. Rajan Thapaliya,https://cn--xtb.noxinfluencer.com/youtube/channel/UCaMrTIEMBLTZm6Wk7dDz7OA,0,badcase,缺少科技标签，现有证据不足
42,UC6HSkhtwgURZUUzGlrgRqLQ,AuraPets,https://cn--xtb.noxinfluencer.com/youtube/channel/UC6HSkhtwgURZUUzGlrgRqLQ,0,badcase,影视娱乐向，和科技推广无关
58,UCCb9_Kn8F_Opb3UCGm-lILQ,Microsoft Research,https://cn--xtb.noxinfluencer.com/youtube/channel/UCCb9_Kn8F_Opb3UCGm-lILQ,0,badcase,偏研究发布会账号，缺少面向 tech 推广的内容证据
60,UCBerG8MHeW0HKWOvioOOU-A,CRYPTO VANGUARD,https://cn--xtb.noxinfluencer.com/youtube/channel/UCBerG8MHeW0HKWOvioOOU-A,-15,badcase,娱乐音乐向，和科技推广场景明显不匹配
61,UCpwOwri-jcVCf5R9IvppTaA,InterLink Labs,https://cn--xtb.noxinfluencer.com/youtube/channel/UCpwOwri-jcVCf5R9IvppTaA,-15,badcase,音乐娱乐和宠物梗内容为主，不适合 tech 促投
64,UC_OhoHv3-Jj5fnNZ01Zhzgw,Kahani Markaz,https://cn--xtb.noxinfluencer.com/youtube/channel/UC_OhoHv3-Jj5fnNZ01Zhzgw,-15,badcase,儿童故事频道，和科技推广场景不匹配
74,UCAymIqvhxQzhBD5esDLRGUg,Shiv Mehta,https://cn--xtb.noxinfluencer.com/youtube/channel/UCAymIqvhxQzhBD5esDLRGUg,0,badcase,缺少标签和内容证据，无法判断为 tech 相关
80,UCbWOWtgtazAHmYkJndpnTrA,AI Group 360,https://cn--xtb.noxinfluencer.com/youtube/channel/UCbWOWtgtazAHmYkJndpnTrA,0,badcase,几乎没有科技信号，偏泛生活与赚钱内容
88,UC_ltYlLo43aImVKYpjrj1mw,Boardroom Club,https://cn--xtb.noxinfluencer.com/youtube/channel/UC_ltYlLo43aImVKYpjrj1mw,0,badcase,缺少有效标签，无法判断为科技相关
98,UCLIve1LGX30AkI10_RZYFNQ,Bernie Exposes,https://cn--xtb.noxinfluencer.com/youtube/channel/UCLIve1LGX30AkI10_RZYFNQ,10,badcase,带明显故事化/财务剧情，不适合科技推广
99,UCokF-ynztWfM8W8Dv1Rkt2Q,All About Security,https://cn--xtb.noxinfluencer.com/youtube/channel/UCokF-ynztWfM8W8Dv1Rkt2Q,0,badcase,缺少标签与内容证据，科技相关性不足
