rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
16,UCXIupuXxw8LeL3VXBDBbVlw,Let's Go Somewhere New,https://cn.noxinfluencer.com/youtube/channel/UCXIupuXxw8LeL3VXBDBbVlw,8,badcase,旅行/虚拟步行为主，跑步机仅弱提及
22,UCPHoblvOwbyEDP_i5RSKRvQ,Andre dcrow,https://cn.noxinfluencer.com/youtube/channel/UCPHoblvOwbyEDP_i5RSKRvQ,5,badcase,音乐娱乐为主，跑步机仅弱提及，格式不合
26,UC-XpWwkKCLxaVNoIXpIegmQ,Kiki Chanel,https://cn.noxinfluencer.com/youtube/channel/UC-XpWwkKCLxaVNoIXpIegmQ,0,badcase,时尚号，与跑步机购买场景无关
27,UCqROFpwrzPDC8B8oa45rjwg,Amazing Scenic Drives,https://cn.noxinfluencer.com/youtube/channel/UCqROFpwrzPDC8B8oa45rjwg,10,badcase,旅行驾车内容，标签命中但推广不匹配
28,UCx61eKWzxcKW6U4nhGiVfYA,Treadmill Guy,https://cn.noxinfluencer.com/youtube/channel/UCx61eKWzxcKW6U4nhGiVfYA,0,badcase,娱乐游戏向，缺少健身器械受众
29,UCGgH32lBZgAu4aRRGPMzXXA,M4NDY,https://cn.noxinfluencer.com/youtube/channel/UCGgH32lBZgAu4aRRGPMzXXA,-15,badcase,动画娱乐为主，和跑步机推广错位
37,UCWZUVHF3JObhGIbPFRAOOQw,ClarasChannel,https://cn.noxinfluencer.com/youtube/channel/UCWZUVHF3JObhGIbPFRAOOQw,0,badcase,内容过泛，缺少健身或器械信号
43,UCj69mKUX0zVEU596TL93Vkg,Blue! 🎀,https://cn.noxinfluencer.com/youtube/channel/UCj69mKUX0zVEU596TL93Vkg,0,badcase,无有效标签，无法判断相关性
49,UCOXgtdmgbbFEe6LpOcFhsPQ,HowMuchTech,https://cn.noxinfluencer.com/youtube/channel/UCOXgtdmgbbFEe6LpOcFhsPQ,0,badcase,科技泛频道，缺少健身器械上下文
56,UCHcEMGhDO5zIhI2mHohIA9g,Park Pass TV,https://cn.noxinfluencer.com/youtube/channel/UCHcEMGhDO5zIhI2mHohIA9g,0,badcase,迪士尼园区直播，与跑步机推广无关
57,UCIU9cV1CA6UxVmL3GPAuOCg,BUKO,https://cn.noxinfluencer.com/youtube/channel/UCIU9cV1CA6UxVmL3GPAuOCg,0,badcase,音乐频道，不适合跑步机推广
62,UCandTI0BuPuH2nSi71V1G8Q,Relaxing Walks,https://cn.noxinfluencer.com/youtube/channel/UCandTI0BuPuH2nSi71V1G8Q,5,badcase,ASMR/慢电视格式与产品推广冲突
66,UCraSRtpbGKl5CsY80XWUoMw,Jnehring Shorts,https://cn.noxinfluencer.com/youtube/channel/UCraSRtpbGKl5CsY80XWUoMw,5,badcase,恶搞ASMR内容，和产品推广不匹配
74,UCY8M5DPzfCnbjcWU5BAYvQg,iGadgets,https://cn.noxinfluencer.com/youtube/channel/UCY8M5DPzfCnbjcWU5BAYvQg,0,badcase,Excel软件号，与跑步机无关
78,UCEfqKB6t0CIC09QxrGE3mzA,The Phenomenal Family Live,https://cn.noxinfluencer.com/youtube/channel/UCEfqKB6t0CIC09QxrGE3mzA,0,badcase,娱乐生活向，与跑步机推广无关
