rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
1,UCqnSiXji3wc5mfNpaMLf7vA,City Walks,https://cn--xtb.noxinfluencer.com/youtube/channel/UCqnSiXji3wc5mfNpaMLf7vA,8,badcase,虚拟步行/风景向，和跑步机产品推广格式不匹配
5,UCYkTscx8nosHSmC_g35J97w,DIVERSE MUSIC GROUP (DIVERSE MUSIC),https://cn--xtb.noxinfluencer.com/youtube/channel/UCYkTscx8nosHSmC_g35J97w,0,badcase,音乐/娱乐向，缺少跑步机相关推广信号
11,UC7KCAQXUUIPYSGgIzSOdF3A,Fizzness Shizzness,https://cn--xtb.noxinfluencer.com/youtube/channel/UC7KCAQXUUIPYSGgIzSOdF3A,0,badcase,健康补剂/生活方式向，和跑步机投放相关性弱
12,UCb85vO57DVuVozEThF-Bo7w,PushpendraFly,https://cn--xtb.noxinfluencer.com/youtube/channel/UCb85vO57DVuVozEThF-Bo7w,0,badcase,缺少可判断的跑步机相关信号
13,UCEYTPodaWbzoDbnPtZUy9Sg,JamesIsTalking,https://cn--xtb.noxinfluencer.com/youtube/channel/UCEYTPodaWbzoDbnPtZUy9Sg,0,badcase,缺少可判断的跑步机相关信号
14,UCTuc9AwvMG5LGy3qWB0aZPA,Mai Whisper,https://cn--xtb.noxinfluencer.com/youtube/channel/UCTuc9AwvMG5LGy3qWB0aZPA,0,badcase,缺少可判断的跑步机相关信号
17,UCSC_GAlVeGOf_ROV-EH0oZQ,KJ Messick,https://cn--xtb.noxinfluencer.com/youtube/channel/UCSC_GAlVeGOf_ROV-EH0oZQ,0,badcase,宗教生活向，和跑步机推广不相关
21,UCHURMVrorkUFZyRvL7bbHmA,SHADELESS,https://cn--xtb.noxinfluencer.com/youtube/channel/UCHURMVrorkUFZyRvL7bbHmA,0,badcase,游戏直播向，和跑步机推广不相关
28,UCq5O2ZfzRQChMdahnpKpGVg,Treadmill TV,https://cn--xtb.noxinfluencer.com/youtube/channel/UCq5O2ZfzRQChMdahnpKpGVg,5,badcase,偏跑步机风景视频，缺少评测购买语境
29,UCXb2eOkFK_BsKWkliU_j8Sg,ShakeMistake,https://cn--xtb.noxinfluencer.com/youtube/channel/UCXb2eOkFK_BsKWkliU_j8Sg,-15,badcase,主打游戏和梗内容，与跑步机促销不符
