rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,UCrzySfCZIMqhYlDsDqtpQ6w,HPad,https://cn.noxinfluencer.com/youtube/channel/UCrzySfCZIMqhYlDsDqtpQ6w,10,badcase,直击但为破坏类内容，不适合推广
3,UC8fNxgl93pWAig9iJJIMpyA,Levsob,https://cn.noxinfluencer.com/youtube/channel/UC8fNxgl93pWAig9iJJIMpyA,0,badcase,娱乐生活号，缺少家电或测评场景
4,UCHabL1v3IsuWe345rDs0pPQ,CalmVibesAudio,https://cn.noxinfluencer.com/youtube/channel/UCHabL1v3IsuWe345rDs0pPQ,8,badcase,ASMR/睡眠音频频道，属于强格式错配
5,UCtirMQlaZ6ksFrpbKmPC2yA,Calming Ambience Sounds,https://cn.noxinfluencer.com/youtube/channel/UCtirMQlaZ6ksFrpbKmPC2yA,8,badcase,白噪音/睡眠音频，强格式错配
9,UCNeX87X-8qTja1F5lQ6rsbQ,Power Masheni,https://cn.noxinfluencer.com/youtube/channel/UCNeX87X-8qTja1F5lQ6rsbQ,0,badcase,无标签无内容证据，无法判断
13,UCTnDXsb68jsU6E6Z0es9YNw,Marshall studios  production98,https://cn.noxinfluencer.com/youtube/channel/UCTnDXsb68jsU6E6Z0es9YNw,0,badcase,无标签无内容证据，相关性不足
14,UCOYpPCNQmb_v6hWaQIyLkJA,Matthew Gonzalez,https://cn.noxinfluencer.com/youtube/channel/UCOYpPCNQmb_v6hWaQIyLkJA,0,badcase,体育娱乐号，与清洁家电无关
19,UCUKcmsAb2t80-IArEn3iJKQ,YourPeacefulSound,https://cn.noxinfluencer.com/youtube/channel/UCUKcmsAb2t80-IArEn3iJKQ,8,badcase,睡眠白噪音频道，和推广场景错位
20,UCOz5vfQ9qcUfXRvEqat1DVA,Cozy Sleep Sounds,https://cn.noxinfluencer.com/youtube/channel/UCOz5vfQ9qcUfXRvEqat1DVA,8,badcase,睡眠音频定位，强格式错配
26,UCEZmfmpj8T5_tzabVVBSFeA,nikkib ASMR,https://cn.noxinfluencer.com/youtube/channel/UCEZmfmpj8T5_tzabVVBSFeA,5,badcase,ASMR音效/满足感内容为主，不适合吸尘器产品推广
29,UCCZoL53G8zqL3Yswc-8QWCg,Must-Have Finds,https://cn.noxinfluencer.com/youtube/channel/UCCZoL53G8zqL3Yswc-8QWCg,0,badcase,无标签无内容证据，无法支撑吸尘器推广
32,UCldrSaTYnKUT1log9DaxvMg,AI Palette-Cute Creatures,https://cn.noxinfluencer.com/youtube/channel/UCldrSaTYnKUT1log9DaxvMg,15,badcase,偏治愈/AI萌宠内容，和吸尘器推广场景不匹配
35,UCbJY35MlozN7OrJYifSBo4g,The Wonder Hub,https://cn.noxinfluencer.com/youtube/channel/UCbJY35MlozN7OrJYifSBo4g,0,badcase,无标签无内容证据，相关性不足
39,UC_p9x0GC-8rXtd6_rcaM2Og,lubluelu official,https://cn.noxinfluencer.com/youtube/channel/UC_p9x0GC-8rXtd6_rcaM2Og,0,badcase,品牌官方号，非创作者向，且无内容证据
40,UCu1C5LFvPQzyOVwqBHKq-4A,Learn and Choose,https://cn.noxinfluencer.com/youtube/channel/UCu1C5LFvPQzyOVwqBHKq-4A,0,badcase,缺少品类与内容信号，相关性不足
49,UCLca6ux9xbHyvGi9bTFdBew,Technically Jeff,https://cn.noxinfluencer.com/youtube/channel/UCLca6ux9xbHyvGi9bTFdBew,0,badcase,汽车垂类，与吸尘器无关
50,UCi3Qg2sp2CYi4UXQ4X0yDZA,Just Vacuuming,https://cn.noxinfluencer.com/youtube/channel/UCi3Qg2sp2CYi4UXQ4X0yDZA,5,badcase,ASMR满足感内容为主，不适合产品推广
51,UCcSagFUOn9M0c0cFeleWjyA,Brushroll Lover ASMR,https://cn.noxinfluencer.com/youtube/channel/UCcSagFUOn9M0c0cFeleWjyA,5,badcase,命中吸尘器标签，但ASMR/音频向，推广场景不合适
52,UCaup3mfQQR-_QvdJlPl-KZg,DBProductReviews,https://cn.noxinfluencer.com/youtube/channel/UCaup3mfQQR-_QvdJlPl-KZg,0,badcase,食品评测频道，与吸尘器推广无关
54,UCZ5SY0Owwr6bn1mkTbM_rjg,ArbokLover1618,https://cn.noxinfluencer.com/youtube/channel/UCZ5SY0Owwr6bn1mkTbM_rjg,5,badcase,命中标签但偏吸尘器声音内容，不适合推广
55,UCIZRf3ME71mY8RB-B0RvHJw,MQ’s World,https://cn.noxinfluencer.com/youtube/channel/UCIZRf3ME71mY8RB-B0RvHJw,0,badcase,食品短视频+泛向开箱，和吸尘器无关
56,UCtWRMD51_PDTsHWbGVhHA1g,Product Picks,https://cn.noxinfluencer.com/youtube/channel/UCtWRMD51_PDTsHWbGVhHA1g,0,badcase,无标签证据，信息过少
61,UCGTR88l9xwaHJsS6_CNrKGg,Mitisha P,https://cn.noxinfluencer.com/youtube/channel/UCGTR88l9xwaHJsS6_CNrKGg,0,badcase,手机科技号，和吸尘器推广关系弱
64,UCS9cJpWSQUOw4cIqC_ndSjQ,Sleeping Easy,https://cn.noxinfluencer.com/youtube/channel/UCS9cJpWSQUOw4cIqC_ndSjQ,5,badcase,ASMR/白噪音向，命中标签也不适合推广
65,UC77VVJ7eGcAmcOu4a8vsAiA,Scary Talking Head,https://cn.noxinfluencer.com/youtube/channel/UC77VVJ7eGcAmcOu4a8vsAiA,0,badcase,游戏解谜频道，无相关证据
71,UC9avDmmYgtdCT1ec7dHAjmg,R.E.S.T.,https://cn.noxinfluencer.com/youtube/channel/UC9avDmmYgtdCT1ec7dHAjmg,5,badcase,白噪音+ASMR，明显不适合吸尘器推广
73,UC59yuZLoo45WeMRnq9iK56w,TechGround in English,https://cn.noxinfluencer.com/youtube/channel/UC59yuZLoo45WeMRnq9iK56w,0,badcase,无有效标签证据
77,UCPySskaPsPYeejViLabdONg,Vacuum Sensation,https://cn.noxinfluencer.com/youtube/channel/UCPySskaPsPYeejViLabdONg,5,badcase,ASMR/白噪音导向，产品推广场景明显错位
82,UCDKNGTJSt65OGAn2rcXL5qw,BWX,https://cn.noxinfluencer.com/youtube/channel/UCDKNGTJSt65OGAn2rcXL5qw,5,badcase,机车垂类为主，吸尘器仅是噪声标签
83,UC6i6ZM4NBogI6_9Jr7WTwlw,Ambience,https://cn.noxinfluencer.com/youtube/channel/UC6i6ZM4NBogI6_9Jr7WTwlw,5,badcase,白噪音/ASMR 频道，和吸尘器卖点不匹配
84,UCaqDvDz7FeB_qAM2i8mhkLQ,Daily Necessity Review,https://cn.noxinfluencer.com/youtube/channel/UCaqDvDz7FeB_qAM2i8mhkLQ,1,badcase,生活/短视频泛内容，缺少吸尘器相关证据
88,UCqK_cgbk6Hxmw0aAN8BC1og,Neowin,https://cn.noxinfluencer.com/youtube/channel/UCqK_cgbk6Hxmw0aAN8BC1og,1,badcase,消费电子外延大，但以手机游戏为主
91,UCO1mQ98Z4NOJucjKqYB_D1Q,Izzy Spears,https://cn.noxinfluencer.com/youtube/channel/UCO1mQ98Z4NOJucjKqYB_D1Q,0,badcase,无标签无内容证据，无法支持相关性
92,UCjiuPJQPvf9EVjVWv6h4beA,Techasonic,https://cn.noxinfluencer.com/youtube/channel/UCjiuPJQPvf9EVjVWv6h4beA,-15,badcase,影视剧娱乐号，与家电推广无关
93,UCAu5CYcuVBoKLVa_DjtVCUg,Cleaning service ASMR,https://cn.noxinfluencer.com/youtube/channel/UCAu5CYcuVBoKLVa_DjtVCUg,5,badcase,清洁ASMR，产品推广场景错位
94,UCZDJPQpw5bERVfOSoUJ3yTQ,DKCustomProducts,https://cn.noxinfluencer.com/youtube/channel/UCZDJPQpw5bERVfOSoUJ3yTQ,5,badcase,机车改装垂类，吸尘器标签不可信
95,UCCE8i8uNyzmsvScf-o1_QVQ,Mini toys,https://cn.noxinfluencer.com/youtube/channel/UCCE8i8uNyzmsvScf-o1_QVQ,5,badcase,ASMR 玩具向内容，和家用吸尘器不匹配
104,UCGeEa0sdj4n8aI45Vg90u7g,Music 365,https://cn.noxinfluencer.com/youtube/channel/UCGeEa0sdj4n8aI45Vg90u7g,5,badcase,音乐助眠频道，真空词只是噪音语境，不适合推广
105,UCAHtjwTuc3WVwaSWGqb0YCA,Laughing Animals,https://cn.noxinfluencer.com/youtube/channel/UCAHtjwTuc3WVwaSWGqb0YCA,8,badcase,宠物娱乐内容，非清洁器产品评测场景
110,UCgI1Y5jVc7EivlITX9Jjp4w,Marcy Masha,https://cn.noxinfluencer.com/youtube/channel/UCgI1Y5jVc7EivlITX9Jjp4w,0,badcase,无标签，缺乏相关性证据
115,UCscMKiMlh9EQLDzEtRxr3vg,B Product Peek,https://cn.noxinfluencer.com/youtube/channel/UCscMKiMlh9EQLDzEtRxr3vg,0,badcase,无标签，无相关证据
118,UCE-Y7xAGsCNozPXKO3haW0w,LoudPlace,https://cn.noxinfluencer.com/youtube/channel/UCE-Y7xAGsCNozPXKO3haW0w,0,badcase,汽车旅行类频道，缺少家电相关证据
119,UCHHhJEikFaUukEYhZsKHRgw,Relaxing White Noise for Babies,https://cn.noxinfluencer.com/youtube/channel/UCHHhJEikFaUukEYhZsKHRgw,5,badcase,白噪音助眠频道，格式与家电推广强冲突
124,UCJQullGqWcFhCHIut4KCr8A,PRASA SIDE HUSTLE,https://cn.noxinfluencer.com/youtube/channel/UCJQullGqWcFhCHIut4KCr8A,0,badcase,金融副业类频道，与清洁器无关
129,UCeoilfZhEih4I2ZsgSBiLLQ,House Items,https://cn.noxinfluencer.com/youtube/channel/UCeoilfZhEih4I2ZsgSBiLLQ,0,badcase,无标签无内容证据
134,UCR42bif12ji2nbnbvqBI_jw,kaiz231,https://cn.noxinfluencer.com/youtube/channel/UCR42bif12ji2nbnbvqBI_jw,0,badcase,无标签无证据
141,UCFdqO4QaUqUn_eeWwF1ieiA,AliExpress,https://cn.noxinfluencer.com/youtube/channel/UCFdqO4QaUqUn_eeWwF1ieiA,0,badcase,无标签无证据
142,UC8sbWy0FIcZQugliuOi4FOg,Febrian Trii,https://cn.noxinfluencer.com/youtube/channel/UC8sbWy0FIcZQugliuOi4FOg,0,badcase,无标签无证据
145,UCDl5gZoNFPiVKvPt66FBwCw,Five Star,https://cn.noxinfluencer.com/youtube/channel/UCDl5gZoNFPiVKvPt66FBwCw,0,badcase,无标签无证据
