rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,UCNeX87X-8qTja1F5lQ6rsbQ,Power Masheni,https://cn--xtb.noxinfluencer.com/youtube/channel/UCNeX87X-8qTja1F5lQ6rsbQ,0,badcase,无标签与视频证据，无法判断为相关频道
3,UC8fNxgl93pWAig9iJJIMpyA,Levsob,https://cn--xtb.noxinfluencer.com/youtube/channel/UC8fNxgl93pWAig9iJJIMpyA,-5,badcase,娱乐向标签为主，缺少家电推广相关信号
6,UCrzySfCZIMqhYlDsDqtpQ6w,HPad,https://cn--xtb.noxinfluencer.com/youtube/channel/UCrzySfCZIMqhYlDsDqtpQ6w,5,badcase,虽有 vacuum cleaner，但核心是 destruction，推广格式不匹配
8,UCHabL1v3IsuWe345rDs0pPQ,CalmVibesAudio,https://cn--xtb.noxinfluencer.com/youtube/channel/UCHabL1v3IsuWe345rDs0pPQ,5,badcase,ASMR/助眠格式，虽然有 vacuum cleaner 词但不适合推广
9,UCOYpPCNQmb_v6hWaQIyLkJA,Matthew Gonzalez,https://cn--xtb.noxinfluencer.com/youtube/channel/UCOYpPCNQmb_v6hWaQIyLkJA,0,badcase,体育娱乐向，与吸尘器推广无关
10,UCtirMQlaZ6ksFrpbKmPC2yA,Calming Ambience Sounds,https://cn--xtb.noxinfluencer.com/youtube/channel/UCtirMQlaZ6ksFrpbKmPC2yA,5,badcase,白噪/助眠格式为主，不适合吸尘器推广
11,UC3hPcM4FlXRPPi9fhPra4Zw,The Kirby Company,https://cn--xtb.noxinfluencer.com/youtube/channel/UC3hPcM4FlXRPPi9fhPra4Zw,0,badcase,频道标签不足，相关性证据偏弱
14,UCTnDXsb68jsU6E6Z0es9YNw,Marshall studios  production98,https://cn--xtb.noxinfluencer.com/youtube/channel/UCTnDXsb68jsU6E6Z0es9YNw,0,badcase,无标签无视频证据，相关性不足
16,UClfEV_bXQjZ_lf3icxCPloA,Blackheartvacs,https://cn--xtb.noxinfluencer.com/youtube/channel/UClfEV_bXQjZ_lf3icxCPloA,0,badcase,无标签无视频证据，相关性不足
20,UCPySskaPsPYeejViLabdONg,Vacuum Sensation,https://cn--xtb.noxinfluencer.com/youtube/channel/UCPySskaPsPYeejViLabdONg,5,badcase,ASMR 吸尘器音效向，和产品推广场景冲突
21,UCbJY35MlozN7OrJYifSBo4g,The Wonder Hub,https://cn--xtb.noxinfluencer.com/youtube/channel/UCbJY35MlozN7OrJYifSBo4g,0,badcase,无标签无视频证据，相关性不足
22,UC6i6ZM4NBogI6_9Jr7WTwlw,Ambience,https://cn--xtb.noxinfluencer.com/youtube/channel/UC6i6ZM4NBogI6_9Jr7WTwlw,5,badcase,白噪/ASMR/放松音频向，不适合吸尘器推广
23,UCLh-zGV0xjXhgPJddZ_-QTQ,Soft Vacuum,https://cn--xtb.noxinfluencer.com/youtube/channel/UCLh-zGV0xjXhgPJddZ_-QTQ,0,badcase,无标签无视频证据，相关性不足
25,UClHBHjyMzJuf2sh8J3wFyYw,TechGeek Picks,https://cn--xtb.noxinfluencer.com/youtube/channel/UClHBHjyMzJuf2sh8J3wFyYw,0,badcase,无标签无视频证据，相关性不足
27,UCyPjKa0jVhmyG_-aBpZl-MQ,Relax & Sleep Noise,https://cn--xtb.noxinfluencer.com/youtube/channel/UCyPjKa0jVhmyG_-aBpZl-MQ,-10,badcase,助眠噪音型频道，与吸尘器推广场景强错配
30,UCxFlp6n1GOVVX7u-EOiTvvg,WNGs,https://cn--xtb.noxinfluencer.com/youtube/channel/UCxFlp6n1GOVVX7u-EOiTvvg,0,badcase,几乎无相关信息
33,UCWpKgm-RARkZLTkhPdGDjvQ,SoftMagic,https://cn--xtb.noxinfluencer.com/youtube/channel/UCWpKgm-RARkZLTkhPdGDjvQ,0,badcase,无相关标签与内容，证据不足
37,UCVf7VFzMDadwa9To0Izmegw,Serba Serbi,https://cn--xtb.noxinfluencer.com/youtube/channel/UCVf7VFzMDadwa9To0Izmegw,0,badcase,生活杂谈向，缺少清洁产品证据
39,UCUKcmsAb2t80-IArEn3iJKQ,YourPeacefulSound,https://cn--xtb.noxinfluencer.com/youtube/channel/UCUKcmsAb2t80-IArEn3iJKQ,5,badcase,白噪音助眠格式，与吸尘器推广不匹配
40,UCtEElxIqhV-tBKGGY1N3GVQ,Hank's Garage,https://cn--xtb.noxinfluencer.com/youtube/channel/UCtEElxIqhV-tBKGGY1N3GVQ,0,badcase,汽修工具号，和吸尘器类目不相干
44,UCekILbbHFXMZmd2DU2ujndg,CleanFlow ASMR,https://cn--xtb.noxinfluencer.com/youtube/channel/UCekILbbHFXMZmd2DU2ujndg,-10,badcase,ASMR音频型，和吸尘器带货强错配
45,UCQJt1liRGafkw-sSeUk2TVw,Velvet Relax ASMR,https://cn--xtb.noxinfluencer.com/youtube/channel/UCQJt1liRGafkw-sSeUk2TVw,-10,badcase,放松ASMR频道，不适合实体产品推广
52,UCI-C4IoJHJWeHEOIZkLgZMw,Hän Babos,https://cn--xtb.noxinfluencer.com/youtube/channel/UCI-C4IoJHJWeHEOIZkLgZMw,0,badcase,无标签、无内容证据，和吸尘器推广关联不足
54,UCRcPcb0yFS114x5-s1pSlyA,Dylan Saborio,https://cn--xtb.noxinfluencer.com/youtube/channel/UCRcPcb0yFS114x5-s1pSlyA,0,badcase,无标签、无内容证据，和吸尘器推广关联不足
57,UCwasJAB8-gQnxQ-KZYiS64A,NDQ 🦋,https://cn--xtb.noxinfluencer.com/youtube/channel/UCwasJAB8-gQnxQ-KZYiS64A,0,badcase,节庆生活向内容，和吸尘器推广关联弱
64,UC_l8m0mVoNIuK7VxuJ2PilQ,Kristy,https://cn--xtb.noxinfluencer.com/youtube/channel/UC_l8m0mVoNIuK7VxuJ2PilQ,0,badcase,无标签、无内容证据，和吸尘器推广关联不足
71,UCH-MAXGqz8zc_5atoYCS6Zg,Vacuum State,https://cn--xtb.noxinfluencer.com/youtube/channel/UCH-MAXGqz8zc_5atoYCS6Zg,0,badcase,娱乐向标签占主导，和产品推广不匹配
72,UCDYfPDxRhnqjBDmZks_z1Yg,Sandro in the Sunlight,https://cn--xtb.noxinfluencer.com/youtube/channel/UCDYfPDxRhnqjBDmZks_z1Yg,0,badcase,无标签、无内容证据，和吸尘器推广关联不足
73,UCcU4wy4vPRQa_uNcolDd2hA,Yaber Home,https://cn--xtb.noxinfluencer.com/youtube/channel/UCcU4wy4vPRQa_uNcolDd2hA,0,badcase,投影仪品牌号，和吸尘器品类不匹配
74,UCnnbIq-NnThJfFJ5V5dNTig,Полезно Знать,https://cn--xtb.noxinfluencer.com/youtube/channel/UCnnbIq-NnThJfFJ5V5dNTig,-10,badcase,虽有“пылесос”，但音效/娱乐型频道，推广错配
75,UC7jliDat1Acorf13SGC5JXg,Airthereal US,https://cn--xtb.noxinfluencer.com/youtube/channel/UC7jliDat1Acorf13SGC5JXg,0,badcase,无相关标签和视频，且频道名偏空气类品牌，缺少吸尘器推广证据
77,UCVLpoA4yiTYn8rG0TFDIEhg,Holly & Milkshake,https://cn--xtb.noxinfluencer.com/youtube/channel/UCVLpoA4yiTYn8rG0TFDIEhg,0,badcase,宠物美食号，缺少清洁/家电投放语境
79,UCMHQcOsMu-fd69GwtTR1pGQ,5X Finds,https://cn--xtb.noxinfluencer.com/youtube/channel/UCMHQcOsMu-fd69GwtTR1pGQ,0,badcase,无标签无内容证据，无法判断为家电相关
80,UCL9PjO6Pk_om1dh2ZCa2W1g,Indigopetco,https://cn--xtb.noxinfluencer.com/youtube/channel/UCL9PjO6Pk_om1dh2ZCa2W1g,0,badcase,宠物向账号，和家用吸尘器投放目标不匹配
83,UCrd8a3bCbaGF-WHiP4oX_1A,Meagan Rose,https://cn--xtb.noxinfluencer.com/youtube/channel/UCrd8a3bCbaGF-WHiP4oX_1A,0,badcase,无任何主题或导购信号
