rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
7,UCmOHWuF8NNKVB4tQwn2-BHA,Ziblacking,https://cn.noxinfluencer.com/youtube/channel/UCmOHWuF8NNKVB4tQwn2-BHA,-15,badcase,Minecraft 游戏号，vape 更像游戏术语
11,UCRu0zjM8EcIWEms0zbgr1Jg,highoffvlone,https://cn.noxinfluencer.com/youtube/channel/UCRu0zjM8EcIWEms0zbgr1Jg,5,badcase,娱乐/ASMR 向，和 vape 产品推广不匹配
14,UCuk6BG-mh3K1wKLMvNzk5xw,Drew Beaton,https://cn.noxinfluencer.com/youtube/channel/UCuk6BG-mh3K1wKLMvNzk5xw,5,badcase,ASMR/娱乐向，vape 仅是表层词
22,UCBNNps4x8KsBxFkWuoQAgYA,Bedwars SS,https://cn.noxinfluencer.com/youtube/channel/UCBNNps4x8KsBxFkWuoQAgYA,-15,badcase,Minecraft 游戏频道，vape 词疑似游戏义
34,UCNKwA1crOjVMtQo17fq6z_A,That High Couple,https://cn.noxinfluencer.com/youtube/channel/UCNKwA1crOjVMtQo17fq6z_A,2,badcase,仅泛生活标签，缺少 vape 相关证据
36,UCIZDtF1DXJzJgXgBXe9L9Kw,High ASMR Senses,https://cn.noxinfluencer.com/youtube/channel/UCIZDtF1DXJzJgXgBXe9L9Kw,5,badcase,vape 但 ASMR/whispering 主导，偏内容消费而非推广
38,UCyLwb0Val45oDMGLTSqdvMg,edwin flores,https://cn.noxinfluencer.com/youtube/channel/UCyLwb0Val45oDMGLTSqdvMg,3,badcase,缺少 vape 证据，标签较泛
39,UC-232AjfVLFdnMU73vYNUTA,G.P 18,https://cn.noxinfluencer.com/youtube/channel/UC-232AjfVLFdnMU73vYNUTA,10,badcase,有 vape，但 sleep stream/娱乐格式不匹配
40,UC-KiQd9mv8Mxlatql5hcoqA,xoZero,https://cn.noxinfluencer.com/youtube/channel/UC-KiQd9mv8Mxlatql5hcoqA,0,badcase,无有效 vape 证据
41,UC5x9jY4TCX01xilhKZ6H5xQ,crisoffmedz,https://cn.noxinfluencer.com/youtube/channel/UC5x9jY4TCX01xilhKZ6H5xQ,1,badcase,只有 lifestyle，相关性很弱
42,UCIqJ0_vo5XxotnFl1Bby_9A,Rebuildable Ryan,https://cn.noxinfluencer.com/youtube/channel/UCIqJ0_vo5XxotnFl1Bby_9A,0,badcase,标签过泛，未见 vape 证据
45,UC0T3i7vdSB0e85wHTKfAYgg,Stillup420,https://cn.noxinfluencer.com/youtube/channel/UC0T3i7vdSB0e85wHTKfAYgg,0,badcase,仅有泛生活标签，无 vape 相关或产品推广信号
51,UCfKb7qU4vHrOd_4nhnm4g6A,6Yitr9CbAGWECG6a1qyIx,https://cn.noxinfluencer.com/youtube/channel/UCfKb7qU4vHrOd_4nhnm4g6A,5,badcase,游戏配置/外挂语义，不是 vape 推广
52,UCEjrD72V_Yh1qGqTuDEVRUg,DistroMike,https://cn.noxinfluencer.com/youtube/channel/UCEjrD72V_Yh1qGqTuDEVRUg,0,badcase,无标签无内容，相关性证据不足
54,UCIjdP-JtetrtQ-yZutgWURQ,Safferoth,https://cn.noxinfluencer.com/youtube/channel/UCIjdP-JtetrtQ-yZutgWURQ,-5,badcase,短视频娱乐流，不适合 vape 产品推广
55,UCH30Y8muOGCQWRLiKa_jXcg,DoReMe vape Bob,https://cn.noxinfluencer.com/youtube/channel/UCH30Y8muOGCQWRLiKa_jXcg,0,badcase,无内容证据，无法判断相关性
58,UC6i6YK9vqwUK_E6YB4CwVTA,Straight Edge Stoner,https://cn.noxinfluencer.com/youtube/channel/UC6i6YK9vqwUK_E6YB4CwVTA,0,badcase,无标签无视频，相关性不足
61,UCkz13RcPS5wl4DA1OdRVM_g,Shila Menninger,https://cn.noxinfluencer.com/youtube/channel/UCkz13RcPS5wl4DA1OdRVM_g,0,badcase,无标签无视频，无法判断相关性
63,UCwXp7xDj0nCUnQ6PiSuwS4g,DISPOSABLEDAD,https://cn.noxinfluencer.com/youtube/channel/UCwXp7xDj0nCUnQ6PiSuwS4g,0,badcase,无内容证据，无法判断相关性
65,UCU7SOQlaAKQ1acQxDkf8Ybg,Baish LTD,https://cn.noxinfluencer.com/youtube/channel/UCU7SOQlaAKQ1acQxDkf8Ybg,0,badcase,无标签无视频，相关性不足
67,UCKBPHrCKIEj3RyYYxTvSwrg,Virginia Robinsons,https://cn.noxinfluencer.com/youtube/channel/UCKBPHrCKIEj3RyYYxTvSwrg,0,badcase,无标签无视频，无法判断相关性
68,UCljWhGzEziPV91QWcIKW7pg,Sauhcington,https://cn.noxinfluencer.com/youtube/channel/UCljWhGzEziPV91QWcIKW7pg,5,badcase,GTA 游戏向，vape 仅是标签噪声
69,UCJ3EdI60BKY-EbGU3hFH4rg,PeReC Fly,https://cn.noxinfluencer.com/youtube/channel/UCJ3EdI60BKY-EbGU3hFH4rg,0,badcase,娱乐整活频道，缺少 vape 相关性
70,UCNLak8Xd-tjqH2OvvnTKiEg,Rassal Freemans,https://cn.noxinfluencer.com/youtube/channel/UCNLak8Xd-tjqH2OvvnTKiEg,0,badcase,无标签无视频，无法判断相关性
74,UCihrhCrJZucjThejJQAKJVA,Big Daddy,https://cn.noxinfluencer.com/youtube/channel/UCihrhCrJZucjThejJQAKJVA,0,badcase,无标签无视频，无法判断相关性
75,UCIwdOf_hxvImohWel0wF7Aw,Woomi Official,https://cn.noxinfluencer.com/youtube/channel/UCIwdOf_hxvImohWel0wF7Aw,0,badcase,无标签无视频，无法判断相关性
77,UCpoRkyQ0Q4uO4mtrBm98iMg,EX Program,https://cn.noxinfluencer.com/youtube/channel/UCpoRkyQ0Q4uO4mtrBm98iMg,5,badcase,戒烟/戒尼古丁导向，和卖 vape 目标冲突
81,UCjCeNaX2hnzH2RoHW5upaRA,cigbayOfficial,https://cn.noxinfluencer.com/youtube/channel/UCjCeNaX2hnzH2RoHW5upaRA,0,badcase,无标签/视频证据
83,UCX4fCj8EuBXrEAA45QW8-cg,Merryzz,https://cn.noxinfluencer.com/youtube/channel/UCX4fCj8EuBXrEAA45QW8-cg,5,badcase,游戏频道，vape 词命中但语义不对
84,UCn3R0wuZZWpLDYo5lcTn2uA,Swamp,https://cn.noxinfluencer.com/youtube/channel/UCn3R0wuZZWpLDYo5lcTn2uA,5,badcase,纯游戏语境，和 vape 产品推广不匹配
85,UCwhyCvKE4TkreD_A5ey3Gfw,ALD Group Limited,https://cn.noxinfluencer.com/youtube/channel/UCwhyCvKE4TkreD_A5ey3Gfw,0,badcase,无相关证据，无法确认相关性
