rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
8,UC5x9jY4TCX01xilhKZ6H5xQ,crisoffmedz,https://cn--xtb.noxinfluencer.com/youtube/channel/UC5x9jY4TCX01xilhKZ6H5xQ,0,badcase,缺少 vape 相关证据，主题过于泛化
11,UCVMSDJ3j6zVNxPSoecjpWOA,Your Driver,https://cn--xtb.noxinfluencer.com/youtube/channel/UCVMSDJ3j6zVNxPSoecjpWOA,0,badcase,无 vape 相关标签或内容证据
13,UCNJtzkiJGJ5UXJtKQKyfygg,Vape Diy,https://cn--xtb.noxinfluencer.com/youtube/channel/UCNJtzkiJGJ5UXJtKQKyfygg,5,badcase,有 vape 标签，但 ASMR 形式明显不适合器具推广
19,UCyLwb0Val45oDMGLTSqdvMg,edwin flores,https://cn--xtb.noxinfluencer.com/youtube/channel/UCyLwb0Val45oDMGLTSqdvMg,0,badcase,缺少 vape 相关证据，内容偏泛生活/娱乐
20,UC-KiQd9mv8Mxlatql5hcoqA,xoZero,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-KiQd9mv8Mxlatql5hcoqA,0,badcase,无直接 vape 证据，且标签多为泛娱乐/高状态语境
21,UCH30Y8muOGCQWRLiKa_jXcg,DoReMe vape Bob,https://cn--xtb.noxinfluencer.com/youtube/channel/UCH30Y8muOGCQWRLiKa_jXcg,0,badcase,缺少 tags 和视频证据，无法判断为相关频道
22,UCIZDtF1DXJzJgXgBXe9L9Kw,High ASMR Senses,https://cn--xtb.noxinfluencer.com/youtube/channel/UCIZDtF1DXJzJgXgBXe9L9Kw,5,badcase,虽然有 vape 标签，但 ASMR/whispering 属于强格式错配
23,UCuk6BG-mh3K1wKLMvNzk5xw,Drew Beaton,https://cn--xtb.noxinfluencer.com/youtube/channel/UCuk6BG-mh3K1wKLMvNzk5xw,10,badcase,有 vape 标签，但 ASMR/娱乐语境削弱投放适配
24,UCNKwA1crOjVMtQo17fq6z_A,That High Couple,https://cn--xtb.noxinfluencer.com/youtube/channel/UCNKwA1crOjVMtQo17fq6z_A,0,badcase,缺少 vape 相关证据，偏泛生活
25,UCwXp7xDj0nCUnQ6PiSuwS4g,DISPOSABLEDAD,https://cn--xtb.noxinfluencer.com/youtube/channel/UCwXp7xDj0nCUnQ6PiSuwS4g,0,badcase,无 tags/videos 证据，不适合 vape 推广
26,UCmOHWuF8NNKVB4tQwn2-BHA,Ziblacking,https://cn--xtb.noxinfluencer.com/youtube/channel/UCmOHWuF8NNKVB4tQwn2-BHA,5,badcase,Minecraft游戏为主，vape像错挂标签，推广不匹配
29,UCU7SOQlaAKQ1acQxDkf8Ybg,Baish LTD,https://cn--xtb.noxinfluencer.com/youtube/channel/UCU7SOQlaAKQ1acQxDkf8Ybg,0,badcase,无标签无内容信号，无法判断为相关
31,UC0T3i7vdSB0e85wHTKfAYgg,Stillup420,https://cn--xtb.noxinfluencer.com/youtube/channel/UC0T3i7vdSB0e85wHTKfAYgg,0,badcase,仅生活类信号，缺少vape相关证据
36,UCIqJ0_vo5XxotnFl1Bby_9A,Rebuildable Ryan,https://cn--xtb.noxinfluencer.com/youtube/channel/UCIqJ0_vo5XxotnFl1Bby_9A,0,badcase,仅泛化lifestyle/technology，无vape线索
39,UC5GJ47y0W616f9fdQasnXhw,Zumo_Official,https://cn--xtb.noxinfluencer.com/youtube/channel/UC5GJ47y0W616f9fdQasnXhw,5,badcase,ASMR/吃播向强，和vape推广场景不匹配
