rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,UC-7e9wCYqsP5cqZOHTb749w,Foxy's Domestic Side,https://cn.noxinfluencer.com/youtube/channel/UC-7e9wCYqsP5cqZOHTb749w,0,badcase,DIY/家居取向，与瑜伽垫推广无关
4,UC--2-CR3wf_H9EHxJsTLR7Q,Purple Unicorns,https://cn.noxinfluencer.com/youtube/channel/UC--2-CR3wf_H9EHxJsTLR7Q,-15,badcase,前五标签全是宠物犬类，和人用瑜伽垫互斥
15,UCaHcBHMtfsmoIgz9IMGPEsw,Renown Health,https://cn.noxinfluencer.com/youtube/channel/UCaHcBHMtfsmoIgz9IMGPEsw,0,badcase,医疗机构定位，缺少瑜伽垫推广语境
18,UCB4ZUDlQGHGQWGWm07kRFHw,Alicia Arol Lives On...,https://cn.noxinfluencer.com/youtube/channel/UCB4ZUDlQGHGQWGWm07kRFHw,-5,badcase,宠物向频道，与人用瑜伽垫不匹配
20,UCHz_Lzky3SW-p2uEwCEQ0Bg,IWMF - International Waldenstrom Foundation,https://cn.noxinfluencer.com/youtube/channel/UCHz_Lzky3SW-p2uEwCEQ0Bg,0,badcase,医疗基金会定位，缺少可推广瑜伽垫的证据
22,UCLkpRFIMcvIl0W9B4WI1cyw,Opera Bound®,https://cn.noxinfluencer.com/youtube/channel/UCLkpRFIMcvIl0W9B4WI1cyw,0,badcase,无标签无视频证据，无法判断为瑜伽垫相关
25,UCL9-ldFspTzzQeAhSpw6Sgg,Healthy Vegan Living,https://cn.noxinfluencer.com/youtube/channel/UCL9-ldFspTzzQeAhSpw6Sgg,0,badcase,烹饪/素食频道，与瑜伽垫推广无关
28,UCdztw8FE1ZwoM18nZAvKwtA,Relax Sound Space,https://cn.noxinfluencer.com/youtube/channel/UCdztw8FE1ZwoM18nZAvKwtA,-12,badcase,放松音频号，和瑜伽垫这类实物产品格式不匹配
32,UCMfwDVAkrXosNu-sThbiy-A,🕵️‍♀️ KitKat’s Korner,https://cn.noxinfluencer.com/youtube/channel/UCMfwDVAkrXosNu-sThbiy-A,0,badcase,无相关标签与内容证据
36,UC_jDgxkbtUQV3wYKpl0sTlQ,WILKYS,https://cn.noxinfluencer.com/youtube/channel/UC_jDgxkbtUQV3wYKpl0sTlQ,0,badcase,无相关标签或内容证据
40,UC8TJR-9EaH3vF9kyuNohuHg,Rooted yoga & Flex Feet Flow,https://cn.noxinfluencer.com/youtube/channel/UC8TJR-9EaH3vF9kyuNohuHg,0,badcase,标签全是汽车旅游，与瑜伽垫投放无关
45,UC7hsME4e5EHUcng9mKgNpPQ,The Best ABC,https://cn.noxinfluencer.com/youtube/channel/UC7hsME4e5EHUcng9mKgNpPQ,0,badcase,纯科技频道，与瑜伽垫受众不符
50,UC8Qk1LdniND--45E1VBQXIA,Rob Raffety,https://cn.noxinfluencer.com/youtube/channel/UC8Qk1LdniND--45E1VBQXIA,0,badcase,无相关标签与内容证据
54,UC4eulE1yctcJ_Cn4rYw884g,Q LLC,https://cn.noxinfluencer.com/youtube/channel/UC4eulE1yctcJ_Cn4rYw884g,0,badcase,主题偏泛娱乐/科技，和瑜伽垫关联弱
59,UC4NFfpnkW4TQo6zc_s3IDtQ,Lorena Espinoza Design,https://cn.noxinfluencer.com/youtube/channel/UC4NFfpnkW4TQo6zc_s3IDtQ,0,badcase,设计类频道，和瑜伽垫推广不匹配
62,UCOjfO9IMMXsyj_qdpu11Ulw,ILONA SELKE,https://cn.noxinfluencer.com/youtube/channel/UCOjfO9IMMXsyj_qdpu11Ulw,0,badcase,无有效相关信号
65,UCh5nQhKtidLii_jaWkj97Nw,THANKS LEE,https://cn.noxinfluencer.com/youtube/channel/UCh5nQhKtidLii_jaWkj97Nw,0,badcase,无有效相关信号
72,UC0cFU2bYcYKDajv7QQDuGDw,StrangeAI,https://cn.noxinfluencer.com/youtube/channel/UC0cFU2bYcYKDajv7QQDuGDw,0,badcase,科技新闻向，和瑜伽垫无关
77,UC6M7PyDyQOxqUzZSzI7OjEg,Angelmay Bisaya-American,https://cn.noxinfluencer.com/youtube/channel/UC6M7PyDyQOxqUzZSzI7OjEg,0,badcase,食物/宠物号，和瑜伽垫推广几乎无关
78,UCl3MY1-NrULFkKId6JZ4e_g,More Info,https://cn.noxinfluencer.com/youtube/channel/UCl3MY1-NrULFkKId6JZ4e_g,0,badcase,无标签、无视频证据，无法判断相关
83,UCG5MYuczIM2snqQO24hct-A,Trending Style List,https://cn.noxinfluencer.com/youtube/channel/UCG5MYuczIM2snqQO24hct-A,0,badcase,无标签与视频证据
85,UC6C1wgXvATY7B2uR53nQZhA,Mad About Cooking At Home,https://cn.noxinfluencer.com/youtube/channel/UC6C1wgXvATY7B2uR53nQZhA,0,badcase,内容是做饭，和瑜伽垫无关
86,UCctX2HJpjBqaf5gN5cUvWOw,Odina H. Palmer,https://cn.noxinfluencer.com/youtube/channel/UCctX2HJpjBqaf5gN5cUvWOw,0,badcase,无标签、无视频证据
87,UCvr3ztKQ11vvfRx7LSrlfsg,Naomi The G,https://cn.noxinfluencer.com/youtube/channel/UCvr3ztKQ11vvfRx7LSrlfsg,0,badcase,无标签、无视频证据
88,UCbtpg_JajxVSxVmywTtbzuQ,Care New England,https://cn.noxinfluencer.com/youtube/channel/UCbtpg_JajxVSxVmywTtbzuQ,0,badcase,医院/妇幼机构号，不是消费品推广场景
89,UCM5lHW0UyvldbxZrDqyeQtA,Rider of The Storm,https://cn.noxinfluencer.com/youtube/channel/UCM5lHW0UyvldbxZrDqyeQtA,0,badcase,无标签、无视频证据
90,UCFOU8G9mk4LoxsrAY7gtq3Q,NEW YOGA CITY,https://cn.noxinfluencer.com/youtube/channel/UCFOU8G9mk4LoxsrAY7gtq3Q,-15,badcase,名称有 yoga，但标签是音乐/娱乐，格式错位
91,UCaflYQJfj0HoMm8gXPe5XFA,NUBIAN GODDESS ENTERPRISES,https://cn.noxinfluencer.com/youtube/channel/UCaflYQJfj0HoMm8gXPe5XFA,0,badcase,无标签、无视频证据
92,UCrBXSpSV7XL-Bgoc0q9u1Qg,OddlyPawfect,https://cn.noxinfluencer.com/youtube/channel/UCrBXSpSV7XL-Bgoc0q9u1Qg,0,badcase,无标签、无视频证据
96,UCPQsH-dcCsAQWgX8lMKLJrg,Which The Best Ones,https://cn.noxinfluencer.com/youtube/channel/UCPQsH-dcCsAQWgX8lMKLJrg,0,badcase,无标签、无视频证据
100,UCEfW6UynmaCoDF2e_1P27bQ,Caroling Geary,https://cn.noxinfluencer.com/youtube/channel/UCEfW6UynmaCoDF2e_1P27bQ,0,badcase,无标签、无视频证据
102,UCLeMXJ-91-z5HpE99wB5CSg,Caldera Films,https://cn.noxinfluencer.com/youtube/channel/UCLeMXJ-91-z5HpE99wB5CSg,0,badcase,电影频道，与瑜伽垫购买场景不符
