rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
1,UCTDaBzmad3wHzg81vsvF_-Q,Ariana Donovan,https://cn--xtb.noxinfluencer.com/youtube/channel/UCTDaBzmad3wHzg81vsvF_-Q,0,badcase,无标签和相关视频证据，无法判断为瑜伽垫推广受众
2,UC-7e9wCYqsP5cqZOHTb749w,Foxy's Domestic Side,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-7e9wCYqsP5cqZOHTb749w,0,badcase,DIY内容与瑜伽垫推广关联弱，缺少直接证据
3,UC--2-CR3wf_H9EHxJsTLR7Q,Purple Unicorns,https://cn--xtb.noxinfluencer.com/youtube/channel/UC--2-CR3wf_H9EHxJsTLR7Q,-15,badcase,宠物受众与人用瑜伽垫目标人群错位
14,UCHz_Lzky3SW-p2uEwCEQ0Bg,IWMF - International Waldenstrom Foundation,https://cn--xtb.noxinfluencer.com/youtube/channel/UCHz_Lzky3SW-p2uEwCEQ0Bg,0,badcase,医疗健康机构号，缺少瑜伽垫推广场景
17,UCLkpRFIMcvIl0W9B4WI1cyw,Opera Bound®,https://cn--xtb.noxinfluencer.com/youtube/channel/UCLkpRFIMcvIl0W9B4WI1cyw,0,badcase,无相关标签和内容，匹配度不足
18,UCMfwDVAkrXosNu-sThbiy-A,🕵️‍♀️ KitKat’s Korner,https://cn--xtb.noxinfluencer.com/youtube/channel/UCMfwDVAkrXosNu-sThbiy-A,0,badcase,无相关标签和内容，匹配度不足
21,UC_jDgxkbtUQV3wYKpl0sTlQ,WILKYS,https://cn--xtb.noxinfluencer.com/youtube/channel/UC_jDgxkbtUQV3wYKpl0sTlQ,0,badcase,无相关标签和内容，匹配度不足
22,UCaHcBHMtfsmoIgz9IMGPEsw,Renown Health,https://cn--xtb.noxinfluencer.com/youtube/channel/UCaHcBHMtfsmoIgz9IMGPEsw,0,badcase,健康机构号偏科普，缺少产品推广场景
25,UCdztw8FE1ZwoM18nZAvKwtA,Relax Sound Space,https://cn--xtb.noxinfluencer.com/youtube/channel/UCdztw8FE1ZwoM18nZAvKwtA,-10,badcase,放松音频型内容，和瑜伽垫推广格式不匹配
28,UCL9-ldFspTzzQeAhSpw6Sgg,Healthy Vegan Living,https://cn--xtb.noxinfluencer.com/youtube/channel/UCL9-ldFspTzzQeAhSpw6Sgg,0,badcase,内容偏烹饪素食，与瑜伽垫推广场景不匹配
31,UCJklYyle9sP7bWX_ZXIZ4Ug,Health Info Tips,https://cn--xtb.noxinfluencer.com/youtube/channel/UCJklYyle9sP7bWX_ZXIZ4Ug,0,badcase,信息类频道，缺少健身或瑜伽受众证据
36,UCl3MY1-NrULFkKId6JZ4e_g,More Info,https://cn--xtb.noxinfluencer.com/youtube/channel/UCl3MY1-NrULFkKId6JZ4e_g,0,badcase,缺少任何可用的内容定位信号
39,UC0cNyGBSl5YCPGkPEejv-5g,Amabestchoice - Top 5 Best Product,https://cn--xtb.noxinfluencer.com/youtube/channel/UC0cNyGBSl5YCPGkPEejv-5g,-5,badcase,电子产品测评向，与瑜伽垫品类不一致
42,UC8Qk1LdniND--45E1VBQXIA,Rob Raffety,https://cn--xtb.noxinfluencer.com/youtube/channel/UC8Qk1LdniND--45E1VBQXIA,0,badcase,无可用内容信号，无法判断为相关频道
44,UCUhJjnYfgxD4kjTGh_POATg,Laurie Reviews It All,https://cn--xtb.noxinfluencer.com/youtube/channel/UCUhJjnYfgxD4kjTGh_POATg,-3,badcase,偏表演杂技与娱乐，不适合瑜伽垫推广
48,UC4NFfpnkW4TQo6zc_s3IDtQ,Lorena Espinoza Design,https://cn--xtb.noxinfluencer.com/youtube/channel/UC4NFfpnkW4TQo6zc_s3IDtQ,0,badcase,设计类频道与瑜伽垫推广关联弱
49,UC7hsME4e5EHUcng9mKgNpPQ,The Best ABC,https://cn--xtb.noxinfluencer.com/youtube/channel/UC7hsME4e5EHUcng9mKgNpPQ,0,badcase,纯科技频道，和瑜伽垫受众不一致
50,UC8TJR-9EaH3vF9kyuNohuHg,Rooted yoga & Flex Feet Flow,https://cn--xtb.noxinfluencer.com/youtube/channel/UC8TJR-9EaH3vF9kyuNohuHg,-15,badcase,标签几乎全是汽车旅行，与瑜伽垫受众错位
54,UCOjfO9IMMXsyj_qdpu11Ulw,ILONA SELKE,https://cn--xtb.noxinfluencer.com/youtube/channel/UCOjfO9IMMXsyj_qdpu11Ulw,0,badcase,无有效标签和内容，相关性不足
60,UCh5nQhKtidLii_jaWkj97Nw,THANKS LEE,https://cn--xtb.noxinfluencer.com/youtube/channel/UCh5nQhKtidLii_jaWkj97Nw,0,badcase,无有效标签和内容，相关性不足
63,UC4boX4V7HI4ZlV0bY5t2AuA,Yoga with Lindsay Nova,https://cn--xtb.noxinfluencer.com/youtube/channel/UC4boX4V7HI4ZlV0bY5t2AuA,0,badcase,空中瑜伽为主，非垫类核心场景
64,UC4eulE1yctcJ_Cn4rYw884g,Q LLC,https://cn--xtb.noxinfluencer.com/youtube/channel/UC4eulE1yctcJ_Cn4rYw884g,0,badcase,无有效标签和内容，相关性不足
65,UC6Deqv-HLSvySnTN-drR9NQ,Merch Lane,https://cn--xtb.noxinfluencer.com/youtube/channel/UC6Deqv-HLSvySnTN-drR9NQ,0,badcase,无有效标签和内容，相关性不足
66,UCB465iC-Jy4N9DG24XbETMw,Rock Reviews,https://cn--xtb.noxinfluencer.com/youtube/channel/UCB465iC-Jy4N9DG24XbETMw,0,badcase,无有效标签和内容，相关性不足
68,UCS--KJF9azzl-EXiOCIo5lA,Zsrnb,https://cn--xtb.noxinfluencer.com/youtube/channel/UCS--KJF9azzl-EXiOCIo5lA,0,badcase,标签泛化且缺少内容，相关性不足
69,UCaflYQJfj0HoMm8gXPe5XFA,NUBIAN GODDESS ENTERPRISES,https://cn--xtb.noxinfluencer.com/youtube/channel/UCaflYQJfj0HoMm8gXPe5XFA,0,badcase,无有效标签和内容，相关性不足
70,UCctX2HJpjBqaf5gN5cUvWOw,Odina H. Palmer,https://cn--xtb.noxinfluencer.com/youtube/channel/UCctX2HJpjBqaf5gN5cUvWOw,0,badcase,无有效标签和内容，相关性不足
76,UC0cFU2bYcYKDajv7QQDuGDw,StrangeAI,https://cn--xtb.noxinfluencer.com/youtube/channel/UC0cFU2bYcYKDajv7QQDuGDw,-15,badcase,新闻/娱乐型频道，和瑜伽垫推广目标不匹配
78,UC6C1wgXvATY7B2uR53nQZhA,Mad About Cooking At Home,https://cn--xtb.noxinfluencer.com/youtube/channel/UC6C1wgXvATY7B2uR53nQZhA,0,badcase,缺少可判断的标签与内容信号
80,UC6M7PyDyQOxqUzZSzI7OjEg,Angelmay Bisaya-American,https://cn--xtb.noxinfluencer.com/youtube/channel/UC6M7PyDyQOxqUzZSzI7OjEg,0,badcase,美食宠物向，和瑜伽垫推广不匹配
84,UCEfW6UynmaCoDF2e_1P27bQ,Caroling Geary,https://cn--xtb.noxinfluencer.com/youtube/channel/UCEfW6UynmaCoDF2e_1P27bQ,0,badcase,缺少标签与内容信息，无法判断相关性
85,UCFOU8G9mk4LoxsrAY7gtq3Q,NEW YOGA CITY,https://cn--xtb.noxinfluencer.com/youtube/channel/UCFOU8G9mk4LoxsrAY7gtq3Q,-15,badcase,娱乐音乐向，虽有YOGA字样但不适合卖瑜伽垫
87,UCG5MYuczIM2snqQO24hct-A,Trending Style List,https://cn--xtb.noxinfluencer.com/youtube/channel/UCG5MYuczIM2snqQO24hct-A,0,badcase,缺少可判断的标签与内容信号
88,UCLeMXJ-91-z5HpE99wB5CSg,Caldera Films,https://cn--xtb.noxinfluencer.com/youtube/channel/UCLeMXJ-91-z5HpE99wB5CSg,0,badcase,缺少可判断的标签与内容信号
89,UCM5lHW0UyvldbxZrDqyeQtA,Rider of The Storm,https://cn--xtb.noxinfluencer.com/youtube/channel/UCM5lHW0UyvldbxZrDqyeQtA,0,badcase,缺少可判断的标签与内容信号
