platform,keyword,nox_badcase_rate,xtb_badcase_rate,delta_xtb_minus_nox,winner,nox_completed,xtb_completed,nox_avg_record_ms,xtb_avg_record_ms
"instagram","agricultural products","0.804","0.756","-0.04800000000000004","xtb","500","500","3265","2805"
"instagram","baby supplement","0.686","0.644","-0.04200000000000004","xtb","500","500","3186","2997"
"instagram","beauty","0.398","0.382","-0.016000000000000014","xtb","500","500","3226","3282"
"instagram","fashion","0.284","0.298","0.014000000000000012","nox","500","500","3261","4201"
"tiktok","agricultural products","0.776","0.768","-0.008000000000000007","xtb","500","500","2810","2994"
"tiktok","baby supplement","0.714","0.61","-0.10399999999999998","xtb","500","500","2822","3374"
"tiktok","beauty","0.444","0.442","-0.0020000000000000018","xtb","500","500","2833","3196"
"tiktok","fashion","0.344","0.402","0.05800000000000005","nox","500","500","2983","2815"
"youtube","agricultural products","0.7755511022044088","0.7615230460921844","-0.014028056112224463","xtb","499","499","3106","2742"
"youtube","baby supplement","0.6833667334669339","0.687374749498998","0.004008016032064132","nox","499","499","3378","2945"
"youtube","beauty","0.6653306613226453","0.749498997995992","0.08416833667334667","nox","499","499","2936","2511"
"youtube","fashion","0.6232464929859719","0.6112224448897795","-0.012024048096192397","xtb","499","499","2910","2772"
