keyword,sort_label,sort_name,rank,channel_name,channel_url,channel_id,country,followers,estimate_video_views,tags,latest_videos,judgment,badcase_type,note
"consumer electronic","default","默认排序","1","Flossy Carter","https://cn--pb.noxinfluencer.com/youtube/channel/UCFfCqe7b9YiDk2ZiAG8UIGA","UCFfCqe7b9YiDk2ZiAG8UIGA","US","2110000","62583","consumer electronic | smartphone | review | unboxing | android | samsung | apple | oppo | xiaomi | computer","Oppo Find N6 Global Stellar Titanium - The First Fold With NO CREASE || Samsung Galaxy S26 Ultra / Apple iPhone 17 Pro Max - New Cases and Accessories ","fit","","频道主题与最近内容都能支持 消费电子/科技硬件 关键词召回。"
"consumer electronic","default","默认排序","2","MONEY TALKS WIRELESS","https://cn--pb.noxinfluencer.com/youtube/channel/UCe8D5lo_zrqS8xtsNspeCgg","UCe8D5lo_zrqS8xtsNspeCgg","US","7340000","442255","moneytalkswireless | nintendo switch | nintendo | consumer electronic | nintendoswitch2 | tablet | roblox | applewatch | apple | iphone","Fire Took EVERYTHING… Including His iPad 😳💔 #shorts #moneytalkswireless #asmr || Her iPhone was Unconscious 😭 #shorts #moneytalkswireless #asmr","fit","","频道主题与最近内容都能支持 消费电子/科技硬件 关键词召回。"
"consumer electronic","default","默认排序","3","ITSub잇섭","https://cn--pb.noxinfluencer.com/youtube/channel/UCdUcjkyZtf-1WJyPPiETF1g","UCdUcjkyZtf-1WJyPPiETF1g","KR","2810000","591182","consumer electronic | computer | 언빡싱 | 첫인상 | 갤럭시 | smartphone | technology | apple | lifestyle | 폴더블","다이소에서 파는 5,000원짜리 전자기기는 쓸만할까? 궁금해서 모두 사봤습니다 ㅋㅋ || 온 커뮤니티를 불타게 만든 갤럭시 '통화 스크리닝' 사태.. 왜 이렇게 화난 것일까?","fit","","频道主题与最近内容都能支持 消费电子/科技硬件 关键词召回。"
"consumer electronic","default","默认排序","4","I-TECH آي تك","https://cn--pb.noxinfluencer.com/youtube/channel/UCAHbgYZRQcVa-NKXA3eyx2Q","UCAHbgYZRQcVa-NKXA3eyx2Q","EG","1250000","78892","gaming | سماعة | ماوس | كيبورد | tech | iphone | consumer electronic | مونتاج | filmora | laptop","سماعه جديده ببلاش 😱❗️- لو رديت في ٣٠ ثانيه بس 🤫❗️ || اتحديت كل مواقع ال Ai 😱❗️- الاذكي علي الاطلاق 🏆","fit","","频道主题与最近内容都能支持 消费电子/科技硬件 关键词召回。"
"consumer electronic","default","默认排序","5","Gadget House","https://cn--pb.noxinfluencer.com/youtube/channel/UCdlbv1PDLcLDoCUJkdKOhMA","UCdlbv1PDLcLDoCUJkdKOhMA","BY","20600","3797","consumer electronic | xiaomi | aliexpress | smartphone | computer | iphone | mi | baseus | apple | laptop","CIDOO V75 PRO - Механическая клавиатура весом 2 Кг / Алюминий, Gasket, PORON и поддержкой VIA || EVERYCOM HQ11W - Очень яркий проектор!? Full HD, Android TV, 4К, изображение до 200 дюймов!","fit","","频道主题与最近内容都能支持 消费电子/科技硬件 关键词召回。"
"consumer electronic","default","默认排序","6","Nothing","https://cn--pb.noxinfluencer.com/youtube/channel/UCXdv1fGVZBf9Cktmtil8Flw","UCXdv1fGVZBf9Cktmtil8Flw","RU","9620","3916","nothing | consumer electronic | apple | smartphone | iphone | обзор | computer | купить | nintendo | ipad","Bigme Hibreak Pro: обзор идеального смартфона с e-ink экраном #bigme #eink #android wb: 603926923 || Смартфон с E-Ink экраном? А вы такой видели? #bigme #смартфонeink #android wb: 603926923","fit","","频道主题与最近内容都能支持 消费电子/科技硬件 关键词召回。"
"consumer electronic","default","默认排序","7","MTW Shorts ","https://cn--pb.noxinfluencer.com/youtube/channel/UCxZyVqaJy1ZKYvC-qo0WY1g","UCxZyVqaJy1ZKYvC-qo0WY1g","US","1200000","111932","apple | android | samsung | tablet | ios | roblox | iphone14promax | ios16 | moneytalkswireless | consumer electronic","You won’t Believe what Came out inside of her Phone 😱 #shorts #moneytalkswireless || Apple told them ; They can REPLACE IT Only for $1500 😡 #shorts #moneytalkswireless","fit","","频道主题与最近内容都能支持 消费电子/科技硬件 关键词召回。"
"consumer electronic","default","默认排序","8","RealTech Master","https://cn--pb.noxinfluencer.com/youtube/channel/UCNgxlZ6g3gO5W1GmFTXsbZw","UCNgxlZ6g3gO5W1GmFTXsbZw","UK","1280000","13186","consumer electronic | realtech master | smartphone | smartwatch | laptop | computer | asus | headset | technology | bkash","HAYLOU Solar Lite 2 Honest Review: Best Budget Smartwatch in 2026? |   Price in BD & Specs || Zeblaze GTS 4 Review Best Budget AMOLED Smartwatch with BT Calling!","fit","","频道主题与最近内容都能支持 消费电子/科技硬件 关键词召回。"
"consumer electronic","default","默认排序","9","Svidomy","https://cn--pb.noxinfluencer.com/youtube/channel/UCxuIXIVv22vXJ86ZiReivqg","UCxuIXIVv22vXJ86ZiReivqg","UA","88300","33809","iphone | smartphone | consumer electronic | apple | computer | кирило свідомий | свідомий | macbook | айфон15 | iphone15","Смарт-монітор і STALKER 2 без комп’ютера #shorts  || Galaxy S26 Ultra vs iPhone 17 Pro Max vs Xiaomi 17 #shorts","fit","","频道主题与最近内容都能支持 消费电子/科技硬件 关键词召回。"
"consumer electronic","default","默认排序","10","Rkp the loser","https://cn--pb.noxinfluencer.com/youtube/channel/UCHmv0FZX09ihdioBcpIGc5Q","UCHmv0FZX09ihdioBcpIGc5Q","IN","1950000","17046","smartphone | gadgets | technology | apple | instagood | bhfyp | instagram | love | tech | consumer electronic","ट्रेन में पर्स चोरी के शक में युवक को उतारा #train #railway #rail || नई दुल्हन रोक नहीं पाई अपने आँसू nai dulhan rok nahi pai apne ansuu #shorts #train #railway #rail","fit","","频道主题与最近内容都能支持 消费电子/科技硬件 关键词召回。"
